r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.027127091731435588	0.027031997937456587	0.7577990729403458	285.2666887747218	1.1795895042701935e-182	3	-35040.600417665235	70091.20083533047	70132.8602734901	17625.170577462304	30692	30696	Linear model	NA	NA	all
0.03115295645989264	-0.17040261330487594	NA	408.5089983845693	2.3956392046050624e-175	NA	NA	NA	NA	14050.07449836098	25409	30696	Linear model with fixed effect	NA	NA	all
0.02819893228122712	0.02810394325466803	853.4177379092341	296.8651569835767	5.412717659084004e-190	3	-51079.098112240434	102168.19622448087	102209.8556626405	22353653771.425083	30692	30696	Linear model assets weighted	NA	NA	all
0.28644554626586927	0.1378644378126691	803.7843295905052	NA	NA	NA	-30769.19667370721	72120.39334741441	116204.41080793906	NA	NA	30696	Linear model assets weighted with fixed effect	0.0025993028925316297	NA	all
0.04424728136591746	0.044029272077907966	0.7511507199407937	202.96053333273224	9.58597988231907e-296	7	-34768.10837054175	69554.2167410835	69629.20372977083	17315.010576025674	30688	30696	Event study	NA	NA	all
0.08616241717840202	-0.10429686251363934	NA	239.49677709597108	0	NA	NA	NA	NA	13252.33555044234	25401	30696	Event study with fixed effects	NA	NA	all
0.05096576270312059	0.050749285915416054	843.4167494847462	NA	NA	NA	-34794.5367958581	69605.0735917162	69671.7286927716	NA	NA	30696	Event study assets weighted	NA	NA	all
0.2889733342292783	0.1407832957036218	802.4225243947785	NA	NA	NA	-30765.872678137453	72121.74535627491	116239.09036732724	NA	NA	30696	Event study assets weighted with fixed effects	0.006132624650457941	NA	all
0.031969072951889166	0.03160072023992255	0.7723962012884921	86.78929708760144	3.0180920870898188e-55	3	-9153.450327036528	18316.900654073055	18351.76614355447	4703.562010674414	7884	7888	Linear model	NA	NA	treat_a
0.03830373461505021	-0.16225841941328523	NA	129.96316045679634	4.495355530754331e-56	NA	NA	NA	NA	3675.0902216263903	6526	7888	Linear model with fixed effect	NA	NA	treat_a
0.03934176736211364	0.038976220089420366	881.5922676839011	107.62429458782026	2.7274646630128766e-68	3	-13291.210944839833	26592.421889679666	26627.28737916108	6127483640.053301	7884	7888	Linear model assets weighted	NA	NA	treat_a
0.30104817520680094	0.154763409668206	826.7797860829744	NA	NA	NA	-8009.688796689754	18751.377593379508	28276.629319701366	NA	NA	7888	Linear model assets weighted with fixed effect	0.00395417776146989	NA	treat_a
0.051864255986929605	0.051022003422451	0.764611757172929	61.57803273538909	1.3480489705793478e-86	7	-9071.54782565943	18161.09565131886	18223.853532385405	4606.893376951744	7880	7888	Event study	NA	NA	treat_a
0.09164481136014264	-0.09914043768066194	NA	65.7607165034026	3.037511282085234e-128	NA	NA	NA	NA	3471.249074880968	6518	7888	Event study with fixed effects	NA	NA	treat_a
0.06758196742872613	0.06675367729826942	868.7580643199626	NA	NA	NA	-9097.674960286402	18211.349920572804	18267.134703743064	NA	NA	7888	Event study assets weighted	NA	NA	treat_a
0.3050696298394	0.15911079633988146	824.6508170136143	NA	NA	NA	-8007.475535141071	18754.951070282143	28308.09518818913	NA	NA	7888	Event study assets weighted with fixed effects	0.009684977716541532	NA	treat_a
0.02908836231578164	0.028477726065665676	0.8067458180297156	47.63615378265291	2.510349299191268e-30	3	-5746.81129901985	11503.6225980397	11535.977297074192	3104.5011471132343	4770	4774	Linear model	NA	NA	treat_b
0.035393295411366335	-0.16264338409129997	NA	72.65004958098447	1.0316844318837967e-31	NA	NA	NA	NA	2424.4907216482784	3960	4774	Linear model with fixed effect	NA	NA	treat_b
0.035388693246835835	0.0347820194690035	1029.8884040023154	58.33232709231294	4.994707820726381e-37	3	-8134.370709099167	16278.741418198333	16311.096117232826	5059396494.811542	4770	4774	Linear model assets weighted	NA	NA	treat_b
0.31382217977505544	0.17211154298946907	953.8133136558068	NA	NA	NA	-5043.55877803627	11723.11755607254	17016.34631811574	NA	NA	4774	Linear model assets weighted with fixed effect	0.0019500654152273533	NA	treat_b
0.057012335155332994	0.055627334388670624	0.7953935151530642	41.164118120111375	1.1676819450188286e-56	7	-5677.153241998435	11372.30648399687	11430.544942258959	3015.2139222540127	4766	4774	Event study	NA	NA	treat_b
0.08778209053507939	-0.10172471707390329	NA	38.02981921261711	5.530418445662212e-72	NA	NA	NA	NA	2292.8141045446255	3952	4774	Event study with fixed effects	NA	NA	treat_b
0.06691693440704383	0.0655464808906463	1013.3426420954914	NA	NA	NA	-5696.629839260595	11409.25967852119	11461.02719697638	NA	NA	4774	Event study assets weighted	NA	NA	treat_b
0.3160768679134036	0.1739966828316487	952.7267565211534	NA	NA	NA	-5044.056459285607	11732.112918571214	17051.22543984201	NA	NA	4774	Event study assets weighted with fixed effects	0.005229523425469895	NA	treat_b
0.035171924955674214	0.03482158796400969	0.7773450641206	100.39455093953056	7.90178047681568e-64	3	-9644.980330392644	19299.960660785287	19335.060190760647	4992.440311063995	8262	8266	Linear model	NA	NA	treat_c
0.04184616336798289	-0.15759997950060245	NA	149.386034191897	3.15681017106797e-64	NA	NA	NA	NA	3919.935099506401	6841	8266	Linear model with fixed effect	NA	NA	treat_c
0.04661805757302388	0.046271876766042386	913.9524108815654	134.66389999928225	3.527965263159644e-85	3	-14006.91485785746	28023.82971571492	28058.92924569028	6901323035.301137	8262	8266	Linear model assets weighted	NA	NA	treat_c
0.30104518406481706	0.15505900925781968	860.2495973502527	NA	NA	NA	-8434.718516933406	19727.437033866812	29758.88270082424	NA	NA	8266	Linear model assets weighted with fixed effect	0.00611439365081079	NA	treat_c
0.05931625172524398	0.05851886903719328	0.7677429828385023	74.38868765792286	6.373779760617476e-105	7	-9540.238032666617	19098.476065333234	19161.655219288878	4867.507057808109	8258	8266	Event study	NA	NA	treat_c
0.09859211646413392	-0.09031701411150794	NA	74.7364144583374	5.299230451587482e-146	NA	NA	NA	NA	3687.7798392630407	6833	8266	Event study with fixed effects	NA	NA	treat_c
0.08147424372182144	0.0806956435409123	897.306775938339	NA	NA	NA	-9564.535864458489	19145.071728916977	19201.230976877552	NA	NA	8266	Event study assets weighted	NA	NA	treat_c
0.30652128185105965	0.16118811568842495	857.1238418978248	NA	NA	NA	-8442.50531964549	19751.01063929098	29810.535930228696	NA	NA	8266	Event study assets weighted with fixed effects	0.013901184219561658	NA	treat_c
0.041619709545983305	0.04140443993896292	0.7413214401272747	193.3376017269086	9.663161490301229e-123	3	-14956.090539979417	29922.181079958835	29959.681182194287	7339.889670723782	13356	13360	Linear model	NA	NA	cit_m22
