r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.034730388034475104	0.0333903561807517	1114375.5276108957	25.91758392755358	1.8117526378189252e-16	3	-33215.03733892576	66440.07467785152	66468.4755560537	2683600716538752	2161	2165	Linear model	NA	NA	all
0.028726099689334123	-0.4002909528796008	NA	22.196558365204098	3.16198558862099e-10	NA	NA	NA	NA	566638236281867.9	1501	2165	Linear model with fixed effect	NA	NA	all
0.05519640023095821	0.05388478024053389	1837657117.6553748	42.08261587496727	1.9966579866809048e-26	3	-34034.00411097857	68078.00822195713	68106.40910015932	7297661736952103e6	2161	2165	Linear model assets weighted	NA	NA	all
0.7778379490711896	0.6786372471858653	1071001887.1641034	NA	NA	NA	-31508.651752418482	64355.303504836964	68155.34100828905	NA	NA	2165	Linear model assets weighted with fixed effect	0.0012859657394024282	NA	all
0.045024193131190014	0.04192505977556571	1109444.9166943284	14.527994753591305	1.3773651244274557e-18	7	-33203.43137372129	66424.86274744257	66475.9843282065	2654982325996855.5	2157	2165	Event study	NA	NA	all
0.05848225343494237	-0.36466470433140286	NA	9.27375025026522	4.864040768463633e-15	NA	NA	NA	NA	549278586782843.7	1493	2165	Event study with fixed effects	NA	NA	all
0.0721690794450206	0.06915803797822184	1822764002.02597	NA	NA	NA	-33304.39526067061	66624.79052134122	66670.23192646471	NA	NA	2165	Event study assets weighted	NA	NA	all
0.7793471285950374	0.6801789593299805	1068429775.566082	NA	NA	NA	-31504.643365315	64353.28673063	68170.3647610034	NA	NA	2165	Event study assets weighted with fixed effects	0.008070377228151515	NA	all
0.04476132233383307	0.04134975562788257	1057791.7301779902	13.120459364244152	2.226040360223489e-8	3	-12903.289120235642	25816.578240471285	25840.269002944264	939895609323674.75	840	844	Linear model	NA	NA	treat_a
0.048772983838510794	-0.34318990724310794	NA	15.305216765756565	3.2947816625702693e-7	NA	NA	NA	NA	251157848696537.16	597	844	Linear model with fixed effect	NA	NA	treat_a
0.06300439565765083	0.059657982784999564	1710080142.645813	18.827442415297256	7.968975566736576e-12	3	-13186.251027807408	26382.502055614816	26406.192818087795	24564742391880803e5	840	844	Linear model assets weighted	NA	NA	treat_a
0.7108525753776402	0.5882579747353898	1131582288.2258303	NA	NA	NA	-12334.938903324422	25173.877806648845	26367.892235287025	NA	NA	844	Linear model assets weighted with fixed effect	7.008423768578576e-4	NA	treat_a
0.05387577238731723	0.0459536795723785	1055248.6474276567	6.800699467408839	7.18819152537815e-8	7	-12899.243256740943	25816.486513481887	25859.12988593325	930927555802643.25	836	844	Event study	NA	NA	treat_a
0.09309766414697505	-0.29799434486264853	NA	6.046353837096644	8.85556915626766e-9	NA	NA	NA	NA	239454552678559.7	589	844	Event study with fixed effects	NA	NA	treat_a
0.07830051966278895	0.07058294028197498	1700117206.898968	NA	NA	NA	-12941.297683265315	25898.59536653063	25936.500586487397	NA	NA	844	Event study assets weighted	NA	NA	treat_a
0.7170780697351857	0.5950709894512081	1122181201.181235	NA	NA	NA	-12330.756162660193	25171.512325320386	26379.741211442353	NA	NA	844	Event study assets weighted with fixed effects	0.022216272698977746	NA	treat_a
0.051259082100878484	0.04778807874271096	1051138.940017302	14.767799627811426	2.2600955863813227e-9	3	-12592.277588597392	25194.555177194783	25218.12602984433	906012318400971.9	820	824	Linear model	NA	NA	treat_b
0.05172389570388798	-0.3160729069741992	NA	16.172647403771123	1.4493398591085748e-7	NA	NA	NA	NA	236347938538066.78	593	824	Linear model with fixed effect	NA	NA	treat_b
0.0784550339123825	0.07508352793889117	1701891098.2283247	23.27002666738278	1.8382744028393323e-14	3	-12867.362422181333	25744.724844362667	25768.295697012214	2375075314387627e6	820	824	Linear model assets weighted	NA	NA	treat_b
0.7260773839682717	0.6166015085134144	1095735442.7677226	NA	NA	NA	-12025.337240987232	24522.674481974464	25635.218727033098	NA	NA	824	Linear model assets weighted with fixed effect	0.0010236853282528102	NA	treat_b
0.061308039720176254	0.053255535158952316	1048116.8555083456	7.613536788963637	6.440301913617363e-9	7	-12587.890455462833	25193.780910925667	25236.20844569485	896415937325373.1	816	824	Event study	NA	NA	treat_b
0.08965198293560649	-0.2807118257162322	NA	5.76113849145901	2.7515908271850046e-8	NA	NA	NA	NA	226894757983061.25	585	824	Event study with fixed effects	NA	NA	treat_b
0.09515859339243293	0.08739647348280921	1690524935.4606185	NA	NA	NA	-12628.884657436634	25273.76931487327	25311.482679112545	NA	NA	824	Event study assets weighted	NA	NA	treat_b
0.7264714812824086	0.6151897933255082	1097750898.075352	NA	NA	NA	-12024.817493582044	24527.63498716409	25654.321743812452	NA	NA	824	Event study assets weighted with fixed effects	0.0024609302268370215	NA	treat_b
0.04979350200876449	0.04693716985047425	1019120.0466966362	17.432672129620023	4.8939615411636213e-11	3	-15281.891421430499	30573.782842860997	30598.331609269222	1036528458239796.3	998	1002	Linear model	NA	NA	treat_c
0.037291284196192986	-0.3440326701807681	NA	13.886781292068084	1.2103834312262226e-6	NA	NA	NA	NA	279562800678189.94	717	1002	Linear model with fixed effect	NA	NA	treat_c
0.07171232562806855	0.06892188171713087	1698628831.1912386	25.699253565706375	5.113925701336436e-16	3	-15605.202359565697	31220.404719131395	31244.95348553962	2879569226341806e6	998	1002	Linear model assets weighted	NA	NA	treat_c
0.7234629792669575	0.6112169132671692	1097637947.0021472	NA	NA	NA	-14612.190349308765	29804.38069861753	31228.209150294526	NA	NA	1002	Linear model assets weighted with fixed effect	3.4749666840261373e-4	NA	treat_c
0.06428461884823786	0.0576950739105494	1013351.9537192624	9.755547531145321	8.585980262380802e-12	7	-15274.192064948149	30566.384129896298	30610.571909431103	1020720889014006.1	994	1002	Event study	NA	NA	treat_c
0.07800508318684153	-0.301716377616321	NA	5.998471680368079	9.011927007233564e-9	NA	NA	NA	NA	267739843759625.34	709	1002	Event study with fixed effects	NA	NA	treat_c
0.09652588522661687	0.09016339146060715	1679140878.9635024	NA	NA	NA	-15311.384375712678	30638.768751425356	30678.046777678515	NA	NA	1002	Event study assets weighted	NA	NA	treat_c
0.7286435004025678	0.6168859575500287	1089605950.7335517	NA	NA	NA	-14607.808084490656	29801.616168981313	31240.173880503244	NA	NA	1002	Event study assets weighted with fixed effects	0.019074540548630226	NA	treat_c
0.031119202211148313	0.028535520083711408	1156751.0437846966	12.044516576046124	9.181794762016522e-8	3	-17362.08909112575	34734.1781822515	34759.323620072246	1505332099459108.5	1125	1129	Linear model	NA	NA	cit_m22
0.01666406237470061	-0.7550679393059141	NA	5.355081116146426	0.004940876746841162	NA	NA	NA	NA	276744175950979.9	632	1129	Linear model with fixed effect	NA	NA	cit_m22
0.03979448178311137	0.0372339337345331	1958159128.538763	15.541392322321574	6.555336877587801e-10	3	-17677.35686588777	35364.71373177554	35389.85916959629	43136855692646485e5	1125	1129	Linear model assets weighted	NA	NA	cit_m22
0.8043356110716723	0.6479913385787023	1184034260.5824592	NA	NA	NA	-16390.407055558102	33784.814111116204	36309.41606831933	NA	NA	1129	Linear model assets weighted with fixed effect	0.004473460932506557	NA	cit_m22
0.04417000182873227	0.038201393454781574	1150981.9391174973	7.400385326252299	1.0270932329506694e-8	7	-17354.433614458518	34726.867228917035	34772.12901699438	1485055314499810	1121	1129	Event study	NA	NA	cit_m22
0.05104786662408812	-0.7154134718718406	NA	3.3567413627187173	2.8268838538337307e-4	NA	NA	NA	NA	267067404047335	624	1129	Event study with fixed effects	NA	NA	cit_m22
0.05677847692885685	0.050888601227252916	1944223503.018616	NA	NA	NA	-17388.30550043926	34792.61100087852	34832.843701391714	NA	NA	1129	Event study assets weighted	NA	NA	cit_m22
0.8058910719278727	0.6491107838696162	1182150049.7689965	NA	NA	NA	-16386.5402637647	33783.0805275294	36322.76974742497	NA	NA	1129	Event study assets weighted with fixed effects	0.012387535493082025	NA	cit_m22
