r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.04424092097783463	0.04208992530111555	1122797.8041929926	20.567647558137363	4.972862216154749e-13	3	-20521.311603510272	41052.623207020544	41078.61412490605	1680479653831107.5	1333	1337	Linear model	NA	NA	all
0.02308933572276475	-0.48481529860567285	NA	10.387605971793601	3.477016951189038e-5	NA	NA	NA	NA	385287750429442.7	879	1337	Linear model with fixed effect	NA	NA	all
0.06541509193643032	0.06331175005781764	1883458682.252743	31.100551271092737	1.969789094223721e-19	3	-21041.69016356249	42093.38032712498	42119.37124501049	4728706338135067e6	1333	1337	Linear model assets weighted	NA	NA	all
0.7608300806807989	0.6344038761894135	1176682657.1525414	NA	NA	NA	-19521.58876452651	39969.17752905302	42375.93652525122	NA	NA	1337	Linear model assets weighted with fixed effect	0.0022529170437929347	NA	all
0.059563185849706546	0.05460979405207522	1115436.196739873	12.024727355140575	6.003325585123053e-15	7	-20510.507701814546	41039.01540362909	41085.79905582301	1653539021057694	1329	1337	Event study	NA	NA	all
0.06455948709289863	-0.43484331256473885	NA	6.011212095482447	7.287511816620768e-9	NA	NA	NA	NA	368932169601393.6	871	1337	Event study with fixed effects	NA	NA	all
0.09526826213226258	0.09050293318939262	1855919832.3481467	NA	NA	NA	-20567.076082385902	41150.152164771804	41191.73763338862	NA	NA	1337	Event study assets weighted	NA	NA	all
0.7643552088136956	0.6385517324627983	1169988613.1092684	NA	NA	NA	-19516.302957169468	39964.605914338936	42386.959461268445	NA	NA	1337	Event study assets weighted with fixed effects	0.016958722529935022	NA	all
0.08182511285393428	0.0763160635310578	1079725.765861357	14.85285537636312	2.8136730379592827e-9	3	-7714.814735748192	15439.629471496384	15460.742352836742	582903864732447.1	500	504	Linear model	NA	NA	treat_a
0.07782000539259262	-0.3683083695797227	NA	14.303596902099276	1.0870776586815562e-6	NA	NA	NA	NA	169123759196296.25	339	504	Linear model with fixed effect	NA	NA	treat_a
0.14030687213787393	0.13514871337070122	1697754130.3353295	27.200960356398195	2.610274378374491e-16	3	-7902.523144877756	15815.046289755512	15836.15917109587	14411845435353357e5	500	504	Linear model assets weighted	NA	NA	treat_a
0.711807890195735	0.5659861340372896	1202696037.4948733	NA	NA	NA	-7400.480737775431	15140.961475550863	15858.799441122996	NA	NA	504	Linear model assets weighted with fixed effect	0.0017972726545002482	NA	treat_a
0.09410501904370051	0.08132021084472041	1076797.034273014	7.3606907181609635	2.0129745754441768e-8	7	-7711.421682482859	15440.843364965718	15478.846551378361	575107959097502.5	496	504	Event study	NA	NA	treat_a
0.14515678705433602	-0.2990517707301179	NA	5.620550738119914	9.100421977211726e-8	NA	NA	NA	NA	156774489299520.3	331	504	Event study with fixed effects	NA	NA	treat_a
