r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.07357365533575734	0.07020074388673703	1064433.9944486592	21.813100180002532	1.3372874767877723e-13	3	-12663.821968298244	25337.643936596487	25361.239002368413	933608256315253	824	828	Linear model	NA	NA	all
0.04150472568831242	-0.2785090191222026	NA	13.423608136843935	1.9628746338225267e-6	NA	NA	NA	NA	181158394526040.6	620	828	Linear model with fixed effect	NA	NA	all
0.13431446394807908	0.13116269621973464	1652802536.7732956	42.615597190163065	1.3185497883849683e-25	3	-12935.438880549624	25880.877761099247	25904.472826871173	22509671298649345e5	824	828	Linear model assets weighted	NA	NA	all
0.8094330905654721	0.7437417331669031	897616202.81969	NA	NA	NA	-11978.826229602133	24383.652459204266	25388.802261088327	NA	NA	828	Linear model assets weighted with fixed effect	0.0017590382245296077	NA	all
0.0803756966282288	0.07252524525798187	1063102.6174737087	10.238353546504637	2.44630188223595e-12	7	-12660.77106843014	25339.54213686028	25382.01325524975	926753483729149.4	820	828	Event study	NA	NA	all
0.05836881744553993	-0.2724329868832327	NA	3.7935995470927715	5.557390755268973e-5	NA	NA	NA	NA	177971032136514.53	612	828	Event study with fixed effects	NA	NA	all
0.14035086576684275	0.13301239754777916	1651042241.7725143	NA	NA	NA	-12715.590931461087	25447.181862922174	25484.933968157256	NA	NA	828	Event study assets weighted	NA	NA	all
0.8096781968591457	0.7428167790890743	899234698.7503551	NA	NA	NA	-11978.663952796434	24389.32790559287	25408.634746940086	NA	NA	828	Event study assets weighted with fixed effects	0.0030429712171984313	NA	all
0.03572716773306261	0.027117588873536436	999353.0710487409	4.1496998071551	0.006598118648820729	3	-5177.480806175422	10364.961612350844	10384.106340438895	335565404366488.75	336	340	Linear model	NA	NA	treat_a
0.02110333364654127	-0.2962733198977441	NA	2.759460522855554	0.0652103810236423	NA	NA	NA	NA	78938275324636.8	256	340	Linear model with fixed effect	NA	NA	treat_a
0.04091656059612504	0.03235331560144761	1641851195.653428	4.778160688098614	0.0028273517168071966	3	-5264.22349544778	10538.44699089556	10557.591718983611	9057469171526468e5	336	340	Linear model assets weighted	NA	NA	treat_a
0.7470136545784878	0.6596731305639181	973696270.4640967	NA	NA	NA	-4928.863342845134	10033.726685690268	10370.673900039967	NA	NA	340	Linear model assets weighted with fixed effect	5.34583896615759e-4	NA	treat_a
0.04189165642265446	0.02169057688939713	1002136.5311048129	2.0737335523919755	0.045868449834431634	7	-5176.390526388614	10370.781052777227	10405.24156333572	333420172155629.5	332	340	Event study	NA	NA	treat_a
0.038129472246175064	-0.3148149552763979	NA	0.9830958371428082	0.4586156588538498	NA	NA	NA	NA	77565286670481.75	248	340	Event study with fixed effects	NA	NA	treat_a
0.04713520555867645	0.027044682784311158	1646348737.838435	NA	NA	NA	-5187.841137151016	10391.682274302031	10422.313839242914	NA	NA	340	Event study assets weighted	NA	NA	treat_a
