r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.0065797511051642246	0.006477847913388124	1166404.674426515	64.56864589305141	1.3252249539846176e-41	3	-450107.9739074997	900225.9478149994	900267.3659892627	39789179037869610	29246	29250	Linear model	NA	NA	all
0.015073427986518085	-0.2021915997505459	NA	183.3662351613023	9.295660508302965e-80	NA	NA	NA	NA	7088517156153011	23963	29250	Linear model with fixed effect	NA	NA	all
0.007349177012893485	0.007247352747388525	1613527077.3995152	72.17510459260276	1.6804180952880558e-46	3	-470698.1547028676	941406.3094057352	941447.7275799986	7614107278439856e7	29246	29250	Linear model assets weighted	NA	NA	all
0.7391409369323925	0.6815448584805521	913860410.3666961	NA	NA	NA	-425228.15649578266	861038.3129915653	904867.0249969894	NA	NA	29250	Linear model assets weighted with fixed effect	0.009707039772121506	NA	all
0.007463443871612922	0.007225848772341448	1165965.5116083864	31.41244871840906	1.0327181430314117e-43	7	-450094.95851106243	900207.9170221249	900282.4697357988	39753784742516950	29242	29250	Event study	NA	NA	all
0.03334991830548198	-0.18027753034785898	NA	82.6459654984493	3.9188040076828313e-168	NA	NA	NA	NA	6956981243871149	23955	29250	Event study with fixed effects	NA	NA	all
0.01060203349144273	0.010365189713125278	1610991364.9748418	NA	NA	NA	-457847.8738006056	915711.7476012112	915778.0166800325	NA	NA	29250	Event study assets weighted	NA	NA	all
0.7396256901285807	0.6820835654590214	913087128.2138822	NA	NA	NA	-425196.69926224835	860983.3985244967	904845.2450693314	NA	NA	29250	Event study assets weighted with fixed effects	0.011547296621885694	NA	all
0.02467225327890808	0.024284243301429864	1111226.4678415242	63.5866465065137	1.3530705291940008e-40	3	-115737.64624238576	231485.29248477152	231519.93568662752	9311809766012718	7541	7545	Linear model	NA	NA	treat_a
0.05387506770039216	-0.15438565247747715	NA	176.03887828107577	4.4131438458128526e-75	NA	NA	NA	NA	1879820265790651.8	6183	7545	Linear model with fixed effect	NA	NA	treat_a
0.03762351054632021	0.03724065290564116	1529689392.7594821	98.27023558831318	2.148984350634897e-62	3	-120974.71575354996	241959.43150709991	241994.07470895592	17645560222577704e6	7541	7545	Linear model assets weighted	NA	NA	treat_a
0.7170827984446729	0.6545836917732015	916253828.6962608	NA	NA	NA	-109837.42895016969	222406.85790033938	231871.38064740124	NA	NA	7545	Linear model assets weighted with fixed effect	0.03126752187038906	NA	treat_a
0.02800263781084677	0.027099893809874986	1109621.960665445	31.019467070070394	1.1567630978766426e-42	7	-115724.74250295504	231467.48500591007	231529.84276925088	9280013370069566	7537	7545	Event study	NA	NA	treat_a
0.07829907242734814	-0.12604239637377912	NA	52.45701265726107	6.807632108848479e-102	NA	NA	NA	NA	1831293123665886.3	6175	7545	Event study with fixed effects	NA	NA	treat_a
0.047251931392233826	0.046367065201407986	1522421834.9545758	NA	NA	NA	-118001.358726486	236018.717452972	236074.14657594162	NA	NA	7545	Event study assets weighted	NA	NA	treat_a
0.7184368245899244	0.6560141546083222	914354632.2882789	NA	NA	NA	-109809.95468434074	222359.9093686815	231852.14667722816	NA	NA	7545	Event study assets weighted with fixed effects	0.03590382215870935	NA	treat_a
0.026950190011650253	0.026310306313718446	1166638.5688941975	42.11732553705567	7.697779425721087e-27	3	-70262.23570983867	140534.47141967734	140566.6033838128	6209089801068509	4562	4566	Linear model	NA	NA	treat_b
0.06714381817514252	-0.1349915964899986	NA	135.02810545797811	2.357032988607745e-57	NA	NA	NA	NA	1443927785078288	3752	4566	Linear model with fixed effect	NA	NA	treat_b
0.041304763555381124	0.040674319515632384	1699045155.957478	65.51693877832743	1.79953419868144e-41	3	-73059.07680058612	146128.15360117223	146160.28556530768	13169373764324487e6	4562	4566	Linear model assets weighted	NA	NA	treat_b
0.7037295832701553	0.6391476914696528	1042045374.5767269	NA	NA	NA	-67002.53627118257	135641.07254236515	140897.86187492457	NA	NA	4566	Linear model assets weighted with fixed effect	0.02190621006787663	NA	treat_b
0.031832781898292105	0.030345908153949996	1164218.4050239853	21.409203047279647	1.33731768303271e-28	7	-70250.75118170763	140519.50236341526	140577.33989885906	6177933686371267	4558	4566	Event study	NA	NA	treat_b
0.09391636094334913	-0.10477345413825079	NA	38.806887158672296	2.6935520586594288e-73	NA	NA	NA	NA	1402487722683489.3	3744	4566	Event study with fixed effects	NA	NA	treat_b
0.054370715450942964	0.052918454592706166	1688167648.1903572	NA	NA	NA	-71222.56242088115	142461.1248417623	142512.535984379	NA	NA	4566	Event study assets weighted	NA	NA	treat_b
0.7045792293302267	0.6397981255054714	1041105810.8516338	NA	NA	NA	-66988.22761962168	135620.45523924337	140902.95014311114	NA	NA	4566	Event study assets weighted with fixed effects	0.024711193245639973	NA	treat_b
0.03388584912401155	0.03351980435858748	1142394.0922401892	92.57296463385302	7.005843434671129e-59	3	-121739.93048598278	243489.86097196557	243524.74796685646	10333498826399494	7918	7922	Linear model	NA	NA	treat_c
0.04529112665237759	-0.16396013325943004	NA	154.10794749856422	4.0814122083268595e-66	NA	NA	NA	NA	2001732906102776.5	6497	7922	Linear model with fixed effect	NA	NA	treat_c
0.023315141697549717	0.02294509186490168	1578770109.8657632	63.00541073267758	2.9872653109078397e-40	3	-127057.14512327069	254124.29024654138	254159.17724143228	19735734243540376e6	7918	7922	Linear model assets weighted	NA	NA	treat_c
0.7206728608743932	0.6592406793448434	932359246.0899175	NA	NA	NA	-115330.08175516731	233518.16351033462	243488.8666501565	NA	NA	7922	Linear model assets weighted with fixed effect	0.020711779527785246	NA	treat_c
0.036233688205046084	0.03538122874300864	1141293.4462528937	42.5048812508256	2.8417775031018126e-59	7	-121730.29279559947	243478.58559119893	243541.38218200256	10308386480858910	7914	7922	Event study	NA	NA	treat_c
0.06560635180365025	-0.1405967155745549	NA	45.56105637871626	2.115172187314003e-88	NA	NA	NA	NA	1959138083937147	6489	7922	Event study with fixed effects	NA	NA	treat_c
0.03020341970653606	0.029345626420959392	1573590474.61008	NA	NA	NA	-124001.59183502733	248019.18367005466	248075.00286188012	NA	NA	7922	Event study assets weighted	NA	NA	treat_c
0.7212759981504547	0.659766864131569	931639114.9658023	NA	NA	NA	-115317.98073951241	233501.96147902482	243500.57421475943	NA	NA	7922	Event study assets weighted with fixed effects	0.02282630814689357	NA	treat_c
0.004075030396094338	0.003846973384506569	1218359.9394593728	17.868472307528926	1.435650790145564e-11	3	-202233.76647850845	404477.5329570169	404514.9367025957	19447136742182828	13101	13105	Linear model	NA	NA	cit_m22
0.009160847282384619	-0.5173491009946982	NA	39.55706129514537	7.934452111942947e-18	NA	NA	NA	NA	2771031800092473	8557	13105	Linear model with fixed effect	NA	NA	cit_m22
0.00679189019159356	0.006564455314147177	1714171236.6077394	29.86301075653786	3.1159062225673307e-19	3	-210245.0402560999	420500.0805121998	420537.48425777856	3849575605524274e7	13101	13105	Linear model assets weighted	NA	NA	cit_m22
0.7899928285258114	0.6782116493220571	975594885.6852713	NA	NA	NA	-189495.40879838294	388096.8175967659	422156.6683208098	NA	NA	13105	Linear model assets weighted with fixed effect	0.011216584989702572	NA	cit_m22
0.004570809336182695	0.004038778769286044	1218242.6385825218	8.59125324855583	1.5008570110757167e-10	7	-202230.5037825633	404479.0075651266	404546.3343071684	19437455811253232	13097	13105	Event study	NA	NA	cit_m22
0.026479450176272012	-0.4922228664042734	NA	23.25300884485079	1.0771521396787097e-43	NA	NA	NA	NA	2722597703377084	8549	13105	Event study with fixed effects	NA	NA	cit_m22
0.009687509108961323	0.009158213282723482	1711932011.7129104	NA	NA	NA	-205138.84046240337	410293.68092480674	410353.5269177328	NA	NA	13105	Event study assets weighted	NA	NA	cit_m22
0.7906044771469087	0.6790362695675625	974344045.8751937	NA	NA	NA	-189489.028846298	388090.057692596	422172.35066398716	NA	NA	13105	Event study assets weighted with fixed effects	0.014096429559340429	NA	cit_m22
