r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.0027915219705110907	0.0024037545778879954	512662.2858298798	7.198960055992155	8.02201912855489e-5	3	-112435.3550813719	224880.7101627438	224915.46736324855	2027676507994528.8	7715	7719	Linear model	NA	NA	all
0.0029115505139714025	-0.21323169685214705	NA	9.260946167633643	9.635693313364315e-5	NA	NA	NA	NA	573566446843199.1	6343	7719	Linear model with fixed effect	NA	NA	all
0.00396462429819845	0.003577313069798582	780722650.6764956	10.236275138671504	1.007293450721719e-6	3	-118485.20203673447	236980.40407346893	237015.16127397367	47025074189100573e5	7715	7719	Linear model assets weighted	NA	NA	all
0.6158672417707006	0.532302156804901	534881601.3877274	NA	NA	NA	-107581.40672446818	217922.81344893636	227515.80078824714	NA	NA	7719	Linear model assets weighted with fixed effect	0.005621201910026019	NA	all
0.004506968788710116	0.003603266127773952	512353.98009014234	4.987225315947485	1.1970040933055838e-5	7	-112428.71006344055	224875.4201268811	224937.98308778965	2024188399649473	7711	7719	Event study	NA	NA	all
0.012345477829878307	-0.2032703397172848	NA	7.918619344791983	8.841397750249328e-13	NA	NA	NA	NA	568139662315550.25	6335	7719	Event study with fixed effects	NA	NA	all
0.008776277807585386	0.007876450800018753	779036587.8869288	NA	NA	NA	-113984.40479785789	227984.80959571578	228040.4211165234	NA	NA	7719	Event study assets weighted	NA	NA	all
0.6176744715068174	0.534208614220934	533790330.2778687	NA	NA	NA	-107568.0546707631	217904.1093415262	227524.9024412408	NA	NA	7719	Event study assets weighted with fixed effects	0.010299456743474988	NA	all
0.036325584622100365	0.03442484613023067	558097.2285935042	19.111300569479923	3.6284143103139437e-12	3	-22341.1185538288	44692.2371076576	44718.88585610281	473749697693463.9	1521	1525	Linear model	NA	NA	treat_a
0.006099993184381076	-0.21176288830960255	NA	3.8358946715908435	0.021836522997193228	NA	NA	NA	NA	150879119848091.22	1250	1525	Linear model with fixed effect	NA	NA	treat_a
0.009638623211883076	0.007685247715259469	871754995.4597297	4.93434223401689	0.0020564511887020145	3	-23564.427934860294	47138.85586972059	47165.504618165796	11558942503777788e5	1521	1525	Linear model assets weighted	NA	NA	treat_a
0.5709956364601757	0.4752787720427831	633919392.8472577	NA	NA	NA	-21485.33289485162	43528.66578970324	45015.66595294583	NA	NA	1525	Linear model assets weighted with fixed effect	0.012679465361694064	NA	treat_a
0.04213953308529153	0.037719610034267714	557144.2370635732	9.533996994705946	1.2388087889135251e-11	7	-22336.504378700185	44691.00875740037	44738.97650460174	470891516254910.2	1517	1525	Event study	NA	NA	treat_a
0.029168070512780347	-0.19126236758335158	NA	3.7315154638566312	5.927812274688452e-5	NA	NA	NA	NA	147377267367933	1242	1525	Event study with fixed effects	NA	NA	treat_a
0.022456586542879742	0.017945839084606896	867236285.8886873	NA	NA	NA	-22714.31274706144	45444.62549412288	45487.26349163522	NA	NA	1525	Event study assets weighted	NA	NA	treat_a
0.5821880541113718	0.4873225398274803	626602080.9622971	NA	NA	NA	-21484.008794416208	43534.017588832416	45042.336750831164	NA	NA	1525	Event study assets weighted with fixed effects	0.03843795342949241	NA	treat_a
0.05361843175855564	0.050812952801318034	521297.13340212323	19.11204203483065	4.6388998181857155e-12	3	-14814.338281713119	29638.676563426237	29663.29470656693	275011709708790.34	1012	1016	Linear model	NA	NA	treat_b
0.008469799870721516	-0.20239325344231496	NA	3.5748898474648096	0.02844714080334449	NA	NA	NA	NA	92414354205443.77	837	1016	Linear model with fixed effect	NA	NA	treat_b
0.04263398231300902	0.039795940758600934	840614254.4801588	15.0223249010535	1.4273123432801773e-9	3	-15367.447733229475	30744.89546645895	30769.513609599642	7151119127332559e5	1012	1016	Linear model assets weighted	NA	NA	treat_b
0.6101449903694891	0.5249665849039994	591258042.7701896	NA	NA	NA	-14248.361797991165	28862.72359598233	29763.747634931664	NA	NA	1016	Linear model assets weighted with fixed effect	4.580826400490956e-5	NA	treat_b
0.06389148206923152	0.05739072847249016	519487.72349515837	9.828319304589181	6.791654902479433e-12	7	-14808.793751728588	29635.587503457176	29679.90016111042	272026434821079.56	1008	1016	Event study	NA	NA	treat_b
0.05206506118049164	-0.1606199793749108	NA	4.5532592956620235	2.6334332608407327e-6	NA	NA	NA	NA	88351111431966.23	829	1016	Event study with fixed effects	NA	NA	treat_b
0.06381993063930713	0.05731868015763564	832908764.2432287	NA	NA	NA	-14897.760016458862	29811.520032917724	29850.90906194283	NA	NA	1016	Event study assets weighted	NA	NA	treat_b
0.610655523645916	0.5232995856460854	592294563.0491674	NA	NA	NA	-14246.87539684337	28867.75079368674	29788.469347148628	NA	NA	1016	Event study assets weighted with fixed effects	0.0013552948094455175	NA	treat_b
0.03515485338072582	0.03329580685544775	556373.4754572941	18.910152544713252	4.775226728110665e-12	3	-22863.733981792415	45737.46796358483	45764.23337318741	481971598607610.8	1557	1561	Linear model	NA	NA	treat_c
0.0055920716326839474	-0.21193466269766637	NA	3.5990520015199285	0.02762676823249944	NA	NA	NA	NA	152135553995096.56	1280	1561	Linear model with fixed effect	NA	NA	treat_c
0.010627203242827093	0.008720897276050188	869040384.6655306	5.57476261840355	8.378550720538592e-4	3	-24107.298305853285	48224.59661170657	48251.36202130915	1175894963109658e6	1557	1561	Linear model assets weighted	NA	NA	treat_c
0.575967527088391	0.4815903936190361	628461248.202351	NA	NA	NA	-21980.698430489054	44531.39686097811	46057.02520832501	NA	NA	1561	Linear model assets weighted with fixed effect	0.01252088947558272	NA	treat_c
0.04059593437964776	0.03627151167562814	555516.502208948	9.387596254619886	1.9268959118095334e-11	7	-22859.32002645743	45736.64005291486	45784.8177901995	479253601303698.8	1553	1561	Event study	NA	NA	treat_c
0.02742532835227244	-0.19278025768117546	NA	3.5868729343926495	1.0323847344471696e-4	NA	NA	NA	NA	148795260226516.9	1272	1561	Event study with fixed effects	NA	NA	treat_c
0.022945049024619135	0.018541066631298064	864725068.7089881	NA	NA	NA	-23239.922816895312	46495.845633790625	46538.67028915475	NA	NA	1561	Event study assets weighted	NA	NA	treat_c
0.5866710066169978	0.493087083586884	621453533.9892566	NA	NA	NA	-21980.26015140389	44538.52030280778	46085.56097783674	NA	NA	1561	Event study assets weighted with fixed effects	0.037446957924656465	NA	treat_c
