r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.010780602378840612	0.010657900890671201	1219757.7048475416	87.86040446357896	1.5324830457335576e-56	3	-373324.72094941395	746659.4418988279	746699.9103718459	35984145052526124	24186	24190	Linear model	NA	NA	all
3.4209826452431385e-4	-0.2792003906829297	NA	3.2344482462834456	0.039403724621005345	NA	NA	NA	NA	3439956971580090	18903	24190	Linear model with fixed effect	NA	NA	all
0.0018088614356294587	0.001685047104376003	1567995005.6225398	14.609467396212791	1.6727223530555302e-9	3	-387689.8945134167	775389.7890268334	775430.2574998514	5946390125457775e7	24186	24190	Linear model assets weighted	NA	NA	all
0.8481199508636401	0.8055970733114928	691930200.2700969	NA	NA	NA	-345092.04491613444	700768.0898322689	743599.9216745417	NA	NA	24190	Linear model assets weighted with fixed effect	2.0593882551356302e-4	NA	all
0.012122704686408319	0.011836742356278629	1219030.7927174752	42.39266298086257	7.162850645370711e-60	7	-373308.30017448537	746634.6003489707	746707.4436004031	35935324331635500	24182	24190	Event study	NA	NA	all
0.004104968331828496	-0.274924843663477	NA	7.788308422421582	1.3904178262261488e-12	NA	NA	NA	NA	3427008430785528.5	18895	24190	Event study with fixed effects	NA	NA	all
0.003479551514561141	0.00319108723785122	1566811834.5759068	NA	NA	NA	-380102.9863689373	760221.9727378746	760286.7222947035	NA	NA	24190	Event study assets weighted	NA	NA	all
0.8481593394186748	0.8056166319766248	691895392.2254846	NA	NA	NA	-345096.4099198523	700782.8198397045	743638.9327657882	NA	NA	24190	Event study assets weighted with fixed effects	4.652253060349887e-4	NA	all
0.029562390575038202	0.02909312674069331	1161334.0649374255	62.997376766348644	4.0694209206453604e-40	3	-95501.98615037672	191013.97230075343	191047.64027106276	8367315011622860	6204	6208	Linear model	NA	NA	treat_a
0.0012380345036689662	-0.27926444899622904	NA	3.0034760093205564	0.04970667554356355	NA	NA	NA	NA	753088446781125.25	4846	6208	Linear model with fixed effect	NA	NA	treat_a
0.0013545144684372907	8.716104618938791e-4	1476900151.6448758	2.804935246102193	0.03826008198402644	3	-99198.80979628694	198407.61959257387	198441.2875628832	13532376095389389e6	6204	6208	Linear model assets weighted	NA	NA	treat_a
0.8563095375773933	0.8158020032513176	634136770.8475844	NA	NA	NA	-88070.3517762827	178872.7035525654	188070.7930410703	NA	NA	6208	Linear model assets weighted with fixed effect	1.7502037498950962e-5	NA	treat_a
0.03005507425321111	0.028959975143496908	1161413.6957385773	27.44507231044796	2.135484662087337e-37	7	-95500.40987338783	191018.81974677567	191079.42209333242	8363066990424670	6200	6208	Event study	NA	NA	treat_a
0.007591170034631258	-0.2732289391473839	NA	3.700700711099779	5.8971195543192487e-05	NA	NA	NA	NA	748298043126908	4838	6208	Event study with fixed effects	NA	NA	treat_a
0.0021142365799712293	9.875913632066968e-4	1476814428.3365262	NA	NA	NA	-97460.76027506443	194937.52055012886	194991.38930262375	NA	NA	6208	Event study assets weighted	NA	NA	treat_a
0.8566750612034586	0.8161186657482156	633591450.8247892	NA	NA	NA	-88083.46256454218	178906.92512908435	188131.94899383673	NA	NA	6208	Event study assets weighted with fixed effects	0.0025612841542418385	NA	treat_a
0.02696434243286317	0.026171752975165274	1220446.7691193349	34.02056660100111	1.1061647497348355e-21	3	-56901.92577736329	113813.85155472659	113844.91439671775	5485792834762830	3683	3687	Linear model	NA	NA	treat_b
0.0013162828601900106	-0.281290700096533	NA	1.8933324897678392	0.1507570222871504	NA	NA	NA	NA	474881327818182.3	2873	3687	Linear model with fixed effect	NA	NA	treat_b
0.003648262567863752	0.0028366809191272546	1619748308.3068802	4.495250198847704	0.0037352728520446583	3	-58823.441747004465	117656.88349400893	117687.9463360001	966266201647463e7	3683	3687	Linear model assets weighted	NA	NA	treat_b
0.8688114180151225	0.8313943119957258	666040286.0152578	NA	NA	NA	-52409.51482710035	106457.0296542007	111545.12317235446	NA	NA	3687	Linear model assets weighted with fixed effect	9.322787770290608e-4	NA	treat_b
0.0278022037530249	0.02595241180583041	1220584.2056490164	15.029908523058635	1.7650987361420137e-19	7	-56900.33769297557	113818.67538595114	113874.58850153524	5481069129530733	3679	3687	Event study	NA	NA	treat_b
0.009065951424488156	-0.27489804643955895	NA	2.621158377643396	0.0035707707336599497	NA	NA	NA	NA	471196304387034.8	2865	3687	Event study with fixed effects	NA	NA	treat_b
0.005687878883121389	0.0037960102101618487	1618968974.6334107	NA	NA	NA	-57809.29532177115	115634.5906435423	115684.29119072817	NA	NA	3687	Event study assets weighted	NA	NA	treat_b
0.8690839802407966	0.8315684297269027	665696289.9719229	NA	NA	NA	-52419.602473054176	106483.20494610835	111589.93616945682	NA	NA	3687	Event study assets weighted with fixed effects	0.0030079786403537367	NA	treat_b
0.04504145695205524	0.044604204871905084	1184327.1698639612	103.01027484326076	3.6954126185303513e-65	3	-100984.1577787133	201978.3155574266	202012.25623712593	9190037298261324	6552	6556	Linear model	NA	NA	treat_c
6.307935249465848e-4	-0.2767228899715406	NA	1.6193222462382952	0.19813405937927084	NA	NA	NA	NA	812040642136688.25	5131	6556	Linear model with fixed effect	NA	NA	treat_c
0.002658803329852566	0.002202145272769185	1502275954.2145057	5.82230684121485	5.723739709731448e-4	3	-104676.38845004357	209362.77690008713	209396.71757978646	14786770095187952e6	6552	6556	Linear model assets weighted	NA	NA	treat_c
0.8560318442042633	0.8158971398281205	645295595.4231126	NA	NA	NA	-93067.06954369435	188994.1390873887	198701.1734813938	NA	NA	6556	Linear model assets weighted with fixed effect	1.3885341606534318e-4	NA	treat_c
0.045968587186348116	0.04494870021480013	1184113.6290561692	45.0722368936446	1.04217706713867e-62	7	-100980.97375656838	201979.94751313675	202041.04073659552	9181115066510506	6548	6556	Event study	NA	NA	treat_c
0.006050393229437101	-0.2717820949406675	NA	3.1184845090000683	5.616990363626963e-4	NA	NA	NA	NA	807636929078840.25	5123	6556	Event study with fixed effects	NA	NA	treat_c
0.003674126553769641	0.0026090255894868353	1501969625.212527	NA	NA	NA	-102964.71461143057	205945.42922286113	205999.73431038004	NA	NA	6556	Event study assets weighted	NA	NA	treat_c
0.8564191704732631	0.8162849233754127	644615630.6363407	NA	NA	NA	-93083.34486388453	189032.68972776906	198760.08852959378	NA	NA	6556	Event study assets weighted with fixed effects	0.0028288405544270034	NA	treat_c
0.015968546059612832	0.015698405653150505	1255640.7182133617	59.112023516686136	6.70457208777784e-38	3	-169029.6228946091	338069.2457892182	338105.74303695344	17229452125436088	10928	10932	Linear model	NA	NA	cit_m22
0.003606599551911306	-0.6445079662234723	NA	11.986484867105052	6.364062613424045e-6	NA	NA	NA	NA	1138678345846933.5	6623	10932	Linear model with fixed effect	NA	NA	cit_m22
0.004406306262557041	0.004132991741948255	1648110513.513871	16.12174227971154	1.8740841934110853e-10	3	-174574.8026744391	349159.6053488782	349196.1025966134	2968337959724216e7	10928	10932	Linear model assets weighted	NA	NA	cit_m22
0.8956706872206109	0.8276784953170895	685575669.4044287	NA	NA	NA	-154193.95932162643	317015.91864325287	348505.74398921774	NA	NA	10932	Linear model assets weighted with fixed effect	2.0888519281725415e-4	NA	cit_m22
0.015747064170773387	0.015116363827418877	1256011.9090211208	24.967584585446012	4.7479331415404515e-34	7	-169030.8530217349	338079.7060434698	338145.4010893932	17233330062045862	10924	10932	Event study	NA	NA	cit_m22
0.008230828814855663	-0.6388554512811508	NA	5.489879519566733	3.584678226551502e-8	NA	NA	NA	NA	1133393776794623.5	6615	10932	Event study with fixed effects	NA	NA	cit_m22
