r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.017195498886311788	0.01696504605659943	661642.3998383102	74.61613254117027	7.715735576140433e-48	3	-189682.52056975392	379375.04113950784	379412.32636044634	5600837891385035	12794	12798	Linear model	NA	NA	all
0.03511719893734848	-0.22922899006458453	NA	182.79539387436927	1.0556107390871282e-78	NA	NA	NA	NA	1779362951035141	10045	12798	Linear model with fixed effect	NA	NA	all
0.02945585534543713	0.02922827738436462	1033707051.1737192	129.4319327170342	1.3427743601426386e-82	3	-201332.10873025443	402674.21746050887	402711.50268144737	13671032124266328e6	12794	12798	Linear model assets weighted	NA	NA	all
0.6454384564676398	0.5480752915753373	705296880.9703553	NA	NA	NA	-182454.59994732868	370425.19989465736	390991.7277643323	NA	NA	12798	Linear model assets weighted with fixed effect	0.0034635757864515115	NA	all
0.021373485000157417	0.020837880183503854	660337.7870047331	39.90532634433465	6.6278614489077045e-56	7	-189655.25988777544	379328.51977555087	379395.6331732402	5577028249783282	12790	12798	Event study	NA	NA	all
0.05700787652901678	-0.20229851589699832	NA	60.67792534847409	3.320151807596333e-120	NA	NA	NA	NA	1738993840261493.3	10037	12798	Event study with fixed effects	NA	NA	all
0.0358778163201422	0.03535014976144335	1030442519.0375655	NA	NA	NA	-191781.90345257343	383579.80690514686	383639.46325864847	NA	NA	12798	Event study assets weighted	NA	NA	all
0.6458469314197335	0.5484610123919826	704995828.8733385	NA	NA	NA	-182455.04937745817	370432.09875491634	391020.9977571544	NA	NA	12798	Event study assets weighted with fixed effects	0.004611642111087333	NA	all
0.04627802727910462	0.04544216227233788	656851.9642089874	55.36543210262297	6.094063369521981e-35	3	-50766.09939607956	101542.19879215912	101572.89599476849	1476868763376056.5	3423	3427	Linear model	NA	NA	treat_a
0.07629465758092285	-0.1803858646504135	NA	110.72036047706378	6.274758754606914e-47	NA	NA	NA	NA	458946439576056.5	2681	3427	Linear model with fixed effect	NA	NA	treat_a
0.07631543897350876	0.07550589948093522	1000957933.3123384	94.27018653641451	1.276020977005105e-58	3	-53665.415153451046	107340.83030690209	107371.52750951146	3429561152525086e6	3423	3427	Linear model assets weighted	NA	NA	treat_a
0.6903472477262964	0.6035611624477921	655468538.3638263	NA	NA	NA	-48832.32826774247	99166.65653548494	103777.37636741277	NA	NA	3427	Linear model assets weighted with fixed effect	0.024611249058437368	NA	treat_a
0.06445594076891221	0.06254052444407532	650942.5045309318	33.65113888459639	1.3440765726301841e-45	7	-50733.12488060084	101484.24976120167	101539.50472589854	1448719687036902.3	3419	3427	Event study	NA	NA	treat_a
0.11776999366378729	-0.1307594469539337	NA	35.682213345998875	4.908421437635126e-66	NA	NA	NA	NA	438339264374924.06	2673	3427	Event study with fixed effects	NA	NA	treat_a
0.10901761157891166	0.10719343002905868	983654181.9928824	NA	NA	NA	-51380.40607203162	102776.81214406324	102825.92766823823	NA	NA	3427	Event study assets weighted	NA	NA	treat_a
0.6925134999976832	0.6058927239027545	653538204.2254485	NA	NA	NA	-48801.74532060186	99111.49064120372	103740.62879469717	NA	NA	3427	Event study assets weighted with fixed effects	0.03143482185634572	NA	treat_a
0.05324189784600859	0.052017113755253086	707404.7738858679	43.47043552236807	2.5136412604368578e-27	3	-34583.51182946199	69177.02365892398	69205.77673258784	1160477491236200.3	2319	2323	Linear model	NA	NA	treat_b
0.08256516504424342	-0.1577628732430798	NA	82.79601879774478	3.7085842477396797e-35	NA	NA	NA	NA	407351404193153.8	1840	2323	Linear model with fixed effect	NA	NA	treat_b
0.08990964844707311	0.08873229999745746	1112195779.8920784	76.36621806944373	4.187987093559502e-47	3	-36363.39079208823	72736.78158417645	72765.53465784031	28685553510658076e5	2319	2323	Linear model assets weighted	NA	NA	treat_b
0.6643078439993744	0.5754481556462676	759143049.9244051	NA	NA	NA	-33420.63805495118	67815.27610990236	70615.82548476155	NA	NA	2323	Linear model assets weighted with fixed effect	0.008232288432839185	NA	treat_b
0.07567033054641262	0.07287538122193093	699579.0485045863	27.073954394663424	6.198497323519853e-36	7	-34555.66506270565	69129.3301254113	69181.08565800624	1132986106421738.3	2315	2323	Event study	NA	NA	treat_b
0.12422945006032453	-0.1100104896069467	NA	25.987212349877638	1.2359689874058063e-46	NA	NA	NA	NA	388851992181156	1832	2323	Event study with fixed effects	NA	NA	treat_b
0.12714987026312252	0.1245105826138101	1090143588.3049147	NA	NA	NA	-34899.72249439341	69815.44498878682	69861.449906649	NA	NA	2323	Event study assets weighted	NA	NA	treat_b
0.6665351017681813	0.5773441628306316	757446023.6566219	NA	NA	NA	-33404.20405307393	67790.40810614786	70613.95993993814	NA	NA	2323	Event study assets weighted with fixed effects	0.014812490862221583	NA	treat_b
0.04040260517516246	0.039630396971172654	664970.9342303452	52.32087015704457	4.052451312055808e-33	3	-55330.262348692646	110670.52469738529	110701.64819519513	1648470688087751.8	3728	3732	Linear model	NA	NA	treat_c
0.05435096942128814	-0.2029377883017982	NA	84.28676398847963	2.5586927387420847e-36	NA	NA	NA	NA	526957203750927.6	2933	3732	Linear model with fixed effect	NA	NA	treat_c
0.05311787566415483	0.05235589970573018	1032639358.3894472	69.71069766290965	7.379677913841065e-44	3	-58361.830169888395	116733.66033977679	116764.78383758663	39753305978772453e5	3728	3732	Linear model assets weighted	NA	NA	treat_c
0.6617334318591207	0.5689642876592826	696438336.1592958	NA	NA	NA	-53213.50710599017	108035.01421198033	113039.67265980199	NA	NA	3732	Linear model assets weighted with fixed effect	0.007362976445283165	NA	treat_c
0.054022075861457866	0.05224392186871629	660589.62592496	30.380988419436452	3.858995395236458e-41	7	-55303.5886561938	110625.1773123876	110681.19960844531	1625074107047922.8	3724	3732	Event study	NA	NA	treat_c
0.08545804598804911	-0.16654907022857746	NA	27.33223811313283	1.9198146786347913e-50	NA	NA	NA	NA	509622973445149.4	2925	3732	Event study with fixed effects	NA	NA	treat_c
0.07510960314247406	0.0733710873589073	1021125133.2763779	NA	NA	NA	-55924.19894902036	111864.39789804073	111914.19549453647	NA	NA	3732	Event study assets weighted	NA	NA	treat_c
0.6624995349159545	0.5694994067594619	696005897.2868476	NA	NA	NA	-53199.722375657046	108013.44475131409	113036.77729782165	NA	NA	3732	Event study assets weighted with fixed effects	0.009611091777079417	NA	treat_c
0.01844626937398225	0.017930747456636587	705389.7554573826	35.78173643704884	6.667171810670679e-23	3	-85083.19895787901	170176.39791575802	170209.65303845325	2842146726979339.5	5712	5716	Linear model	NA	NA	cit_m22
