r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
4.267640204270145e-4	1.5529831186911203e-5	1133604.0789012027	1.0377639593041237	0.37455242485564555	3	-112063.4730679657	224136.9461359314	224171.42154359017	9370644450558930	7292	7296	Linear model	NA	NA	all
0.006006119597276037	-0.2154182630804342	NA	18.02451213423732	1.568949036801588e-8	NA	NA	NA	NA	696959176541575.6	5966	7296	Linear model with fixed effect	NA	NA	all
0.026111823914006668	0.025711156809199	1273098568.7280874	65.1708702827924	1.4066437126832482e-41	3	-115759.66146370283	231529.32292740565	231563.79833506444	11818727509866203e6	7292	7296	Linear model assets weighted	NA	NA	all
0.8432257425766109	0.8081737323207608	564900818.056727	NA	NA	NA	-102596.08915805575	207860.1783161115	217058.21707947156	NA	NA	7296	Linear model assets weighted with fixed effect	3.6787702268337164e-05	NA	all
6.183894426639416e-4	-3.414995905277607e-4	1133806.4289884153	0.644230136277035	0.7195413832856081	7	-112062.77365292521	224143.54730585043	224205.60303963622	9368848030211890	7288	7296	Event study	NA	NA	all
0.010563801447737553	-0.2114698000065045	NA	6.361110409919697	8.498107738773108e-10	NA	NA	NA	NA	693763464523563.6	5958	7296	Event study with fixed effects	NA	NA	all
0.027402560251637564	0.02646839695879466	1272603731.519863	NA	NA	NA	-114696.61172179464	229409.2234435893	229464.38409584333	NA	NA	7296	Event study assets weighted	NA	NA	all
0.8436838561858697	0.8086058628526216	564264178.124035	NA	NA	NA	-102603.15383535883	207882.30767071765	217107.92676020472	NA	NA	7296	Event study assets weighted with fixed effects	0.002958802858587184	NA	all
0.06528081933333085	0.06334290810872811	1032123.8150191086	33.68617638649401	4.806591210426515e-21	3	-22149.061509827476	44308.12301965495	44334.523060919375	1541459537109329.8	1447	1451	Linear model	NA	NA	treat_a
0.003206853276943567	-0.22280039149613518	NA	1.9013476295500509	0.14982374726480016	NA	NA	NA	NA	134166362894769.97	1182	1451	Linear model with fixed effect	NA	NA	treat_a
0.0024843823870715656	4.1627813493694266e-4	1349760285.5312374	1.2012848890510652	0.30794493031440673	3	-23095.82898714023	46201.65797428046	46228.058015544884	26362210426909905e5	1447	1451	Linear model assets weighted	NA	NA	treat_a
0.8511126628296736	0.8167346019550312	577946043.9146767	NA	NA	NA	-20384.073553345555	41314.14710669111	42755.589359728496	NA	NA	1451	Linear model assets weighted with fixed effect	0.0014817465118240891	NA	treat_a
0.0662936237006606	0.061764209539818316	1032993.2508052822	14.636246840437556	1.615598318163042e-18	7	-22148.274976333832	44314.549952667665	44362.07002694362	1539789306109968.8	1443	1451	Event study	NA	NA	treat_a
0.00987507311992506	-0.2228970561977075	NA	1.1708962705669048	0.3062978678381254	NA	NA	NA	NA	133268833847487.94	1174	1451	Event study with fixed effects	NA	NA	treat_a
0.004428057292191201	-4.0146703140875317e-4	1350312282.4649632	NA	NA	NA	-22659.507195504022	45335.014391008044	45377.254457031115	NA	NA	1451	Event study assets weighted	NA	NA	treat_a
0.8517320786786715	0.8168752249438447	577724266.925132	NA	NA	NA	-20384.2590024365	41322.518004873	42785.08029092192	NA	NA	1451	Event study assets weighted with fixed effects	0.0056358810640237955	NA	treat_a
0.004835038337525928	0.0017476599662876735	1218017.4614744869	1.5660660133427995	0.19601872228197842	3	-14982.15093142732	29974.30186285464	29998.693495196098	1434608840753680.3	967	971	Linear model	NA	NA	treat_b
0.02621072565011933	-0.18665275894395017	NA	10.71265527720251	2.5648663120976955e-5	NA	NA	NA	NA	144938043153325.8	796	971	Linear model with fixed effect	NA	NA	treat_b
0.052139338193320346	0.049198715664447557	1611660142.5156422	17.730714391726316	3.2920650730428393e-11	3	-15335.753080904513	30681.506161809026	30705.89779415048	25117326172794137e5	967	971	Linear model assets weighted	NA	NA	treat_b
