r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.23337179599920654	0.23307369041113113	230432.01284141245	782.8494511149916	0	3	-106262.76833051504	212535.53666103008	212570.29386153482	409658110262647.7	7715	7719	Linear model	NA	NA	all
0.01034457010780062	-0.20418738891817667	NA	33.150734190845746	4.7593046341441686e-15	NA	NA	NA	NA	154535830341629.78	6343	7719	Linear model with fixed effect	NA	NA	all
0.357417931559594	0.35716806166907933	373923045.86322445	1430.4161690842454	0	3	-112802.70619671734	225615.41239343467	225650.1695939394	10786992972161736e5	7715	7719	Linear model assets weighted	NA	NA	all
0.6975653025611874	0.6317729934007327	283003188.38119835	NA	NA	NA	-102519.72976511218	207799.45953022435	217392.44686953514	NA	NA	7719	Linear model assets weighted with fixed effect	0.010753349135245949	NA	all
0.24000118125014713	0.2393112588365498	229493.0243683424	347.86691448210377	0	7	-106229.24832487479	212476.49664974958	212539.05961065812	406115608930281.2	7711	7719	Event study	NA	NA	all
0.036743037358706036	-0.17354652528263714	NA	24.16459477532671	2.526383539611847e-45	NA	NA	NA	NA	150413679405923.3	6335	7719	Event study with fixed effects	NA	NA	all
0.3702271822067953	0.3696554781833803	370273389.02158	NA	NA	NA	-106981.66377783605	213979.3275556721	214034.9390764797	NA	NA	7719	Event study assets weighted	NA	NA	all
0.7081850835887964	0.644478685893975	278077807.7271053	NA	NA	NA	-102464.79417055493	207697.58834110986	217318.38144082445	NA	NA	7719	Event study assets weighted with fixed effects	0.045490047349592944	NA	all
0.24785030197581903	0.24636677199944002	388024.25731868506	167.06794329883567	1.3200347148624912e-93	3	-21786.833917249198	43583.667834498396	43610.316582943604	229006055711197.72	1521	1525	Linear model	NA	NA	treat_a
0.008489591675606815	-0.2088494898291	NA	5.351426220750442	0.004850633556458676	NA	NA	NA	NA	81541819262264.4	1250	1525	Linear model with fixed effect	NA	NA	treat_a
0.2698372810833479	0.26839711792966614	634505408.6808515	187.36577199153598	2.1887022418936304e-103	3	-23079.992463024275	46169.98492604855	46196.63367449376	6123502098544318e5	1521	1525	Linear model assets weighted	NA	NA	treat_a
0.6767763075538826	0.6046605880514584	466425924.06777495	NA	NA	NA	-21007.109851433663	42572.219702867325	44059.21986610991	NA	NA	1525	Linear model assets weighted with fixed effect	0.002531536974389681	NA	treat_a
0.25744157339909923	0.25401513372460593	386050.2745607812	75.1338409123374	1.4481775860129719e-93	7	-21777.048134032695	43572.09626806539	43620.06401526676	226085813578985.5	1517	1525	Event study	NA	NA	treat_a
0.04898507695549309	-0.1669458476005059	NA	6.397319758553897	1.1737740283335553e-9	NA	NA	NA	NA	78211470418815.7	1242	1525	Event study with fixed effects	NA	NA	treat_a
0.2881533640500119	0.2848686399553184	627322025.8042017	NA	NA	NA	-21892.17755533783	43800.35511067566	43842.99310818799	NA	NA	1525	Event study assets weighted	NA	NA	treat_a
0.6829182245160377	0.6109238117249931	462716462.3080903	NA	NA	NA	-20974.08418458179	42514.16836916358	44022.487531162325	NA	NA	1525	Event study assets weighted with fixed effects	0.021485495534506738	NA	treat_a
0.16742321043730038	0.16495509742476266	476803.01789648505	67.83449930648045	5.66982699555594e-40	3	-14723.694066145345	29457.38813229069	29482.00627543138	230069211289698.2	1012	1016	Linear model	NA	NA	treat_b
0.008465666125968439	-0.20239826628690816	NA	3.5731302010242674	0.028496817168577018	NA	NA	NA	NA	82092769999343.02	837	1016	Linear model with fixed effect	NA	NA	treat_b
0.2023568598688354	0.19999230510560073	780377908.6487572	85.57926549859816	2.3700556032755646e-49	3	-15291.903480646366	30593.806961292732	30618.425104433423	6162975564706922e5	1012	1016	Linear model assets weighted	NA	NA	treat_b
0.6472036077526278	0.5701220430599245	572045366.9970784	NA	NA	NA	-14194.09210064138	28754.18420128276	29655.208240232092	NA	NA	1016	Linear model assets weighted with fixed effect	0.002340428770437164	NA	treat_b
0.1780019531207743	0.17229363335077963	474703.2759643813	31.182897996785137	2.945442396571543e-39	7	-14717.198047477917	29452.396094955835	29496.70875260908	227145945813006.03	1008	1016	Event study	NA	NA	treat_b
0.04885012571773039	-0.16455623932026975	NA	4.2576627842753725	8.41436743021209e-6	NA	NA	NA	NA	78749192233496.875	829	1016	Event study with fixed effects	NA	NA	treat_b
0.22224691118947282	0.216845848072733	772114150.5818903	NA	NA	NA	-14793.764222791755	29603.52844558351	29642.917474608617	NA	NA	1016	Event study assets weighted	NA	NA	treat_b
0.6531215840135092	0.5752936161323423	568594008.4795994	NA	NA	NA	-14183.410645984366	28740.821291968732	29661.53984543062	NA	NA	1016	Event study assets weighted with fixed effects	0.019075649959541252	NA	treat_b
0.2430265284528829	0.24156800538631806	390336.0183349707	166.62508397983578	1.1383584316749597e-93	3	-22310.465889619576	44630.93177923915	44657.69718884173	237227956625344.97	1557	1561	Linear model	NA	NA	treat_c
0.007524167497064724	-0.2095799208629523	NA	4.851974265183956	0.00795722643420482	NA	NA	NA	NA	82798253409269.69	1280	1561	Linear model with fixed effect	NA	NA	treat_c
0.25955574605898946	0.25812907119590467	637286578.2194222	181.93055248605864	4.0365395208997176e-101	3	-23623.12269383543	47256.24538767086	47283.01079727344	632350922586311e6	1557	1561	Linear model assets weighted	NA	NA	treat_c
0.678727978216316	0.6072222931171262	463707382.9746229	NA	NA	NA	-21496.55125015991	43563.10250031982	45088.730847666724	NA	NA	1561	Linear model assets weighted with fixed effect	0.0023492175759377565	NA	treat_c
0.25189744815163906	0.2485254469520649	388541.52853939007	74.7026567438521	2.2092965269189613e-93	7	-22301.26524740051	44620.53049480102	44668.708232085664	234447898627774	1553	1561	Event study	NA	NA	treat_c
0.04550742794833716	-0.17060409779920893	NA	6.0645258061946645	4.646514269415825e-9	NA	NA	NA	NA	79629463277399.48	1272	1561	Event study with fixed effects	NA	NA	treat_c
0.27716717210789055	0.27390907178899504	630472431.1832727	NA	NA	NA	-22412.938402941265	44841.87680588253	44884.70146124665	NA	NA	1561	Event study assets weighted	NA	NA	treat_c
0.6844018288534839	0.612945639159933	460316537.6341853	NA	NA	NA	-21465.182051646218	43508.364103292435	45055.4047783214	NA	NA	1561	Event study assets weighted with fixed effects	0.0199683102566538	NA	treat_c
0.2604684779658168	0.25982819093375265	270395.6650118976	406.79955226656676	2.226303202978946e-226	3	-48309.30529781667	96628.61059563333	96659.36870386818	253339371252289.38	3465	3469	Linear model	NA	NA	cit_m22
0.006842800224203683	-0.5186371996571701	NA	7.813199618347168	4.1534280078354605e-4	NA	NA	NA	NA	78880163386418.47	2268	3469	Linear model with fixed effect	NA	NA	cit_m22
0.3522355870226024	0.3516747520330116	449874107.72857326	628.0556555139148	0	3	-50869.66764889808	101749.33529779616	101780.09340603101	7012699598678696e5	3465	3469	Linear model assets weighted	NA	NA	cit_m22
0.764120684340985	0.638519899820829	335920670.01916885	NA	NA	NA	-46280.951851613296	94973.90370322659	102392.75940947211	NA	NA	3469	Linear model assets weighted with fixed effect	0.004675927473757668	NA	cit_m22
0.26996569261396985	0.26848917133350114	268809.0180310564	182.83901233598954	4.6821626416096744e-231	7	-48286.886229797135	96591.77245959427	96647.137054417	250085935373054.75	3461	3469	Event study	NA	NA	cit_m22
0.04440693499676558	-0.4663702431111578	NA	10.502344226655802	1.4719484483400834e-17	NA	NA	NA	NA	75896682937403.83	2260	3469	Event study with fixed effects	NA	NA	cit_m22
0.36324167343876723	0.3619538062657165	446293531.1878403	NA	NA	NA	-48491.834849463434	96999.66969892687	97048.88267210263	NA	NA	3469	Event study assets weighted	NA	NA	cit_m22
0.7713535218012175	0.6491389440737266	330949793.09693795	NA	NA	NA	-46231.80508878705	94881.6101775741	102318.92074876052	NA	NA	3469	Event study assets weighted with fixed effects	0.035195844901556694	NA	cit_m22
