r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.019436360801149872	0.018797001766679755	1272700.5007329409	30.399759373481302	1.8727150748942474e-19	3	-71263.0915995192	142536.1831990384	142568.35768878186	7452545963567605	4601	4605	Linear model	NA	NA	all
0.0020364960327583547	-0.3310034682112344	NA	3.5221650276464516	0.02964161025248404	NA	NA	NA	NA	817613522748420.4	3452	4605	Linear model with fixed effect	NA	NA	all
0.10849488093888764	0.10791359092428565	1738416152.8428476	186.64501060316888	3.249463098083628e-114	3	-73101.69619351072	146213.39238702145	146245.5668767649	13904639404859128e6	4601	4605	Linear model assets weighted	NA	NA	all
0.8523999824865871	0.8028574178614003	817222861.7275687	NA	NA	NA	-66185.42458338794	134686.84916677588	142138.4609913582	NA	NA	4605	Linear model assets weighted with fixed effect	0.0027559106041568082	NA	all
0.02054628662544415	0.01905484090135834	1272533.2705282494	13.776087385305182	9.201189562839405e-18	7	-71260.48386292926	142538.96772585853	142596.88180739674	7444110230392282	4597	4605	Event study	NA	NA	all
0.01108395884775839	-0.32200042202814183	NA	3.860100623628617	3.192571941404774e-5	NA	NA	NA	NA	810201099433635.4	3444	4605	Event study with fixed effects	NA	NA	all
0.10887678310096727	0.10751984106957868	1738799762.314913	NA	NA	NA	-72082.43043929289	144180.86087858578	144232.3400621753	NA	NA	4605	Event study assets weighted	NA	NA	all
0.8545572620321586	0.8055695802543724	811581977.152031	NA	NA	NA	-66182.06725410544	134686.13450821087	142157.05102663927	NA	NA	4605	Event study assets weighted with fixed effects	0.017331344348941458	NA	all
0.008463626223077678	0.007167500244284364	1241326.1575385816	6.529941040883194	2.1433325959092274e-4	3	-35518.99520543324	71047.99041086648	71076.69155849029	3536343994448902	2295	2299	Linear model	NA	NA	treat_a
0.0018005743055983694	-0.3040717909299231	NA	1.5864616438465067	0.20494112938832038	NA	NA	NA	NA	312809529261645.44	1759	2299	Linear model with fixed effect	NA	NA	treat_a
0.030990413480860804	0.02972373428279662	1695466452.0205078	24.465873859948914	1.3974848557870117e-15	3	-36405.50042354051	72821.00084708101	72849.70199470482	6597221894382486e6	2295	2299	Linear model assets weighted	NA	NA	treat_a
0.8841564469638821	0.8482277737303312	670560008.7273896	NA	NA	NA	-32737.469454342172	66564.93890868434	69693.36399968028	NA	NA	2299	Linear model assets weighted with fixed effect	7.494559958286517e-4	NA	treat_a
0.008733712525545183	0.00570496350227101	1242240.1168474725	2.883603909875536	0.0053188567788624835	7	-35518.68204849364	71055.36409698728	71107.02616271014	3535380723610864	2291	2299	Event study	NA	NA	treat_a
0.015041671357625686	-0.2926523353627506	NA	2.674018360097149	0.0030133098810354387	NA	NA	NA	NA	308660116600070	1751	2299	Event study with fixed effects	NA	NA	treat_a
0.03121679441645464	0.028256740972943173	1696747684.2867258	NA	NA	NA	-35920.228671196914	71856.45734239383	71902.37917859193	NA	NA	2299	Event study assets weighted	NA	NA	treat_a
0.8857937214563866	0.8501164888102662	666374586.4645925	NA	NA	NA	-32731.78789345049	66559.57578690098	69705.22156647121	NA	NA	2299	Event study assets weighted with fixed effects	0.014872360416837926	NA	treat_a
0.010178715905681552	0.0088734570695131465	1240783.2874378765	7.7982355864081345	3.529805011264817e-5	3	-35208.98570772127	70427.97141544255	70456.62887558878	3502460703526202	2275	2279	Linear model	NA	NA	treat_b
0.0019361395129756595	-0.2954925778857216	NA	1.702258232060545	0.18257225567789626	NA	NA	NA	NA	297999619103175.06	1755	2279	Linear model with fixed effect	NA	NA	treat_b
0.04384170025502149	0.04258083216744568	1692364620.4667268	34.77104439950859	5.731466297069101e-22	3	-36086.56570778664	72183.13141557328	72211.78887571952	6515822969582036e6	2275	2279	Linear model assets weighted	NA	NA	treat_b
0.8912231368600867	0.8584036032955872	650832122.0452065	NA	NA	NA	-32406.45787971585	65870.9157594317	68902.87504290267	NA	NA	2279	Linear model assets weighted with fixed effect	1.2760414387247287e-4	NA	treat_b
0.010628513376279299	0.007578931515264009	1241593.3260487763	3.485236291620741	0.0010116998862943897	7	-35208.46777512354	70434.93555024709	70486.5189785103	3500869105133007.5	2271	2279	Event study	NA	NA	treat_b
0.00829728822837979	-0.2931303820353466	NA	1.4616641018440144	0.14777527399656973	NA	NA	NA	NA	296100321904572.06	1747	2279	Event study with fixed effects	NA	NA	treat_b
0.04450055846512957	0.041555381850975404	1693270687.2424016	NA	NA	NA	-35608.9652906427	71233.9305812854	71279.78251751937	NA	NA	2279	Event study assets weighted	NA	NA	treat_b
0.8912954309844677	0.8582547176775143	651174200.2563571	NA	NA	NA	-32406.80706932003	65877.61413864006	68926.76789819877	NA	NA	2279	Event study assets weighted with fixed effects	7.921287244179176e-4	NA	treat_b
0.008396747602884839	0.007271204751128746	1284245.802024644	7.460175851842601	5.675333159927223e-5	3	-40985.789513885386	81981.57902777077	82010.98493878191	4359066281087365.5	2643	2647	Linear model	NA	NA	treat_c
3.8531579691606515e-4	-0.2940217487286496	NA	0.3939445375016257	0.6744426511259025	NA	NA	NA	NA	371761724617202.25	2044	2647	Linear model with fixed effect	NA	NA	treat_c
0.030026520104252743	0.028925528640125875	1723577996.5440085	27.272255128758644	2.292081522441593e-17	3	-41862.94900918639	83735.89801837278	83765.30392938392	785161589418105e7	2643	2647	Linear model assets weighted	NA	NA	treat_c
0.8794553601793975	0.8435698298355496	691775109.0794843	NA	NA	NA	-37732.22063987053	76680.44127974106	80256.20005869513	NA	NA	2647	Linear model assets weighted with fixed effect	4.339641916396575e-4	NA	treat_c
0.009679165561855092	0.007052319847165145	1284387.374691409	3.684710338230583	5.716192268263553e-4	7	-40984.07675362696	81986.15350725393	82039.08414707397	4353428799695795.5	2639	2647	Event study	NA	NA	treat_c
