r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.008683039640452755	0.006015819119306043	556050.1876324251	3.255463720232442	0.021023393450243896	3	-16388.60751650681	32787.21503301362	32812.31598655518	344748869450151.5	1115	1119	Linear model	NA	NA	all
2.1734832155091553e-4	-0.34507461441216125	NA	0.09032786021321212	0.9136405618925717	NA	NA	NA	NA	56517630176943.85	831	1119	Linear model with fixed effect	NA	NA	all
0.053919497123329774	0.05137398904384094	823213794.965071	21.18221409619652	2.3895834360451297e-13	3	-16931.018303930967	33872.03660786193	33897.13756140349	7556142617261853e5	1115	1119	Linear model assets weighted	NA	NA	all
0.7729688889956258	0.6927109175509802	468531387.88165796	NA	NA	NA	-15375.589290412789	31337.178580825577	32808.094458360974	NA	NA	1119	Linear model assets weighted with fixed effect	0.0014178660059590564	NA	all
0.01101191724137568	0.0047806691951916	556395.5613980714	1.7672089378819438	0.09022349238670384	7	-16387.29154993596	32792.58309987192	32837.76481624672	343938959046000.75	1111	1119	Event study	NA	NA	all
0.004564106274807912	-0.3522446284140519	NA	0.3773482037210826	0.9566005959724282	NA	NA	NA	NA	56271908311237.836	823	1119	Event study with fixed effects	NA	NA	all
0.05535104041918448	0.04939915678546192	824070225.1734625	NA	NA	NA	-16544.502330463696	33105.00466092739	33145.16618659389	NA	NA	1119	Event study assets weighted	NA	NA	all
0.7733346230583789	0.6920876167427308	469006328.36769503	NA	NA	NA	-15375.821145562393	31343.642291124786	32829.61874078512	NA	NA	1119	Event study assets weighted with fixed effects	0.0030265243930962527	NA	all
0.019507341420426882	0.013659472681383678	617093.5887330625	3.3358035706558358	0.0192674825991846	3	-7477.111324322397	14964.222648644794	14985.36520366275	191544662119491.34	503	507	Linear model	NA	NA	treat_a
4.029465903857859e-5	-0.30744085504528806	NA	0.0077973307147476655	0.9922331454886759	NA	NA	NA	NA	40345866902801.61	387	507	Linear model with fixed effect	NA	NA	treat_a
0.04429870910097395	0.038598701401775015	923678999.8451469	7.771692853537614	4.416552986390171e-5	3	-7642.93022444205	15295.8604488841	15317.003003902055	4291509960617303e5	503	507	Linear model assets weighted	NA	NA	treat_a
0.6891056529284777	0.5892622986470228	603741461.6613748	NA	NA	NA	-7081.691551412688	14411.383102825375	14935.718467270683	NA	NA	507	Linear model assets weighted with fixed effect	1.4309426488723354e-5	NA	treat_a
0.020989427083966308	0.007255811832639347	619093.5394608557	1.5283249675964254	0.15520414244984768	7	-7476.727850816139	14971.455701632278	15009.512300664599	191255128490482.84	499	507	Event study	NA	NA	treat_a
0.003947751742754832	-0.3298217351402797	NA	0.15021279386918765	0.9988880618126392	NA	NA	NA	NA	40188210806674.914	379	507	Event study with fixed effects	NA	NA	treat_a
0.04508225329749738	0.031686613564195776	926993492.9043686	NA	NA	NA	-7529.802766226636	15075.605532453272	15109.433620482001	NA	NA	507	Event study assets weighted	NA	NA	treat_a
0.6891374389850031	0.584969773420611	606888043.5404956	NA	NA	NA	-7081.701791378623	14419.403582757246	14960.652991216917	NA	NA	507	Event study assets weighted with fixed effects	1.1654866623234117e-4	NA	treat_a
0.022188804960093008	0.016492817416171146	610470.6207236316	3.8955150075373273	0.009023212310085677	3	-7648.531799323347	15307.063598646693	15328.323118062523	191927305064848.5	515	519	Linear model	NA	NA	treat_b
8.143556776205668e-4	-0.31032446521263934	NA	0.1609663301749462	0.8513765486243333	NA	NA	NA	NA	40479462119456.57	395	519	Linear model with fixed effect	NA	NA	treat_b
0.07367678201156537	0.06828072443105015	914184945.9615048	13.653816867634603	1.3921905361579155e-8	3	-7808.644279374759	15627.288558749518	15648.548078165348	4304030694426593e5	515	519	Linear model assets weighted	NA	NA	treat_b
0.6984690879854694	0.5995050963499311	599363128.0176662	NA	NA	NA	-7244.091715902804	14746.183431805608	15294.679032734008	NA	NA	519	Linear model assets weighted with fixed effect	4.2146842964341236e-4	NA	treat_b
0.023676832817559477	0.010302542856156172	612388.7831714937	1.7703244722439975	0.09099177196105859	7	-7648.136592820546	15314.273185641092	15352.540320589585	191635231116428.22	511	519	Event study	NA	NA	treat_b
