r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.029199764683066832	0.02882226621178363	617746.58614327	77.3506832591965	2.714462586123175e-49	3	-113874.64755899174	227759.29511798348	227794.05231848822	2944127666796192	7715	7719	Linear model	NA	NA	all
0.005898837403319706	-0.20959684264877465	NA	18.819174072545827	7.097246209202844e-9	NA	NA	NA	NA	685587280996710.5	6343	7719	Linear model with fixed effect	NA	NA	all
0.030773316417304256	0.030396429826150984	958957351.3197832	81.6513963076577	5.33744588471095e-52	3	-120072.43403897097	240154.86807794194	240189.62527844668	709470784073171e7	7715	7719	Linear model assets weighted	NA	NA	all
0.7122488712952441	0.6496508579676121	576438154.3255633	NA	NA	NA	-108266.92764781964	219293.85529563928	228886.84263495007	NA	NA	7719	Linear model assets weighted with fixed effect	0.0031956185773238666	NA	all
0.02965474932712999	0.028773875671999627	617761.9760751816	33.665156352918636	1.6899548610645562e-46	7	-113872.83830432374	227763.67660864748	227826.23956955603	2942747843399140	7711	7719	Event study	NA	NA	all
0.00896412517148486	-0.20738987875713977	NA	5.730138979195071	1.2877251679774484e-8	NA	NA	NA	NA	683473288592784.9	6335	7719	Event study with fixed effects	NA	NA	all
0.031421574178858935	0.03054230443683481	958885212.1505224	NA	NA	NA	-115167.4730111493	230350.9460222986	230406.5575431062	NA	NA	7719	Event study assets weighted	NA	NA	all
0.7131639584115022	0.6505445037127031	575702516.1407919	NA	NA	NA	-108265.91670384437	219299.83340768874	228920.62650740333	NA	NA	7719	Event study assets weighted with fixed effects	0.006365589972311847	NA	all
0.03399642158636867	0.03209108908456659	692226.49826097	17.842776289290914	2.203691750209099e-11	3	-22669.573083864532	45349.146167729064	45375.79491617427	728829015364754.5	1521	1525	Linear model	NA	NA	treat_a
0.006791738450698749	-0.210919512480908	NA	4.273863494716763	0.01413195061688708	NA	NA	NA	NA	177118728075511.66	1250	1525	Linear model with fixed effect	NA	NA	treat_a
0.004485987021121	0.0025224485339832015	1126597709.282449	2.2846443044057896	0.07714946986120702	3	-23955.512777645992	47921.025555291984	47947.67430373719	19304872682104616e5	1521	1525	Linear model assets weighted	NA	NA	treat_a
0.7108200099244165	0.6462999158305063	670864606.8129402	NA	NA	NA	-21605.982351041715	43769.96470208343	45256.964865326016	NA	NA	1525	Linear model assets weighted with fixed effect	6.924877484704162e-4	NA	treat_a
0.034573470641087956	0.030118634974962477	692931.4665079671	7.760885750283468	3.0022089187571655e-9	7	-22669.1174630108	45356.2349260216	45404.20267322297	728393644209029.9	1517	1525	Event study	NA	NA	treat_a
0.009258017261780709	-0.2156930609444816	NA	1.1605905108969055	0.3134926943531289	NA	NA	NA	NA	176678916826442.06	1242	1525	Event study with fixed effects	NA	NA	treat_a
0.004634886307412489	4.190292188310796e-5	1127997661.469727	NA	NA	NA	-22942.161988203366	45900.32397640673	45942.96197391907	NA	NA	1525	Event study assets weighted	NA	NA	treat_a
0.7116926876980216	0.646231607127041	670929384.4044834	NA	NA	NA	-21614.4597516024	43794.9195032048	45303.23866520355	NA	NA	1525	Event study assets weighted with fixed effects	0.0037081647830761177	NA	treat_a
0.03885470566378215	0.03600546072009758	723743.989974214	13.63684289408197	1.0024488646519848e-8	3	-15147.70569425221	30305.41138850442	30330.029531645112	530091027380080.75	1012	1016	Linear model	NA	NA	treat_b
0.008975112059152676	-0.2017804794025806	NA	3.7901009777461017	0.02298205525449051	NA	NA	NA	NA	118653962432864.16	837	1016	Linear model with fixed effect	NA	NA	treat_b
0.03420761985923357	0.03134459896948816	1213276738.9277928	11.948086017030805	1.0832465310406931e-7	3	-15740.2660347847	31490.5320695694	31515.15021271009	1489704930565939e6	1012	1016	Linear model assets weighted	NA	NA	treat_b
0.7624534074741723	0.7105524712920588	663223860.3340914	NA	NA	NA	-14388.214612358819	29142.429224717638	30043.453263666972	NA	NA	1016	Linear model assets weighted with fixed effect	0.006613520281127272	NA	treat_b
0.03987454976656752	0.03320701191772435	724793.7328192939	5.980400962176039	7.683839861941222e-7	7	-15147.166383637776	30312.33276727555	30356.645424928796	529528562775198.9	1008	1016	Event study	NA	NA	treat_b
0.017337375113904558	-0.20313940200167302	NA	1.462626501246333	0.1486030111689466	NA	NA	NA	NA	117652760890475.06	829	1016	Event study with fixed effects	NA	NA	treat_b
0.034955344859565085	0.02825364586553425	1215210963.7202177	NA	NA	NA	-15204.896046565706	30425.79209313141	30465.18112215652	NA	NA	1016	Event study assets weighted	NA	NA	treat_b
0.7651435573472256	0.7124495907206683	661046810.6057128	NA	NA	NA	-14387.596126339231	29149.192252678462	30069.91080614035	NA	NA	1016	Event study assets weighted with fixed effects	0.017863349141619245	NA	treat_b
0.03231138734828924	0.030446862083064352	694262.8166533525	17.329551897701013	4.531840354210637e-11	3	-23209.356240544585	46428.71248108917	46455.47789069175	750475336820654.25	1557	1561	Linear model	NA	NA	treat_c
0.009171293403503977	-0.20757248616447965	NA	5.923958136421664	0.0027484737323582365	NA	NA	NA	NA	190659766839739.94	1280	1561	Linear model with fixed effect	NA	NA	treat_c
0.005819750989457865	0.00390418210889798	1133955398.1102018	3.038131934862652	0.028108479599303397	3	-24522.645369650985	49055.29073930197	49082.05614890455	20020759935143859e5	1557	1561	Linear model assets weighted	NA	NA	treat_c
0.6979699622689952	0.630746975814759	690410590.9341652	NA	NA	NA	-22155.092692319326	44880.18538463865	46405.81373198555	NA	NA	1561	Linear model assets weighted with fixed effect	1.3840666226905274e-4	NA	treat_c
0.03329455851293691	0.028937225550664247	694803.1051682978	7.6410407010923995	4.304698013980211e-9	7	-23208.5628498097	46435.1256996194	46483.30343690404	749712854239693	1553	1561	Event study	NA	NA	treat_c
0.01309936747123969	-0.21034983234659288	NA	1.6883559371851184	0.07832394384973106	NA	NA	NA	NA	189903908959464.63	1272	1561	Event study with fixed effects	NA	NA	treat_c
0.0065826129879063	0.002104878468212279	1134979099.5856001	NA	NA	NA	-23482.116551430438	46980.233102860875	47023.057758225	NA	NA	1561	Event study assets weighted	NA	NA	treat_c
0.6987119838962979	0.6304958293067804	690645341.5309701	NA	NA	NA	-22161.519666054915	44901.03933210983	46448.08000713879	NA	NA	1561	Event study assets weighted with fixed effects	0.0025948475253682046	NA	treat_c
0.05672006557035636	0.05590337298643455	677409.136089618	69.4509374604405	1.3051346744065404e-43	3	-51495.19713777588	103000.39427555176	103031.15238378661	1590030071983870.3	3465	3469	Linear model	NA	NA	cit_m22
0.00891215824223001	-0.5154729432169076	NA	10.197267104764848	3.901003325441887e-5	NA	NA	NA	NA	317836220825174.75	2268	3469	Linear model with fixed effect	NA	NA	cit_m22
0.055411476880355144	0.054593651319212566	1076837561.7457108	67.75464049196763	1.424694286950732e-42	3	-53897.46655414049	107804.93310828098	107835.69121651583	4017941700649043e6	3465	3469	Linear model assets weighted	NA	NA	cit_m22
0.7611252817143439	0.633929508168513	670074822.779135	NA	NA	NA	-48711.806810863534	99835.61362172707	107254.46932797259	NA	NA	3469	Linear model assets weighted with fixed effect	9.813632255837312e-4	NA	cit_m22
0.058604088665157296	0.05670008075433852	677123.2484941133	30.779330449291514	1.3117276933939316e-41	7	-51491.729338096906	103001.45867619381	103056.82327101655	1586854287926874.8	3461	3469	Event study	NA	NA	cit_m22
0.012867982795356213	-0.5147671839228782	NA	2.946074143138261	0.0011048433375872861	NA	NA	NA	NA	316567610442483.4	2260	3469	Event study with fixed effects	NA	NA	cit_m22
0.05700558233919095	0.05509834139044034	1076550097.1139932	NA	NA	NA	-51912.96746432428	103841.93492864857	103891.14790182433	NA	NA	3469	Event study assets weighted	NA	NA	cit_m22
0.7621586959737603	0.6350293617862834	669067450.3846267	NA	NA	NA	-48709.05475327466	99836.10950654931	107273.42007773573	NA	NA	3469	Event study assets weighted with fixed effects	0.005303294454114593	NA	cit_m22
