r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.005029151787530047	0.00489188918545902	1198100.8264108475	36.63890755128081	1.3100754469759051e-23	3	-335278.3116198752	670566.6232397504	670606.560084933	31215199805497244	21746	21750	Linear model	NA	NA	all
0.005075256203964712	-0.27646403095917726	NA	43.23731202089394	1.862111494413437e-19	NA	NA	NA	NA	3188981685113529.5	16952	21750	Linear model with fixed effect	NA	NA	all
0.03210497271635886	0.03197144539722652	1559054328.5789065	240.4374844412908	1.7186502207115393e-153	3	-348629.38721876254	697268.7744375251	697308.7112827076	5285692358667075e7	21746	21750	Linear model assets weighted	NA	NA	all
0.8431722673794404	0.7987345042329291	710889056.9405814	NA	NA	NA	-310578.1511325706	630762.3022651412	669125.6357475315	NA	NA	21750	Linear model assets weighted with fixed effect	0.006936082201941862	NA	all
0.007228604305391361	0.0069089741071639565	1196885.9347942104	22.615523644128192	9.526250278721705e-31	7	-335254.2450629894	670526.4901259788	670598.3764473075	31146196427226320	21742	21750	Event study	NA	NA	all
0.012218465963269384	-0.2678978153780014	NA	20.959056243498445	2.912153544672356e-39	NA	NA	NA	NA	3166085918134748.5	16944	21750	Event study with fixed effects	NA	NA	all
0.03621897242440464	0.03590867589266744	1555880553.112239	NA	NA	NA	-341497.31044995063	683010.6208999013	683074.5198521934	NA	NA	21750	Event study assets weighted	NA	NA	all
0.8446941800336636	0.8006523678914159	707493910.1725429	NA	NA	NA	-310575.6683780861	630763.3367561722	669150.6323456721	NA	NA	21750	Event study assets weighted with fixed effects	0.016573131196369717	NA	all
0.010119614646443852	0.0094942953884819	1102349.8156797653	16.183116892046485	1.831209122648513e-10	3	-72870.48748347962	145750.97496695924	145783.30762334232	5770866626497631	4749	4753	Linear model	NA	NA	treat_a
0.01879858553872604	-0.26565394178066604	NA	35.29040424523474	6.584776351162898e-16	NA	NA	NA	NA	691436766216019.6	3684	4753	Linear model with fixed effect	NA	NA	treat_a
0.07894550658137207	0.07836366546108231	1406272118.7194753	135.68224009685343	2.4296388516375655e-84	3	-75940.21624748922	151890.43249497845	151922.76515136153	9391628440194983e6	4749	4753	Linear model assets weighted	NA	NA	treat_a
0.8091991846380322	0.7536180775543285	727099744.6745634	NA	NA	NA	-67859.08240670779	137864.16481341558	144802.7528732224	NA	NA	4753	Linear model assets weighted with fixed effect	0.023867269552306558	NA	treat_a
0.012221345809483638	0.01076413810045651	1101642.9748179424	8.386824838885278	3.1788753266705093e-10	7	-72865.43629326993	145748.87258653986	145807.0713680294	5758613822617367	4745	4753	Event study	NA	NA	treat_a
0.036316068650910846	-0.24576334106933406	NA	13.852868561776324	2.6132331399558337e-24	NA	NA	NA	NA	679092479205398.9	3676	4753	Event study with fixed effects	NA	NA	treat_a
0.08373677009785385	0.08238506459536388	1403200753.3593636	NA	NA	NA	-74558.62782260316	149133.25564520631	149184.98789541924	NA	NA	4753	Event study assets weighted	NA	NA	treat_a
0.8130417457375635	0.7583172948163497	720132413.3241086	NA	NA	NA	-67842.80491128689	137839.60982257378	144804.06400748706	NA	NA	4753	Event study assets weighted with fixed effects	0.04352572672861288	NA	treat_a
