r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.12136231241862012	0.12089495194650246	651524.8223927714	259.6760309417907	7.310538228900544e-158	3	-83563.11582754913	167136.23165509827	167169.42339666313	2394093111253778	5640	5644	Linear model	NA	NA	all
0.026361378299340515	-0.26362528570764066	NA	58.86130145768553	5.981384839775767e-26	NA	NA	NA	NA	472313464362789.06	4348	5644	Linear model with fixed effect	NA	NA	all
0.12298133509663293	0.12251483580679079	962996405.8219961	263.6259856649059	4.055299965650515e-160	3	-87421.77832389253	174853.55664778507	174886.74838934993	5230322117811106e6	5640	5644	Linear model assets weighted	NA	NA	all
0.7657050115864584	0.6956430433661107	567147982.2994334	NA	NA	NA	-78992.26403341215	160584.5280668243	169214.38087368882	NA	NA	5644	Linear model assets weighted with fixed effect	0.0023373623943439004	NA	all
0.12539338062948652	0.1243071055521987	650259.1806140856	115.43427926430616	7.59770315175673e-159	7	-83550.1390912309	167118.2781824618	167178.02331727857	2383109343119275.5	5636	5644	Event study	NA	NA	all
0.03870792696946692	-0.24990119080905493	NA	17.475687957966773	1.364765080243619e-31	NA	NA	NA	NA	466324136243158.2	4340	5644	Event study with fixed effects	NA	NA	all
0.12799582931706677	0.12691278652168347	960580108.1123723	NA	NA	NA	-84506.31270962636	169028.62541925273	169081.7322057565	NA	NA	5644	Event study assets weighted	NA	NA	all
0.7662169244363762	0.6960281346991868	566789073.3012344	NA	NA	NA	-78986.717234382	160581.434468764	169237.8406688804	NA	NA	5644	Event study assets weighted with fixed effects	0.004517162856707002	NA	all
0.15235344164153486	0.14983068402737276	746874.5406549479	60.39162890095452	6.577381386444138e-36	3	-15119.898161655896	30249.79632331179	30274.394742561028	562284152114367.75	1008	1012	Linear model	NA	NA	treat_a
0.02172543515231751	-0.27947682414101815	NA	8.583357871190357	2.0562907258648812e-4	NA	NA	NA	NA	136707968372404.69	773	1012	Linear model with fixed effect	NA	NA	treat_a
0.044366528868448094	0.04152238163293753	1165199550.3242457	15.599237730912893	6.358362112595773e-10	3	-15910.205889321163	31830.411778642327	31855.010197891563	1368551512012431e6	1008	1012	Linear model assets weighted	NA	NA	treat_a
