r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.0010553352378028917	6.443596488990844e-4	1.808870354148175	2.567878156991686	0.052634005719362026	3	-14674.932697632388	29359.865395264776	29394.340802923547	23859.511198582924	7292	7296	Linear model	NA	NA	all
6.077202871934998e-5	-0.2226880100654529	NA	0.18129397927275176	0.8341946835432155	NA	NA	NA	NA	2679.590973211746	5966	7296	Linear model with fixed effect	NA	NA	all
0.03158006058592846	0.031181643167080164	1603.1496089686696	79.26375477561211	1.8761279566526703e-50	3	-16643.544474172602	33297.088948345205	33331.564356003975	18741086572.425816	7292	7296	Linear model assets weighted	NA	NA	all
0.7869401416646671	0.7393036453276999	831.611244841833	NA	NA	NA	-6706.0672806506645	16080.134561301329	25278.173324661388	NA	NA	7296	Linear model assets weighted with fixed effect	6.766258765084077e-4	NA	all
0.0011073364961210331	1.4791708825512284e-4	1.8093195879837984	1.1541735418757892	0.32580888968584176	7	-14674.742791689896	29367.485583379792	29429.54131716558	23858.269163214052	7288	7296	Event study	NA	NA	all
0.004091416838018764	-0.21939461466375532	NA	2.447680633851105	0.0065073409847599285	NA	NA	NA	NA	2668.7898373575877	5958	7296	Event study with fixed effects	NA	NA	all
0.031481123976091485	0.030550878074312227	1603.6714024849164	NA	NA	NA	-16727.25090295021	33470.50180590042	33525.66245815445	NA	NA	7296	Event study assets weighted	NA	NA	all
0.7871617951862523	0.7394000160932712	831.4575211345255	NA	NA	NA	-6705.972742831016	16087.945485662032	25313.56457514911	NA	NA	7296	Event study assets weighted with fixed effects	0.0017162564611123976	NA	all
0.03478298729952269	0.03278184629185055	1.8474751327996675	17.381577393182514	4.3384816215958606e-11	3	-2947.529744851909	5905.059489703818	5931.459530968239	4938.848838055126	1447	1451	Linear model	NA	NA	treat_a
0.003740170467534843	-0.22214615297975837	NA	2.218739209178426	0.10919884473186046	NA	NA	NA	NA	539.8755835945888	1182	1451	Linear model with fixed effect	NA	NA	treat_a
0.016086701217025184	0.014046798040557196	1938.0377228579657	7.8860121414586235	3.215078175213026e-5	3	-3574.4209196779466	7158.841839355893	7185.241880620314	5434917841.424049	1447	1451	Linear model assets weighted	NA	NA	treat_a
0.8096986531722506	0.7657581044989503	944.6400666200185	NA	NA	NA	-1338.1389673051424	3222.277934610285	4663.720187647668	NA	NA	1451	Linear model assets weighted with fixed effect	7.049063644778419e-4	NA	treat_a
0.03530113052169466	0.030621371626096572	1.8495373339590684	7.543365226550322	5.97278431879252e-9	7	-2947.1401808090523	5912.2803616181045	5959.8004358940625	4936.197588629248	1443	1451	Event study	NA	NA	treat_a
0.014586487629773546	-0.21707801783375502	NA	1.7378020762232573	0.06779380962304873	NA	NA	NA	NA	533.9979383917673	1174	1451	Event study with fixed effects	NA	NA	treat_a
0.017204541770408976	0.012436996234991726	1939.6192300643472	NA	NA	NA	-3358.4690547063483	6732.938109412697	6775.17817543577	NA	NA	1451	Event study assets weighted	NA	NA	treat_a
0.8101576929368071	0.765526963167266	945.1060198288784	NA	NA	NA	-1336.0205519816423	3226.0411039632845	4688.603390012205	NA	NA	1451	Event study assets weighted with fixed effects	0.003115378976213945	NA	treat_a
0.0017263830938189443	-0.0013706395025807616	2.077788008863102	0.5574331604250651	0.6432395980545138	3	-2085.8812432464774	4181.762486492955	4206.154118834412	4174.735310452711	967	971	Linear model	NA	NA	treat_b
0.0018851350510284306	-0.2162957525131941	NA	0.7517008078500965	0.47189827606484086	NA	NA	NA	NA	567.7856974220348	796	971	Linear model with fixed effect	NA	NA	treat_b
0.03403872164717689	0.03104194415487238	2311.4084882529414	11.3584414373725	2.51885166671301e-7	3	-2271.0274346940187	4552.054869388037	4576.446501729494	5166303095.982013	967	971	Linear model assets weighted	NA	NA	treat_b
0.7968689425925328	0.7512157503974203	1171.2123842250267	NA	NA	NA	-1113.0315368027848	2584.0630736055696	3457.283511429717	NA	NA	971	Linear model assets weighted with fixed effect	0.006873352935327204	NA	treat_b
0.0027920520341078447	-0.004456603870109488	2.080987147667899	0.38518203526303724	0.9113418123287425	7	-2085.3626894008257	4188.7253788016515	4232.630317016274	4170.278730934897	963	971	Event study	NA	NA	treat_b
0.020604470479851058	-0.20560109598292442	NA	1.6577901622726152	0.08646496990171286	NA	NA	NA	NA	557.137052366264	788	971	Event study with fixed effects	NA	NA	treat_b
0.03621615514768983	0.029210457417714553	2313.591924079662	NA	NA	NA	-2227.0231996080115	4470.046399216023	4509.073010962354	NA	NA	971	Event study assets weighted	NA	NA	treat_b
0.7974518405007137	0.750670412799102	1172.49533626129	NA	NA	NA	-1111.1204878852511	2588.2409757705022	3480.974719467815	NA	NA	971	Event study assets weighted with fixed effects	0.009723195064448298	NA	treat_b
0.03315986227558183	0.0311960705266493	1.8631145661934452	16.88563071599002	8.707710533775095e-11	3	-3020.9968977101416	6051.993795420283	6078.496159491622	5126.9563247477545	1477	1481	Linear model	NA	NA	treat_c
0.004795910228550459	-0.22029996094593662	NA	2.9082796711525405	0.05495203465339901	NA	NA	NA	NA	550.5398054925778	1207	1481	Linear model with fixed effect	NA	NA	treat_c
0.013987338480682203	0.01198460457102879	1936.2443219676243	6.984122260706845	1.1516713709574601e-4	3	-3643.597291637303	7297.194583274606	7323.696947345945	5537335143.817704	1477	1481	Linear model assets weighted	NA	NA	treat_c
0.8095513551902851	0.765699090342163	942.8992463604355	NA	NA	NA	-1365.4294272314683	3286.8588544629365	4760.390296829384	NA	NA	1481	Linear model assets weighted with fixed effect	9.910218603847998e-4	NA	treat_c
