r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.029356199261004825	0.0291753564214684	1.9069065848531164	162.32989559466154	1.1462370861391178e-103	3	-33247.56233582817	66505.12467165633	66543.55940741811	58551.58543148114	16102	16106	Linear model	NA	NA	all
0.005037269730845935	-0.27153426210004183	NA	31.900528138851108	1.5161044663802915e-14	NA	NA	NA	NA	9958.212640647651	12602	16106	Linear model with fixed effect	NA	NA	all
0.1525402568746677	0.1523823647352207	1854.0526443077379	966.1041861165425	0	3	-38764.88031584129	77539.76063168258	77578.19536744436	55350805469.03443	16102	16106	Linear model assets weighted	NA	NA	all
0.7183772457001402	0.6399512218782851	1208.3778062192762	NA	NA	NA	-18961.593498434035	44941.18699686807	71914.68455448348	NA	NA	16106	Linear model assets weighted with fixed effect	0.0016156802940702208	NA	all
0.032221268227329465	0.03180044258921255	1.9043267252454976	76.56678992159055	1.0691606495688498e-109	7	-33223.756981938364	66465.51396387673	66534.69648824792	58378.75753084331	16098	16106	Event study	NA	NA	all
0.018745971141362533	-0.25481150823950727	NA	24.059698468595087	1.482556392004476e-45	NA	NA	NA	NA	9821.007336850944	12594	16106	Event study with fixed effects	NA	NA	all
0.15750150974257804	0.15713516054194432	1848.8472777145657	NA	NA	NA	-37346.30345851223	74708.60691702446	74770.1024942433	NA	NA	16106	Event study assets weighted	NA	NA	all
0.7214198821842739	0.6437563286150334	1201.9755911304337	NA	NA	NA	-18905.77921715154	44835.55843430308	71832.11683337556	NA	NA	16106	Event study assets weighted with fixed effects	0.012402168636875932	NA	all
0.04322806299297408	0.04245998276524565	1.9941541803794989	56.280661098151846	1.4101613973252553e-35	3	-7888.36096795669	15786.72193591338	15817.857477085121	14860.744395082242	3737	3741	Linear model	NA	NA	treat_a
0.022744916156351908	-0.2564228303799396	NA	33.852451725600304	2.927833510172769e-15	NA	NA	NA	NA	2062.5671195331065	2909	3741	Linear model with fixed effect	NA	NA	treat_a
0.1753877325222625	0.17472574782800676	2191.7950919843984	264.9422774335939	6.661447540851451e-156	3	-9814.0502417436	19638.1004834872	19669.23602465894	17952419915.247658	3737	3741	Linear model assets weighted	NA	NA	treat_a
0.8356154879387859	0.7883655507370255	1109.9258940902005	NA	NA	NA	-4199.021260455986	10070.042520911971	15275.905004827022	NA	NA	3741	Linear model assets weighted with fixed effect	0.04124851342784519	NA	treat_a
0.04636406676745279	0.0445758397295134	1.9919497406883768	25.927393884435634	7.1136204823206e-35	7	-7882.219975323256	15782.439950646512	15838.483924755647	14812.035451276559	3733	3741	Event study	NA	NA	treat_a
0.05489223519513393	-0.21844296462261248	NA	16.849123478946698	4.824067496757946e-30	NA	NA	NA	NA	1994.7178912950394	2901	3741	Event study with fixed effects	NA	NA	treat_a
0.1803474091839664	0.17881042334530783	2186.36424453527	NA	NA	NA	-8780.089315647398	17576.178631294795	17625.99549716958	NA	NA	3741	Event study assets weighted	NA	NA	treat_a
0.8406935433448234	0.7946204247189381	1093.4009022959674	NA	NA	NA	-4145.826851428473	9971.653702856946	15202.424619709389	NA	NA	3741	Event study assets weighted with fixed effects	0.07086561730452434	NA	treat_a
0.05343357643854196	0.05167197639469301	2.432551731079812	30.332410938067724	4.489573137426162e-19	3	-3727.5305255153503	7465.061051030701	7491.999597226106	9538.700374099575	1612	1616	Linear model	NA	NA	treat_b
0.026811058617759	-0.271602055285048	NA	17.025711576871732	5.079817868388754e-8	NA	NA	NA	NA	1449.5294890071725	1236	1616	Linear model with fixed effect	NA	NA	treat_b
0.16709972573820903	0.16554966319305664	3125.241955014201	107.80192467769089	1.3080055588395878e-63	3	-4705.8281548607265	9421.656309721453	9448.594855916857	15744625291.13815	1612	1616	Linear model assets weighted	NA	NA	treat_b
0.8129842800859415	0.7546463138414261	1694.6487371557132	NA	NA	NA	-2208.4842520266275	5186.968504053255	7261.236561099456	NA	NA	1616	Linear model assets weighted with fixed effect	0.03545428331728173	NA	treat_b
0.05852446282257144	0.05442599966321682	2.429016996888972	14.27961178301509	4.231874006069408e-18	7	-3723.1731581974923	7464.346316394985	7512.835699546714	9487.398702450237	1608	1616	Event study	NA	NA	treat_b
0.05972860415448015	-0.23659471033429536	NA	7.800591002318663	3.215917582802557e-12	NA	NA	NA	NA	1400.5000036397757	1228	1616	Event study with fixed effects	NA	NA	treat_b
0.17291409628597443	0.16931359794891088	3118.185512407867	NA	NA	NA	-4003.956790806757	8023.913581613514	8067.015255526162	NA	NA	1616	Event study assets weighted	NA	NA	treat_b
0.8186355645884424	0.7614791830703049	1670.8849328794436	NA	NA	NA	-2185.0918273128104	5146.183654625621	7236.614839389064	NA	NA	1616	Event study assets weighted with fixed effects	0.06460115002531874	NA	treat_b
0.04724786523025542	0.04651101129771873	1.9793124603571997	64.12107358592745	1.850927803681818e-40	3	-8158.85376580191	16327.70753160382	16359.02934825248	15196.672247198325	3879	3883	Linear model	NA	NA	treat_c
0.011518490650149881	-0.27230942284354054	NA	17.572290160339087	2.585669674528242e-8	NA	NA	NA	NA	2166.6695306493734	3016	3883	Linear model with fixed effect	NA	NA	treat_c
