r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.051409768859304664	0.05090519958742146	1.811172649072413	101.88842587939062	3.135887879369331e-64	3	-11358.88049502549	22727.76099005098	22760.952731615846	18501.153497178617	5640	5644	Linear model	NA	NA	all
0.0026758624190211145	-0.2943652503149641	NA	5.8329330252268905	0.0029524439561706096	NA	NA	NA	NA	2331.6275017558514	4348	5644	Linear model with fixed effect	NA	NA	all
0.022615794170599893	0.022095908954733234	1625.2802052210036	43.50151433503843	8.75640086618913e-28	3	-12401.026383880599	24812.052767761197	24845.24450932606	14898261604.525404	5640	5644	Linear model assets weighted	NA	NA	all
0.6937926515872883	0.6022265038920505	1036.5685684149694	NA	NA	NA	-5538.000509147114	13676.001018294228	22305.853825158745	NA	NA	5644	Linear model assets weighted with fixed effect	0.0028651266181749513	NA	all
0.053057723041148135	0.0518816059476932	1.8102407634694566	45.1126195991994	1.593482617123985e-62	7	-11353.973665041862	22725.947330083724	22785.69246490048	18469.01206005045	5636	5644	Event study	NA	NA	all
0.00553287013987624	-0.2930364087098336	NA	2.4146254497562056	0.007335464643888812	NA	NA	NA	NA	2324.9481509573698	4340	5644	Event study with fixed effects	NA	NA	all
0.027797559606970168	0.026590068996120042	1621.5412492078854	NA	NA	NA	-12722.858124819566	25461.716249639132	25514.823036142912	NA	NA	5644	Event study assets weighted	NA	NA	all
0.6947317775495159	0.603080972514267	1035.454628579446	NA	NA	NA	-5536.86745481053	13681.73490962106	22338.141109737466	NA	NA	5644	Event study assets weighted with fixed effects	0.005923300278244392	NA	all
0.1349483427157922	0.1323737842119702	1.8439849472890293	52.416110379878866	1.7417951423569367e-31	3	-2053.233942157813	4116.467884315626	4141.066303564863	3427.482729715153	1008	1012	Linear model	NA	NA	treat_a
0.008003742903263153	-0.2974233065003893	NA	3.1184055483886017	0.04478452325779326	NA	NA	NA	NA	471.1506491668267	773	1012	Linear model with fixed effect	NA	NA	treat_a
0.007318844344185771	0.004364436142829109	1919.4536390225514	2.4772623975336723	0.05996486888083905	3	-2434.0472056828803	4878.094411365761	4902.692830614998	3713776690.5357704	1008	1012	Linear model assets weighted	NA	NA	treat_a
0.7022657774271341	0.6085704824172075	1203.5224967596523	NA	NA	NA	-1043.7414459027812	2573.4828918055623	3768.9660673184835	NA	NA	1012	Linear model assets weighted with fixed effect	1.1623094486878927e-8	NA	treat_a
0.1375816946867187	0.13156881805604836	1.8448401550505868	22.881177036785754	6.673464470775714e-29	7	-2051.6912500609637	4121.3825001219275	4165.659654770554	3417.048938477821	1004	1012	Event study	NA	NA	treat_a
0.02987114996872099	-0.28209185278643556	NA	2.3555046038817142	0.009623345022624543	NA	NA	NA	NA	460.7646795013382	765	1012	Event study with fixed effects	NA	NA	treat_a
0.015094677302940562	0.008227807523180197	1915.725984959582	NA	NA	NA	-2340.4475487677723	4696.895097535545	4736.252568334324	NA	NA	1012	Event study assets weighted	NA	NA	treat_a
0.7031794333961732	0.6077312511941582	1204.8119918143661	NA	NA	NA	-1040.556709627834	2575.113419255668	3790.2753301679786	NA	NA	1012	Event study assets weighted with fixed effects	0.003068708095149808	NA	treat_a
0.10992845395539795	0.10556535814145385	1.8148795138525966	25.195058427109217	2.2184279947131828e-15	3	-1239.2073691875516	2488.4147383751033	2510.530973192771	2015.7980416787245	612	616	Linear model	NA	NA	treat_b
0.0065635833969855265	-0.29167737042463826	NA	1.5625433570222962	0.2106822596292031	NA	NA	NA	NA	397.69601351923194	473	616	Linear model with fixed effect	NA	NA	treat_b
0.028974258168622494	0.02421432806160595	2302.6104257216784	6.087118406615232	4.3800222702202856e-4	3	-1398.1643150295013	2806.3286300590025	2828.44486487667	3244833040.857008	612	616	Linear model assets weighted	NA	NA	treat_b
0.6589675422070371	0.5518483727720681	1560.4711259902313	NA	NA	NA	-737.5465211851811	1771.0930423703621	2425.733592973323	NA	NA	616	Linear model assets weighted with fixed effect	1.6768265979738572e-5	NA	treat_b
0.11505907655972725	0.10487061198064507	1.815584224831732	11.293073226750453	1.7124309471481519e-13	7	-1237.4268339066168	2492.8536678132336	2532.6628904850354	2004.1784150943674	608	616	Event study	NA	NA	treat_b
0.029148943211778744	-0.28402881704248606	NA	1.3961213204337923	0.17883958540259004	NA	NA	NA	NA	388.65456163350905	465	616	Event study with fixed effects	NA	NA	treat_b
0.03794643249569629	0.026870157869824385	2299.4747431952655	NA	NA	NA	-1312.4656874523012	2640.9313749046023	2676.3173506128705	NA	NA	616	Event study assets weighted	NA	NA	treat_b
0.6637592182372948	0.5552944499267447	1554.4598999531338	NA	NA	NA	-735.1709814480625	1772.341962896125	2440.2522543896866	NA	NA	616	Event study assets weighted with fixed effects	0.014067031144677111	NA	treat_b
0.1320029992896884	0.12946003932666994	1.8468199458571941	51.90919291273503	3.103043746180324e-31	3	-2087.3071487099437	4184.614297419887	4209.291149649963	3492.601766313953	1024	1028	Linear model	NA	NA	treat_c
0.014601271142590197	-0.2875375248556742	NA	5.823327543451965	0.003086846967829504	NA	NA	NA	NA	509.4177011239858	786	1028	Linear model with fixed effect	NA	NA	treat_c
0.006071191361729627	0.0031592905551721673	1980.1094691414382	2.084958164803435	0.10054878629866049	3	-2488.7936570354677	4987.5873140709355	5012.264166301011	4014933514.0183945	1024	1028	Linear model assets weighted	NA	NA	treat_c
0.6908120244761335	0.5939436689731319	1263.7741299935685	NA	NA	NA	-1092.8283057050485	2677.656611410097	3891.7577411298143	NA	NA	1028	Linear model assets weighted with fixed effect	0.0012158689045692617	NA	treat_c
0.1349757189485954	0.12903927780412494	1.8472662073350687	22.736807400898822	9.436170824811624e-29	7	-2085.5437780930947	4189.087556186189	4233.505890200326	3480.640289577331	1020	1028	Event study	NA	NA	treat_c
0.037403597460378746	-0.2706767421699112	NA	3.0230737147365203	9.201289755192681e-4	NA	NA	NA	NA	497.62967226529713	778	1028	Event study with fixed effects	NA	NA	treat_c
0.015665526672483887	0.008910290090824446	1974.389357341392	NA	NA	NA	-2373.6495940806763	4763.2991881613525	4802.782151729473	NA	NA	1028	Event study assets weighted	NA	NA	treat_c
0.6924519977401148	0.5940208247803315	1263.6540578040467	NA	NA	NA	-1088.5942476145406	2677.188495229081	3911.0311067328585	NA	NA	1028	Event study assets weighted with fixed effects	0.006513549930844631	NA	treat_c
0.07471936018959173	0.0736533686690728	1.7658960379526023	70.09376599282874	1.3699861703172354e-43	3	-5181.650827800063	10373.301655600126	10402.63335021536	8120.284479094844	2604	2608	Linear model	NA	NA	cit_m22
0.008957030272527285	-0.6636503683705868	NA	7.017994394864644	9.243036287076359e-4	NA	NA	NA	NA	1004.7461533976548	1553	2608	Linear model with fixed effect	NA	NA	cit_m22
0.027417014675649436	0.026296527365367917	1792.6076949570258	24.46883103813217	1.3038045559459698e-15	3	-5629.704454435072	11269.408908870144	11298.740603485378	8367803874.241845	2604	2608	Linear model assets weighted	NA	NA	cit_m22
0.7181655173490162	0.5253601445277036	1251.566696948083	NA	NA	NA	-2462.4780085209386	7044.956017041877	13263.275275471215	NA	NA	2608	Linear model assets weighted with fixed effect	1.2001699452035552e-4	NA	cit_m22
0.07516595035134199	0.07267601252536471	1.766827360141691	30.18788243109794	2.2286453625148455e-40	7	-5181.021295387233	10380.042590774467	10432.839641081886	8116.365193417668	2600	2608	Event study	NA	NA	cit_m22
0.01478088684079154	-0.66243768802981	NA	2.3179077490483664	0.010504207302594087	NA	NA	NA	NA	998.841770173471	1545	2608	Event study with fixed effects	NA	NA	cit_m22
0.034366907555854254	0.03176712615311994	1787.5648606396044	NA	NA	NA	-5678.873362614784	11373.746725229568	11420.67743661394	NA	NA	2608	Event study assets weighted	NA	NA	cit_m22
0.7188380895754705	0.5255733977496774	1251.2855041515181	NA	NA	NA	-2460.4613250011234	7046.922650002247	13282.840925200722	NA	NA	2608	Event study assets weighted with fixed effects	0.002506139161089438	NA	cit_m22
