r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.10881395517976925	0.10823287321183594	2.268594691065067	187.26093939345353	1.428241760679446e-114	3	-10304.445459498984	20618.890918997968	20651.065408741415	23679.147134583927	4601	4605	Linear model	NA	NA	all
0.008938370714503544	-0.32179830278981036	NA	15.566769409038873	1.8609837287550279e-7	NA	NA	NA	NA	3609.155032769774	3452	4605	Linear model with fixed effect	NA	NA	all
0.22415963860998897	0.22365376573796758	2959.3551049861608	443.1145669352034	6.76669964700709e-253	3	-11931.11595035524	23872.23190071048	23904.40639045393	40294557914.71259	4601	4605	Linear model assets weighted	NA	NA	all
0.8533442676178995	0.8041186562555293	1486.503352368377	NA	NA	NA	-5975.071534315957	14266.143068631915	21717.75489321425	NA	NA	4605	Linear model assets weighted with fixed effect	0.003150661315968084	NA	all
0.10907372404468901	0.10771708190162022	2.2692506651666533	80.39977572711982	1.5571297893261502e-110	7	-10303.774213574987	20625.548427149974	20683.46250868818	23672.244978508694	4597	4605	Event study	NA	NA	all
0.022336594793113163	-0.3069576996435852	NA	7.868478257218255	1.299609819308005e-12	NA	NA	NA	NA	3560.3626404153506	3444	4605	Event study with fixed effects	NA	NA	all
0.2245532525004067	0.22337245475568246	2959.8912212535697	NA	NA	NA	-10767.686215381964	21551.372430763928	21602.851614353443	NA	NA	4605	Event study assets weighted	NA	NA	all
0.8567162689121374	0.8084557787663996	1469.954468290703	NA	NA	NA	-5963.620010704663	14249.240021409327	21720.156539837728	NA	NA	4605	Event study assets weighted with fixed effects	0.0260708513801714	NA	all
0.05643887076098005	0.05520545752014472	1.756799429487228	45.75828188998298	1.0233216923251697e-28	3	-4555.609841733732	9121.219683467463	9149.92083109128	7083.160020350062	2295	2299	Linear model	NA	NA	treat_a
0.018793667602293885	-0.28187160423532043	NA	16.845621670445816	5.665276243346494e-8	NA	NA	NA	NA	1214.194986404305	1759	2299	Linear model with fixed effect	NA	NA	treat_a
0.1416245299307622	0.1405024704927631	1875.6349488872627	126.21838481509027	1.132097149852216e-75	3	-4875.816156308823	9761.632312617647	9790.333460241463	8073824829.113411	2295	2299	Linear model assets weighted	NA	NA	treat_a
0.7793815165582674	0.7109570838374563	1087.6950826336174	NA	NA	NA	-2519.7620676073684	6129.524135214737	9257.94922621067	NA	NA	2299	Linear model assets weighted with fixed effect	0.003969503566284338	NA	treat_a
0.05607254593842089	0.05318843761086478	1.7586737048185803	19.441900084916266	2.0306167848568103e-25	7	-4556.056032924022	9130.112065848043	9181.774131570912	7085.9099612465325	2291	2299	Event study	NA	NA	treat_a
0.05578139537978741	-0.23918581006124984	NA	10.34434428977342	3.889810208301367e-17	NA	NA	NA	NA	1168.4244770393934	1751	2299	Event study with fixed effects	NA	NA	treat_a
0.14339314497800315	0.1407758390045618	1875.3366465108552	NA	NA	NA	-4865.548258050447	9747.096516100893	9793.018352299	NA	NA	2299	Event study assets weighted	NA	NA	treat_a
0.7906326083502073	0.7252277178690898	1060.5043650975572	NA	NA	NA	-2488.5990690535164	6073.198138107033	9218.843917677255	NA	NA	2299	Event study assets weighted with fixed effects	0.05476502336191824	NA	treat_a
0.04114480694113952	0.039880382510732115	1.7208675455773148	32.54034480169464	1.368281916045063e-20	3	-4468.865426843767	8947.730853687533	8976.388313833762	6737.151123933438	2275	2279	Linear model	NA	NA	treat_b
