r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.1508653507537353	0.15013375858034672	2.319593652939849	206.2150966637235	4.0844957518783296e-123	3	-7877.511162735601	15765.022325471202	15795.804876601602	18734.952236790257	3482	3486	Linear model	NA	NA	all
0.006743218915529033	-0.32168762202343704	NA	8.890193692153034	1.4193351296027778e-4	NA	NA	NA	NA	3011.966855361343	2619	3486	Linear model with fixed effect	NA	NA	all
0.2650611541639012	0.2644279501037322	3122.7449942094295	418.60305521916064	3.3752866157269324e-232	3	-9213.21889925003	18436.43779850006	18467.22034963046	33954849392.630695	3482	3486	Linear model assets weighted	NA	NA	all
0.8578448716350033	0.8104779562540118	1585.0894559398025	NA	NA	NA	-4688.255036830649	11120.510073661299	16488.98699080303	NA	NA	3486	Linear model assets weighted with fixed effect	0.0024740171588079063	NA	all
0.15017374045540385	0.14846333682779833	2.3218721277359076	87.80017653823339	4.269810687917275e-118	7	-7878.93023813674	15775.86047627348	15831.269068308198	18750.211637542794	3478	3486	Event study	NA	NA	all
0.02562235665925347	-0.3005385243364618	NA	6.865918332027773	1.1381474707527391e-10	NA	NA	NA	NA	2954.717473102076	2611	3486	Event study with fixed effects	NA	NA	all
0.26559572952021426	0.2641176300684148	3123.403629997633	NA	NA	NA	-8223.082143502177	16462.164287004354	16511.416368812996	NA	NA	3486	Event study assets weighted	NA	NA	all
0.8625277635271872	0.8165106303685359	1559.6579592732792	NA	NA	NA	-4670.151992520473	11090.303985040946	16477.250432860917	NA	NA	3486	Event study assets weighted with fixed effects	0.03533464196367375	NA	all
0.055467741878077396	0.05388295621008754	1.716492695247258	35.000153647549446	5.600345292377569e-22	3	-3508.922892342033	7027.845784684066	7055.30122265174	5268.068745032906	1788	1792	Linear model	NA	NA	treat_a
0.017293240028119723	-0.2846918300070347	NA	12.05432780334268	6.46251148108844e-6	NA	NA	NA	NA	1012.9588916194981	1370	1792	Linear model with fixed effect	NA	NA	treat_a
0.16525047551824185	0.16384988906776898	1700.450051004136	117.98663014515371	1.0228758865662833e-69	3	-3700.50075158423	7411.00150316846	7438.456941136134	5170056312.216423	1788	1792	Linear model assets weighted	NA	NA	treat_a
0.7589114535202868	0.6836706324211235	1045.9032443864637	NA	NA	NA	-2025.0542000730916	4904.108400146183	7248.802802585575	NA	NA	1792	Linear model assets weighted with fixed effect	0.004965000090908389	NA	treat_a
0.05587332883270173	0.052168795930139344	1.7180469490793069	15.082422076493506	2.9655630899357035e-19	7	-3508.5380627560307	7035.0761255120615	7084.495913853875	5265.806609525434	1784	1792	Event study	NA	NA	treat_a
0.06721295116533475	-0.22659442324734624	NA	9.814034146545149	5.327152749899199e-16	NA	NA	NA	NA	961.5024273686897	1362	1792	Event study with fixed effects	NA	NA	treat_a
0.1690744206035637	0.1658140623884432	1698.4516404640328	NA	NA	NA	-3813.501680088961	7643.003360177922	7686.932060926201	NA	NA	1792	Event study assets weighted	NA	NA	treat_a
0.7814880290676735	0.712661571262998	996.8242850768006	NA	NA	NA	-1992.2349825214267	4844.469965042854	7205.6376302628505	NA	NA	1792	Event study assets weighted with fixed effects	0.09814438656844837	NA	treat_a
0.057307528642562056	0.055697006197190646	1.6839022696136927	35.58319153344287	2.537439767344997e-22	3	-3412.489970121689	6834.979940243378	6862.345285683539	4979.185154939415	1756	1760	Linear model	NA	NA	treat_b
