r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.017211514530302455	0.014567240578366003	1.8192953886370453	6.508975561211589	2.2959836356875596e-4	3	-2255.4533764871085	4520.906752974217	4546.007706515777	3690.4668178943602	1115	1119	Linear model	NA	NA	all
0.0291728144733512	-0.30611888498049744	NA	12.485542838504195	4.544347722212389e-6	NA	NA	NA	NA	591.5161272909448	831	1119	Linear model with fixed effect	NA	NA	all
0.12930340855458955	0.12696072714262874	1909.6717677112613	55.19461924887471	2.8842639455610498e-33	3	-2413.067719425123	4836.135438850246	4861.236392391806	4066233580.3387003	1115	1119	Linear model assets weighted	NA	NA	all
0.7760352694941861	0.6968612969667071	1125.285004316411	NA	NA	NA	-1243.9948533969196	3073.989706793839	4544.9055843292335	NA	NA	1119	Linear model assets weighted with fixed effect	0.007690276588754652	NA	all
0.01945368644075726	0.013275626859375778	1.8204872799055773	3.1488343847288633	0.002669515121444586	7	-2254.1754530989037	4526.3509061978075	4571.532622572615	3682.0472432270867	1111	1119	Event study	NA	NA	all
0.03815238523627617	-0.306616808391061	NA	3.26448936063212	3.752796917918812e-4	NA	NA	NA	NA	586.0449569306533	823	1119	Event study with fixed effects	NA	NA	all
0.130421786148483	0.12494289551215476	1911.8773798891748	NA	NA	NA	-2425.7679673070243	4867.5359346140485	4907.697460280544	NA	NA	1119	Event study assets weighted	NA	NA	all
0.7771746441762084	0.6973040731336586	1124.462886504418	NA	NA	NA	-1250.1778186225679	3092.3556372451358	4578.332086905466	NA	NA	1119	Event study assets weighted with fixed effects	0.01273844900869725	NA	all
0.08494333811942481	0.07948574371457051	1.7108990839324378	15.56424530996127	1.0742104492136946e-9	3	-989.6625443406663	1989.3250886813325	2010.4676436992884	1472.3693647266302	503	507	Linear model	NA	NA	treat_a
0.03121918640258147	-0.2666746555046351	NA	6.235582377470397	0.0021609259811649277	NA	NA	NA	NA	200.21477082311876	387	507	Linear model with fixed effect	NA	NA	treat_a
0.19610512446385256	0.19131052282049577	1907.1950073534283	40.90123414852826	1.1500393060802295e-23	3	-1006.0536665883637	2022.1073331767275	2043.2498881946833	1829608576.4251437	503	507	Linear model assets weighted	NA	NA	treat_a
0.7448548256111807	0.6629152526351368	1231.3280020262985	NA	NA	NA	-481.68536236210514	1211.3707247242103	1735.7060891695169	NA	NA	507	Linear model assets weighted with fixed effect	0.002453232764995761	NA	treat_a
0.08040762519099853	0.06750753175680424	1.7219946611719998	6.233104093483634	5.116830248083904e-7	7	-990.9159781548866	1999.8319563097732	2037.888555342094	1479.6675409393304	499	507	Event study	NA	NA	treat_a
