r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.034159733965539486	0.03198604994595711	3.7201854097395306	15.715133229024534	4.782624472533509e-10	3	-3651.6330018332887	7313.2660036665775	7339.256921552087	18448.426050624228	1333	1337	Linear model	NA	NA	all
0.006048872315381795	-0.5107152520894767	NA	2.6746580476277044	0.0694913944345928	NA	NA	NA	NA	2611.713979024523	879	1337	Linear model with fixed effect	NA	NA	all
0.03438304169953715	0.03220986024799821	5901.612638381939	15.821523635400526	4.1123591437902147e-10	3	-4097.361413450493	8204.722826900987	8230.713744786497	46427099300.76807	1333	1337	Linear model assets weighted	NA	NA	all
0.8646694823869956	0.7931332133512884	2728.5096128854657	NA	NA	NA	-2328.9432800765762	5583.8865601531525	7990.645556351352	NA	NA	1337	Linear model assets weighted with fixed effect	2.948392678603362e-5	NA	all
0.040112595353313	0.035056754997762396	3.7142801921943733	7.933912570889357	1.864000234609821e-9	7	-3647.5000181575983	7313.000036315197	7359.783688509114	18334.720993003408	1329	1337	Event study	NA	NA	all
0.039364665827685844	-0.47348887078554736	NA	3.56916123280597	1.1819558618340415e-4	NA	NA	NA	NA	2524.17313197999	871	1337	Event study with fixed effects	NA	NA	all
0.04075753701910312	0.035705093647495634	5890.945980990753	NA	NA	NA	-3658.404457688667	7332.808915377334	7374.39438399415	NA	NA	1337	Event study assets weighted	NA	NA	all
0.8659397660017945	0.7943691473919603	2720.346606170603	NA	NA	NA	-2327.2471399964343	5586.4942799928685	8008.847826922374	NA	NA	1337	Event study assets weighted with fixed effects	0.009415734598510528	NA	all
0.04288476430564525	0.03714207289147908	3.5696086233492013	7.467711777069665	6.721194367886333e-5	3	-1354.454846059367	2718.909692118734	2740.022573459091	6371.05286194449	500	504	Linear model	NA	NA	treat_a
0.04801750172946623	-0.41252860362855026	NA	8.549491779450346	2.385664820542148e-4	NA	NA	NA	NA	928.3025041833421	339	504	Linear model with fixed effect	NA	NA	treat_a
0.05432708306334224	0.04865304556172223	5399.304201723375	9.57467818071907	3.708237267773591e-6	3	-1522.6155868762062	3055.2311737524124	3076.3440550927694	14576242931.373844	500	504	Linear model assets weighted	NA	NA	treat_a
0.8457593720416106	0.7677154614878148	2667.9548891330887	NA	NA	NA	-856.8692501627297	2053.7385003254594	2771.5764658975922	NA	NA	504	Linear model assets weighted with fixed effect	0.011762338430928443	NA	treat_a
0.04996033899531556	0.03655252119887853	3.5707012802755216	3.7262095707022325	6.063710929145965e-4	7	-1352.5849895462025	2723.169979092405	2761.173165505047	6323.95418594878	496	504	Event study	NA	NA	treat_a
0.1289151556538375	-0.3237331622541382	NA	4.898594757833143	1.3044266041775494e-6	NA	NA	NA	NA	849.4171309154708	331	504	Event study with fixed effects	NA	NA	treat_a
0.06198176554855994	0.048743604981704935	5399.0472137280085	NA	NA	NA	-1359.3109744925052	2734.6219489850105	2768.4025591295813	NA	NA	504	Event study assets weighted	NA	NA	treat_a
0.8534964491992603	0.7773677158526523	2611.935220461028	NA	NA	NA	-850.492317006602	2046.984634013204	2777.490328389551	NA	NA	504	Event study assets weighted with fixed effects	0.06133469260805158	NA	treat_a
0.04951991392947482	0.04342709286492019	3.6050087638889012	8.127583824438878	2.7578820005119402e-5	3	-1272.9874881469386	2555.9749762938773	2576.759871221805	6082.169271850988	468	472	Linear model	NA	NA	treat_b
0.044310987762847816	-0.37654288918562284	NA	7.5807573451810395	6.050105288246574e-4	NA	NA	NA	NA	799.6039997796045	327	472	Linear model with fixed effect	NA	NA	treat_b
0.06019099541334279	0.05416657871727448	5467.017055517382	9.991173992433978	2.150607156765022e-6	3	-1440.4022532882432	2890.8045065764863	2911.589401504414	13987712927.128798	468	472	Linear model assets weighted	NA	NA	treat_b
0.8611305775180177	0.7968711242577216	2533.546812878482	NA	NA	NA	-784.9881518745879	1869.9763037491757	2493.523151587009	NA	NA	472	Linear model assets weighted with fixed effect	0.00139762535809429	NA	treat_b
0.05686224658836266	0.042633875308445646	3.6065031422372122	3.996398847746022	2.931408150302234e-4	7	-1271.157341477198	2560.314682954396	2597.727493824666	6035.185320544634	464	472	Event study	NA	NA	treat_b
0.0937088341261095	-0.3381289627793178	NA	3.2984011333051626	4.3616900517255876e-4	NA	NA	NA	NA	758.2739070121871	319	472	Event study with fixed effects	NA	NA	treat_b
0.06779458673356342	0.05373114299894044	5468.275342930913	NA	NA	NA	-1278.184062734601	2572.368125469202	2605.6239573538865	NA	NA	472	Event study assets weighted	NA	NA	treat_b
