r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.011847303317877731	0.011724734141906223	1.858207743439348	96.65809714372082	3.462541081157413e-62	3	-49310.54798260482	98631.09596520964	98671.56443822765	83512.7105259776	24186	24190	Linear model	NA	NA	all
0.004450988607714227	-0.27394249783462943	NA	42.25660248205759	4.887573436985924e-19	NA	NA	NA	NA	12500.616958617466	18903	24190	Linear model with fixed effect	NA	NA	all
0.0016289417736504855	0.0015051051253960335	1645.9832331705054	13.153955606947113	1.4068561179108451e-8	3	-54666.88104773173	109343.76209546346	109384.23056848148	65526181802.603714	24186	24190	Linear model assets weighted	NA	NA	all
0.6634981634066526	0.5692854838947783	1081.053623921763	NA	NA	NA	-26300.698962919214	63185.39792583843	106017.22976811118	NA	NA	24190	Linear model assets weighted with fixed effect	0.0011277500388677808	NA	all
0.013022317154027279	0.012736615236074944	1.8572562034709077	45.58008307176568	1.4067998199650364e-64	7	-49296.157242457135	98610.31448491427	98683.15773634671	83413.40543811834	24182	24190	Event study	NA	NA	all
0.011590251065785404	-0.2653423348488868	NA	22.156579710401747	9.145480759081853e-42	NA	NA	NA	NA	12410.972767990914	18895	24190	Event study with fixed effects	NA	NA	all
0.003197496175075032	0.0029089502513807153	1644.8257318586652	NA	NA	NA	-55313.40184600753	110642.80369201506	110707.55324884389	NA	NA	24190	Event study assets weighted	NA	NA	all
0.663599747277168	0.5693471440533165	1080.9762405028519	NA	NA	NA	-26304.471077477887	63198.942154955774	106055.05508103935	NA	NA	24190	Event study assets weighted with fixed effects	0.0014292916599440986	NA	all
0.046095418968305615	0.04563414982854164	1.7324301916777365	99.93172097292688	3.596706433196065e-63	3	-12218.221949561274	24446.443899122547	24480.11186943186	18620.15434550281	6204	6208	Linear model	NA	NA	treat_a
0.007802547542852492	-0.27085629125082833	NA	19.054244343717507	5.717613002244212e-9	NA	NA	NA	NA	2517.7208593669693	4846	6208	Linear model with fixed effect	NA	NA	treat_a
0.00401630065183346	0.0035346837759396843	1439.8628344770596	8.339202492397582	1.567030628738722e-5	3	-13274.45229983687	26558.90459967374	26592.572569983055	12862163708.99997	6204	6208	Linear model assets weighted	NA	NA	treat_a
0.7427486579577836	0.6702273688442715	828.3184465420734	NA	NA	NA	-5976.248853611158	14684.497707222316	23882.587195727247	NA	NA	6208	Linear model assets weighted with fixed effect	7.857338347969645e-4	NA	treat_a
0.046405865931440776	0.04532922739297618	1.7327069276093874	43.1025495312704	8.093735697428625e-60	7	-12217.211592516784	24452.423185033567	24513.025531590334	18614.09444131049	6200	6208	Event study	NA	NA	treat_a
0.020474651255688436	-0.2566998428391778	NA	10.112690080149665	5.045814229630091e-17	NA	NA	NA	NA	2485.565143011431	4838	6208	Event study with fixed effects	NA	NA	treat_a
