r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.012572710401167635	0.012410402480023675	1.7955025669281146	77.46208757134119	8.723621075912746e-50	3	-36585.09972831375	73180.1994566275	73219.26042809794	58838.111617647286	18251	18255	Linear model	NA	NA	all
0.005278789533143758	-0.2660466445308878	NA	38.05508452404369	3.285377802957359e-17	NA	NA	NA	NA	10358.465516984454	14342	18255	Linear model with fixed effect	NA	NA	all
0.002037377978396062	0.0018733383166752438	1532.7691152073462	12.420032795878123	4.127386626789824e-8	3	-40137.50974124002	80285.01948248004	80324.08045395049	42878555560.8971	18251	18255	Linear model assets weighted	NA	NA	all
0.578576515235169	0.4634397509313506	1123.8106932078779	NA	NA	NA	-20672.59682644294	49181.19365288588	79789.37089712947	NA	NA	18255	Linear model assets weighted with fixed effect	2.463033834426698e-4	NA	all
0.01330883123690113	0.012930312127933163	1.795029889815776	35.16026251140007	4.081108317590692e-49	7	-36578.29269683991	73174.58539367982	73244.89514232663	58794.24817539367	18247	18255	Event study	NA	NA	all
0.015545702444406345	-0.253678578734464	NA	22.635088230242367	1.1382570096666388e-42	NA	NA	NA	NA	10251.551677973044	14334	18255	Event study with fixed effects	NA	NA	all
0.003020683439068139	0.0026382175424316534	1532.1817108282823	NA	NA	NA	-41572.115425304495	83160.23085060899	83222.7284049617	NA	NA	18255	Event study assets weighted	NA	NA	all
0.5787185724266566	0.4635083592211656	1123.7388418223625	NA	NA	NA	-20675.248723713063	49192.497447426125	79824.11127455198	NA	NA	18255	Event study assets weighted with fixed effects	5.833092871359025e-4	NA	all
0.04469028043285391	0.0441199462719184	1.6546488273722968	78.35806355968815	1.5552778619293217e-49	3	-9666.389149876872	19342.778299753743	19375.393181934603	13757.760278170696	5025	5029	Linear model	NA	NA	treat_a
0.008774360281098868	-0.2649448011438158	NA	17.438501448235066	2.8832262507837426e-8	NA	NA	NA	NA	2147.22350696926	3940	5029	Linear model with fixed effect	NA	NA	treat_a
0.009904480379182843	0.009313378576424114	1304.125356127841	16.755963749320706	7.899194119777186e-11	3	-10290.172464361305	20590.34492872261	20622.95981090347	8546233296.090229	5025	5029	Linear model assets weighted	NA	NA	treat_a
0.7025737864971884	0.6199595930134341	807.7297466669485	NA	NA	NA	-4956.080262028952	12100.160524057905	19236.296745230033	NA	NA	5029	Linear model assets weighted with fixed effect	2.8847616745930615e-5	NA	treat_a
0.04495917191313223	0.04362770690683715	1.6550748109753581	33.76669435588992	2.9167839801704915e-46	7	-9665.681292743056	19349.362585486113	19408.06937341166	13753.887874854012	5021	5029	Event study	NA	NA	treat_a
0.027433645934154028	-0.2436580946701612	NA	11.09118111706655	6.769515608086378e-19	NA	NA	NA	NA	2106.8031877482626	3932	5029	Event study with fixed effects	NA	NA	treat_a
0.011488547465976495	0.010110419569593687	1303.6006440255517	NA	NA	NA	-11152.447967319482	22320.895934638964	22373.07974612834	NA	NA	5029	Event study assets weighted	NA	NA	treat_a
0.7030220154248936	0.6202428010061967	807.4287284734021	NA	NA	NA	-4959.752922099697	12113.505844199393	19269.210994680037	NA	NA	5029	Event study assets weighted with fixed effects	0.0015358297757501749	NA	treat_a
0.058840944036103834	0.057867331219589535	1.7055402882642223	60.435671180623835	6.789726478613296e-38	3	-5668.989290467104	11347.978580934208	11377.847802813933	8435.716257187978	2900	2904	Linear model	NA	NA	treat_b
0.007078146977341887	-0.27148307866112775	NA	8.080272958433842	3.18589037852608e-4	NA	NA	NA	NA	1534.1858764433275	2267	2904	Linear model with fixed effect	NA	NA	treat_b
0.007174387666924888	0.006147326688649368	1478.4006586780072	6.985357070979829	1.1126335332843753e-4	3	-6076.128076847777	12162.256153695555	12192.125375575279	6338438671.98074	2900	2904	Linear model assets weighted	NA	NA	treat_b
0.6034513606302614	0.49130326995565565	1057.6953991384707	NA	NA	NA	-3178.776973904875	7639.55394780975	11468.788192790293	NA	NA	2904	Linear model assets weighted with fixed effect	5.879926836871441e-6	NA	treat_b
0.05956224813802154	0.05728909058863141	1.706063601725129	26.202428491593693	5.16255761856346e-35	7	-5667.876051325825	11353.75210265165	11407.516702035151	8429.2511260283	2896	2904	Event study	NA	NA	treat_b
0.021057994286229897	-0.2580206474489042	NA	4.859328623651023	5.7955912350911e-7	NA	NA	NA	NA	1512.5853000929937	2259	2904	Event study with fixed effects	NA	NA	treat_b
0.009619254154726864	0.0072253780425318714	1477.5986161251649	NA	NA	NA	-6438.937488254087	12893.874976508174	12941.665731515732	NA	NA	2904	Event study assets weighted	NA	NA	treat_b
0.6047122136524953	0.49202282259105523	1056.947078193631	NA	NA	NA	-3181.576529666677	7653.153059333354	11506.282681817676	NA	NA	2904	Event study assets weighted with fixed effects	0.003185428368900345	NA	treat_b
0.06104145463755518	0.06051414733016325	1.6538444657739895	115.76068410558322	1.2545693119066734e-72	3	-10273.230919513546	20556.46183902709	20589.382358510586	14611.44650366043	5342	5346	Linear model	NA	NA	treat_c
0.00860824839399542	-0.2616640267462129	NA	18.23428689829942	1.30356478605116e-8	NA	NA	NA	NA	2317.63627527126	4200	5346	Linear model with fixed effect	NA	NA	treat_c
0.013726900550068139	0.013173021984296818	1343.8298817528828	24.78323119609278	6.409937537857549e-16	3	-10907.779907379612	21825.559814759225	21858.48033424272	9647004288.333288	5342	5346	Linear model assets weighted	NA	NA	treat_c
0.6827577931848745	0.5957903229018247	860.0568127748597	NA	NA	NA	-5314.9189986872625	12931.837997374525	20510.141582474917	NA	NA	5346	Linear model assets weighted with fixed effect	7.430039319689108e-6	NA	treat_c
0.06135181238361488	0.06012091367373951	1.6541905482967094	49.84310397874013	4.274656769751285e-69	7	-10272.347256019804	20562.69451203961	20621.9514471099	14606.61692345591	5338	5346	Event study	NA	NA	treat_c
0.025193607742360097	-0.24292465806705277	NA	10.834110700831399	2.0802804178173305e-18	NA	NA	NA	NA	2278.8636806819845	4192	5346	Event study with fixed effects	NA	NA	treat_c
0.015068994213988218	0.013777402411721096	1343.418305615555	NA	NA	NA	-11794.729312424945	23605.45862484989	23658.13145602348	NA	NA	5346	Event study assets weighted	NA	NA	treat_c
0.6833199395631895	0.5962178141615571	859.6018953724556	NA	NA	NA	-5317.711188592988	12943.422377185976	20541.478273976463	NA	NA	5346	Event study assets weighted with fixed effects	0.00177939540038774	NA	treat_c
0.015137607717130196	0.014778081411843225	1.7460275307485305	42.10431196417196	5.4067945758391254e-27	3	-16246.988130866062	32503.976261732125	32539.049105569415	25053.494551167216	8218	8222	Linear model	NA	NA	cit_m22
4.5846345496829443e-5	-0.63561939856619	NA	0.1152171485187369	0.8911749598360281	NA	NA	NA	NA	3602.061976100775	5026	8222	Linear model with fixed effect	NA	NA	cit_m22
0.0014777689582940146	0.0011132560971203187	1577.9407628275762	4.054092778882747	0.00687373051536503	3	-17497.107485376793	35004.21497075359	35039.287814590876	20461973965.05943	8218	8222	Linear model assets weighted	NA	NA	cit_m22
0.6358771088592969	0.4038131272519975	1219.0563335378142	NA	NA	NA	-8265.350528115523	22932.701056231046	45386.33568086354	NA	NA	8222	Linear model assets weighted with fixed effect	1.1962477200100352e-4	NA	cit_m22
0.014810027843011034	0.01397044544648074	1.746743037442233	17.63975507849826	2.204474645021497e-23	7	-16248.355283231369	32514.710566462738	32577.841685369858	25061.82771593787	8214	8222	Event study	NA	NA	cit_m22
0.006643580834470713	-0.6274179198803937	NA	3.3560450191059155	2.2654083959759892e-4	NA	NA	NA	NA	3578.29543796073	5018	8222	Event study with fixed effects	NA	NA	cit_m22
0.003105164320809539	0.0022556069979761117	1577.038219210314	NA	NA	NA	-18187.55143975497	36391.10287950994	36447.2194296496	NA	NA	8222	Event study assets weighted	NA	NA	cit_m22
0.6365918798366125	0.40462770907468937	1218.2232385775499	NA	NA	NA	-8260.177290990348	22928.354581980697	45403.032912915565	NA	NA	8222	Event study assets weighted with fixed effects	0.002082383748129968	NA	cit_m22
