r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
1.1726347570281792e-4	-8.64477779185524e-5	2.089545145245011	0.5756357276208242	0.630977797915403	3	-31752.029033817555	63514.05806763511	63552.045935727554	64292.27900890023	14725	14729	Linear model	NA	NA	all
3.241498513814962e-4	-0.31881278403698077	NA	1.809991178783175	0.16370360171950274	NA	NA	NA	NA	11965.981446480311	11164	14729	Linear model with fixed effect	NA	NA	all
0.006413805410811056	0.006211376984069483	1450.1782905727646	31.68431190251578	2.0888023587748107e-20	3	-30912.127496379413	61834.254992758826	61872.24286085127	30966926421.25483	14725	14729	Linear model assets weighted	NA	NA	all
0.7381401608508782	0.6543891288656452	855.2007762840896	NA	NA	NA	-19369.02251312007	45878.04502624014	73001.38284424781	NA	NA	14729	Linear model assets weighted with fixed effect	6.318258559143697e-4	NA	all
6.827877025104635e-4	2.0760120118035186e-4	2.0892379349089105	1.43688362484849	0.1853965492651573	7	-31747.862563843537	63513.725127687074	63582.10329025348	64255.91590345991	14721	14729	Event study	NA	NA	all
0.0012048379183217251	-0.31859583606480446	NA	1.345738578547326	0.19937875185019313	NA	NA	NA	NA	11955.43973231683	11156	14729	Event study with fixed effects	NA	NA	all
0.006579269599061854	0.006106886940763667	1450.254526708874	NA	NA	NA	-34226.71582726174	68469.43165452348	68530.2122434714	NA	NA	14729	Event study assets weighted	NA	NA	all
0.7382103605441085	0.6543888660894255	855.2011013988401	NA	NA	NA	-19368.53994944501	45883.07989889002	73029.21043775315	NA	NA	14729	Event study assets weighted with fixed effects	8.99737649784571e-4	NA	all
0.0011752486075142475	4.673643046138043e-4	1.9773924255235793	1.6602269646309435	0.1733900226216909	3	-8898.739328059415	17807.47865611883	17839.236709871962	16551.372045524797	4233	4237	Linear model	NA	NA	treat_a
0.0016296475778104645	-0.31053511399454425	NA	2.6337284159308383	0.07196458005730293	NA	NA	NA	NA	3306.7368987311393	3227	4237	Linear model with fixed effect	NA	NA	treat_a
0.00771830167912766	0.007015054550622457	1472.102199112789	10.975233834986524	3.5454399029451443e-7	3	-9005.240325344654	18020.480650689307	18052.23870444244	9173270316.650259	4233	4237	Linear model assets weighted	NA	NA	treat_a
0.7270367720988362	0.6412434894851599	884.8436222206838	NA	NA	NA	-5491.15158565252	13010.30317130504	19450.836472440373	NA	NA	4237	Linear model assets weighted with fixed effect	0.0025985775711266923	NA	treat_a
0.002331370459352891	6.799917866679994e-4	1.977182092053724	1.411772174314444	0.19566856224402007	7	-8896.285781816508	17810.571563633017	17867.736060388655	16532.21412730835	4229	4237	Event study	NA	NA	treat_a
0.004908929220030613	-0.30947678652499255	NA	1.5879795953643683	0.10369819719633655	NA	NA	NA	NA	3295.8754768335816	3219	4237	Event study with fixed effects	NA	NA	treat_a
0.007741168000229948	0.006098743828085618	1472.781258746477	NA	NA	NA	-9624.990230897634	19265.98046179527	19316.79334780028	NA	NA	4237	Event study assets weighted	NA	NA	treat_a
0.7275295551532239	0.6414461620469266	884.5936492538789	NA	NA	NA	-5487.608549118424	13011.217098236848	19477.156842374687	NA	NA	4237	Event study assets weighted with fixed effects	0.004399195636696995	NA	treat_a
0.004154057871453166	0.002943057536477167	2.0774391082771846	3.430269795537012	0.01639393162601313	3	-5310.832395899127	10631.664791798254	10660.726682828197	10646.963264294976	2467	2471	Linear model	NA	NA	treat_b
5.947815011217325e-4	-0.3074845814047824	NA	0.5618078899990911	0.5702726036885217	NA	NA	NA	NA	1804.467033119569	1888	2471	Linear model with fixed effect	NA	NA	treat_b
0.013207653093826354	0.012007662400385422	1653.7028042139907	11.006462938437478	3.5371370047731554e-7	3	-5328.039674626394	10666.079349252788	10695.141240282732	6746586223.829089	2467	2471	Linear model assets weighted	NA	NA	treat_b
0.7436472380001571	0.6639111878239851	964.51214930287	NA	NA	NA	-3123.535349283685	7421.07069856737	10832.936705482683	NA	NA	2471	Linear model assets weighted with fixed effect	8.807491724717176e-4	NA	treat_b
