r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.013582703853585034	0.013040914785763746	2.0057705948659086	25.070095836758846	4.1931810015816935e-16	3	-11558.408106657478	23126.816213314956	23159.847725147396	21974.257839947382	5462	5466	Linear model	NA	NA	all
0.0012131270143075404	-0.3008508724658745	NA	2.548231804858545	0.07834089587903449	NA	NA	NA	NA	3527.533973328061	4196	5466	Linear model with fixed effect	NA	NA	all
0.005443098240812571	0.004896838499824252	1362.0625089022358	9.964304217194957	1.5100434002152334e-6	3	-10899.36942163665	21808.7388432733	21841.77035510574	10133180387.293825	5462	5466	Linear model assets weighted	NA	NA	all
0.8056062988724838	0.7465135822806309	687.4487601276135	NA	NA	NA	-6556.835730875068	15663.671461750137	24086.706979022354	NA	NA	5466	Linear model assets weighted with fixed effect	0.0016361149143657716	NA	all
0.013903890087754894	0.012639201049758353	2.0061787493877143	10.993919983508011	7.260428989440821e-14	7	-11557.518072670337	23133.036145340673	23192.492866639066	21967.10282639291	5458	5466	Event study	NA	NA	all
0.0029732819535971114	-0.3010389240982787	NA	1.2489238850152176	0.25405734765572924	NA	NA	NA	NA	3521.317425519334	4188	5466	Event study with fixed effects	NA	NA	all
0.005839236933966707	0.004564204808378158	1362.2901385804141	NA	NA	NA	-12559.109311430499	25134.218622860997	25187.0690417929	NA	NA	5466	Event study assets weighted	NA	NA	all
0.8056994951109955	0.7464536152773615	687.5300698179154	NA	NA	NA	-6557.2692025770575	15670.538405154115	24113.392829525794	NA	NA	5466	Event study assets weighted with fixed effects	0.002114750581139524	NA	all
0.12130632331639188	0.11891206261698162	1.8839652261110715	50.665461512301235	1.1231558075967022e-30	3	-2265.8069344707665	4541.613868941533	4566.651872011292	3907.806795488511	1101	1105	Linear model	NA	NA	treat_a
0.0035327043801904687	-0.2927143294527257	NA	1.5084947798874426	0.2218337384477431	NA	NA	NA	NA	741.5249612464705	851	1105	Linear model with fixed effect	NA	NA	treat_a
0.022125098141703728	0.01946058887233515	1238.02185696136	8.303629638693728	1.832268023004243e-5	3	-2113.5718952112748	4237.1437904225495	4262.181793492308	1687500628.2637742	1101	1105	Linear model assets weighted	NA	NA	treat_a
0.7378574001678331	0.6579132030558956	731.2467373672835	NA	NA	NA	-1345.511278842634	3209.022557685268	4505.991116698799	NA	NA	1105	Linear model assets weighted with fixed effect	0.0026492864511830083	NA	treat_a
