r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.0012474384567035173	0.0010990574491943628	2.078905369310821	8.406995461515402	1.3983313671063747e-5	3	-43437.30393933299	86884.60787866598	86924.17432545352	87271.06726515522	20193	20197	Linear model	NA	NA	all
5.534674111871581e-4	-0.3138594136668402	NA	4.253814266604472	0.014226670445739656	NA	NA	NA	NA	15894.503637563423	15363	20197	Linear model with fixed effect	NA	NA	all
0.001680041109914667	0.0015317243725962992	1435.411976116129	11.327387186977665	2.025551871019608e-7	3	-41954.25393997249	83918.50787994498	83958.07432673253	41605809478.99948	20193	20197	Linear model assets weighted	NA	NA	all
0.7536745445668454	0.676078337157964	817.5784331040705	NA	NA	NA	-26231.902352292353	62141.804704584705	100434.21190556779	NA	NA	20197	Linear model assets weighted with fixed effect	5.682357126650661e-4	NA	all
0.0016420450340043388	0.0012958909062732449	2.0787005350407437	4.743681795064997	2.4481028155248842e-5	7	-43433.31323922922	86884.62647845843	86955.84608267601	87236.58651539107	20189	20197	Event study	NA	NA	all
0.001904339356784291	-0.3127671743634246	NA	2.929692210521789	0.0011237890272865916	NA	NA	NA	NA	15873.020308186642	15355	20197	Event study with fixed effects	NA	NA	all
0.001802421402249621	0.001456322880768357	1435.4661742132514	NA	NA	NA	-46882.032840864194	93780.06568172839	93843.37199658845	NA	NA	20197	Event study assets weighted	NA	NA	all
0.7536893984407094	0.6760345874899749	817.6336433314688	NA	NA	NA	-26231.254202049047	62146.508404098095	100462.65547315372	NA	NA	20197	Event study assets weighted with fixed effects	6.285032694071102e-4	NA	all
0.009827826682564197	0.009271341759380936	1.9862082157702012	17.66054437979357	2.097960229643418e-11	3	-11243.795676198697	22497.591352397394	22530.508129365742	21058.533181786082	5338	5342	Linear model	NA	NA	treat_a
0.0020115335739233032	-0.3064353919562932	NA	4.1117995135744785	0.016446193503841664	NA	NA	NA	NA	4152.474351298708	4080	5342	Linear model with fixed effect	NA	NA	treat_a
0.0019613178496529203	0.001400411883663688	1440.2786008528847	3.496696360135046	0.014891869615071277	3	-11195.971202815388	22401.942405630776	22434.859182599124	11073160267.822979	5338	5342	Linear model assets weighted	NA	NA	treat_a
0.7298724224840062	0.6459505787698349	857.5960286728969	NA	NA	NA	-6907.576155638083	16349.152311276166	24690.263595055938	NA	NA	5342	Linear model assets weighted with fixed effect	0.0017995229926089928	NA	treat_a
0.01063384450565054	0.009335463724161941	1.9861439390214621	8.190081567179694	5.838767415590269e-10	7	-11241.620549106583	22501.241098213166	22560.491296756194	21041.391159893352	5334	5342	Event study	NA	NA	treat_a
0.006519302605346359	-0.3030894903695591	NA	2.6720801197837205	0.0029473103265327204	NA	NA	NA	NA	4133.718227441317	4072	5342	Event study with fixed effects	NA	NA	treat_a
0.0018469066798886269	5.369944839304086e-4	1440.9011190928097	NA	NA	NA	-12174.708148379945	24365.41629675989	24418.08313990925	NA	NA	5342	Event study assets weighted	NA	NA	treat_a
0.7300567146182556	0.6459314618801826	857.6191812984389	NA	NA	NA	-6903.690688421817	16347.381376843634	24708.242726804416	NA	NA	5342	Event study assets weighted with fixed effects	0.0024805363789804913	NA	treat_a
0.010499336618274992	0.009577441590279512	2.0098057632492656	11.388863481675516	1.9890343414160504e-7	3	-6823.131366349578	13656.262732699155	13686.654623217288	13006.607843287682	3220	3224	Linear model	NA	NA	treat_b
3.1741820126492717e-4	-0.29970833446443046	NA	0.393564785094025	0.6746897548782174	NA	NA	NA	NA	2123.932624671674	2479	3224	Linear model with fixed effect	NA	NA	treat_b
0.005444547764290324	0.004517943305685557	1608.565797120663	5.87580570515368	5.363518573599861e-4	3	-6685.653474858598	13381.306949717196	13411.698840235329	8331698234.205919	3220	3224	Linear model assets weighted	NA	NA	treat_b
0.7530583168213851	0.6784270525718481	914.2434656722145	NA	NA	NA	-3905.65903572257	9309.318071445141	13862.023271061404	NA	NA	3224	Linear model assets weighted with fixed effect	5.113695527070306e-4	NA	treat_b
0.011305507233167787	0.009153498076026056	2.010235858945602	5.2534661368186635	5.598630565908646e-6	7	-6821.817494865148	13661.634989730295	13716.340392662934	12996.01103882789	3216	3224	Event study	NA	NA	treat_b
0.0031601789350219106	-0.30020831375654566	NA	0.783355759212806	0.6450653353378526	NA	NA	NA	NA	2117.8928752787237	2471	3224	Event study with fixed effects	NA	NA	treat_b
