r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
6.206994725101198e-5	-1.416248847010415e-4	2.0997018219738206	0.30472028502723575	0.8220085505273191	3	-31827.770489892122	63665.540979784244	63703.52952676332	64927.62798465507	14727	14731	Linear model	NA	NA	all
4.159407038802435e-4	-0.31863453281675125	NA	2.3231632479200197	0.09801056187925547	NA	NA	NA	NA	12365.893176569376	11166	14731	Linear model with fixed effect	NA	NA	all
0.006555206884658079	0.0063528347532432194	1454.5283608812713	32.39184584769409	7.35576532345344e-21	3	-30961.973861861698	61933.947723723395	61971.93627070247	31157218087.657394	14727	14731	Linear model assets weighted	NA	NA	all
0.7361553862146955	0.6517846822813783	861.0532900072124	NA	NA	NA	-19609.493656781633	46358.987313563266	73482.8098566226	NA	NA	14731	Linear model assets weighted with fixed effect	3.934968004103423e-4	NA	all
5.583088381355267e-4	8.312770398277713e-5	2.0994658854207486	1.1749389822279563	0.3132846496761184	7	-31824.114308157466	63666.22861631493	63734.60800087727	64895.40637056232	14723	14731	Event study	NA	NA	all
0.0017050387646436913	-0.3178781841725038	NA	1.9057315998422149	0.03965867594351811	NA	NA	NA	NA	12349.945694448741	11158	14731	Event study with fixed effects	NA	NA	all
0.006704375843093802	0.006232116835479973	1454.6167133209601	NA	NA	NA	-34283.41568798256	68582.83137596512	68643.61305113164	NA	NA	14731	Event study assets weighted	NA	NA	all
0.7362248701538068	0.6517827870017541	861.0556332908822	NA	NA	NA	-19609.0076589282	46364.0153178564	73510.63098910317	NA	NA	14731	Event study assets weighted with fixed effects	6.567449160612693e-4	NA	all
0.001147110487190779	4.3920624231985617e-4	1.990366873274015	1.6204317116363838	0.18241167457527407	3	-8926.44913952507	17862.89827905014	17894.65633280327	16769.284708529107	4233	4237	Linear model	NA	NA	treat_a
0.0017279618084802633	-0.310406059429587	NA	2.79289238936698	0.06139186204405481	NA	NA	NA	NA	3405.263861915574	3227	4237	Linear model with fixed effect	NA	NA	treat_a
0.007968304066359556	0.0072652341188516045	1474.4785489260353	11.333586501035976	2.111512650828683e-7	3	-9012.618172673756	18035.236345347512	18066.994399100644	9202910233.931732	4233	4237	Linear model assets weighted	NA	NA	treat_a
0.7263130201133603	0.6402922597580497	887.5579831957185	NA	NA	NA	-5552.88047303064	13133.76094606128	19574.29424719661	NA	NA	4237	Linear model assets weighted with fixed effect	0.0019135017834595036	NA	treat_a
0.002143231882470788	4.915417957309653e-4	1.9903147662306024	1.2975992891627715	0.24704680164202167	7	-8924.335378675658	17866.670757351316	17923.835254106954	16752.56128162902	4229	4237	Event study	NA	NA	treat_a
0.005893276856834947	-0.3081814474167279	NA	1.9082919127808762	0.039629657750422785	NA	NA	NA	NA	3391.0553132785158	3219	4237	Event study with fixed effects	NA	NA	treat_a
0.007955920993199972	0.006313852288293953	1475.1849088827162	NA	NA	NA	-9646.869969332529	19309.739938665058	19360.55282467007	NA	NA	4237	Event study assets weighted	NA	NA	treat_a
0.7268154644761927	0.640506463970535	887.2936756069902	NA	NA	NA	-5548.970864560806	13133.941729121612	19599.881473259447	NA	NA	4237	Event study assets weighted with fixed effects	0.0037458247345029116	NA	treat_a
0.0039603825266326135	0.0027486554980762357	2.077716369088061	3.2683784658586172	0.0204599211231341	3	-5309.011951856767	10628.023903713534	10657.083770861644	10645.48849538839	2466	2470	Linear model	NA	NA	treat_b
6.031341012679379e-4	-0.30763691674826155	NA	0.5694004493745854	0.5659617953560065	NA	NA	NA	NA	1805.3336968052854	1887	2470	Linear model with fixed effect	NA	NA	treat_b
0.01338366017429753	0.012183396987161532	1656.151012323117	11.1506045655154	2.8750817889962863e-7	3	-5329.175101726705	10668.35020345341	10697.41007060152	6763834009.076171	2466	2470	Linear model assets weighted	NA	NA	treat_b
0.7434477861224378	0.66360732019984	966.4625767488865	NA	NA	NA	-3123.0423658873524	7420.084731774705	10831.713134962833	NA	NA	2470	Linear model assets weighted with fixed effect	5.502353095140355e-4	NA	treat_b
0.0050826214203423875	0.0022538555186132347	2.0782317489535584	1.7967628276469243	0.08363700445784053	7	-5307.619691568611	10633.239383137223	10685.547144003822	10633.494212206791	2462	2470	Event study	NA	NA	treat_b
0.004578486874415818	-0.3079806896791204	NA	0.8642546623303786	0.5664718513030236	NA	NA	NA	NA	1798.152527278997	1879	2470	Event study with fixed effects	NA	NA	treat_b
0.013472281639266503	0.01066736936123025	1657.421393931465	NA	NA	NA	-5716.374301015543	11448.748602031086	11495.244389468062	NA	NA	2470	Event study assets weighted	NA	NA	treat_b
0.7444050291196064	0.6641490244259224	965.6840999408763	NA	NA	NA	-3119.8596791030914	7421.719358206183	10856.595655112798	NA	NA	2470	Event study assets weighted with fixed effects	0.004279364260739271	NA	treat_b
3.874063870530683e-4	-2.936832747317819e-4	1.9929432961510352	0.5688037989562489	0.6355397254421972	3	-9290.383888774819	18590.767777549638	18622.722524873847	17487.93658830777	4403	4407	Linear model	NA	NA	treat_c
0.0016667904775211789	-0.3106841838963177	NA	2.801544008155696	0.06085824835762853	NA	NA	NA	NA	3549.980078779285	3356	4407	Linear model with fixed effect	NA	NA	treat_c
0.014538927210976566	0.013867479739169464	1547.4052103778893	21.653111853776466	6.441553771651347e-14	3	-9524.754464798698	19059.508929597396	19091.463676921605	10542820083.11573	4403	4407	Linear model assets weighted	NA	NA	treat_c
0.7408481845020495	0.659360710297145	909.460379026525	NA	NA	NA	-5779.942124692156	13669.884249384311	20412.33593479261	NA	NA	4407	Linear model assets weighted with fixed effect	0.0016973416477419345	NA	treat_c
0.0011921012944386712	-3.9727249299903455e-4	1.993046486892397	0.7500446426516367	0.6294639952047626	7	-9288.609341995427	18595.218683990854	18652.737229174432	17473.858680923237	4399	4407	Event study	NA	NA	treat_c
0.005637420419021852	-0.30859065879145464	NA	1.8981087935588732	0.04090132951899801	NA	NA	NA	NA	3535.8608878537607	3348	4407	Event study with fixed effects	NA	NA	treat_c
0.014666686359732561	0.01309875428528795	1548.0082216458177	NA	NA	NA	-10018.015959494704	20052.031918989407	20103.159514708143	NA	NA	4407	Event study assets weighted	NA	NA	treat_c
0.7414653188112095	0.6597658884952774	908.9193328650026	NA	NA	NA	-5775.732254861009	13669.464509722018	20437.479992989684	NA	NA	4407	Event study assets weighted with fixed effects	0.004074661753375564	NA	treat_c
4.295807907337126e-4	1.2040342630159628e-4	2.135809139600331	1.3894315695544122	0.24392439660887083	3	-21129.038672980507	42268.077345961014	42303.97829793614	44243.74092308217	9699	9703	Linear model	NA	NA	cit_m22
3.2466367577273334e-4	-0.5271374764631793	NA	1.031304329470724	0.3566013107678107	NA	NA	NA	NA	6861.5448801583925	6351	9703	Linear model with fixed effect	NA	NA	cit_m22
0.0046995225210314205	0.004391665893292873	1471.1168340935214	15.26529591242523	6.59942078690065e-10	3	-20288.665611560544	40587.33122312109	40623.232175096215	20990427788.927895	9699	9703	Linear model assets weighted	NA	NA	cit_m22
0.760664553122866	0.6340950983923802	891.8401439277295	NA	NA	NA	-12082.904299764228	30879.808599528456	54983.70775562839	NA	NA	9703	Linear model assets weighted with fixed effect	9.743846921345112e-4	NA	cit_m22
3.262959030128031e-4	-3.954901649272369e-4	2.1363600600117256	0.4520673333915039	0.8693526344612568	7	-21129.539949065194	42277.07989813039	42341.70161168562	44248.31259679898	9695	9703	Event study	NA	NA	cit_m22
0.001990438175269255	-0.5265156501377168	NA	1.2650529442472498	0.2441492572799968	NA	NA	NA	NA	6850.111381628217	6343	9703	Event study with fixed effects	NA	NA	cit_m22
0.005256387790727568	0.004538161355919446	1471.0085988256403	NA	NA	NA	-22710.325000463723	45436.650000927446	45494.09152408765	NA	NA	9703	Event study assets weighted	NA	NA	cit_m22
0.7607154232388069	0.633999848062889	891.9562158081644	NA	NA	NA	-12082.486055514872	30884.972111029743	55010.41183831474	NA	NA	9703	Event study assets weighted with fixed effects	0.001186724943200046	NA	cit_m22
