r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.4194123185776363	0.41918655538330485	0.09375820421311444	1857.7532968544683	0	3	7320.365685520437	-14630.731371040874	-14595.974170536125	67.81948561382316	7715	7719	Linear model	NA	NA	all
0.0280799864749698	-0.18260738836294865	NA	91.62860715498982	5.891289234462237e-40	NA	NA	NA	NA	33.98835636665544	6343	7719	Linear model with fixed effect	NA	NA	all
0.38613196589466303	0.38589326153921055	118.35501734836383	1617.6159214300776	0	3	2718.8585768907215	-5427.717153781443	-5392.959953276693	108071026.66476557	7715	7719	Linear model assets weighted	NA	NA	all
0.6841866955695354	0.6154839748234222	93.65305830842541	NA	NA	NA	9982.979138048846	-17205.958276097692	-7612.970936786893	NA	NA	7719	Linear model assets weighted with fixed effect	0.011661525680091267	NA	all
0.42739301209400776	0.42687320287142416	0.09313572670128305	822.2112912305852	0	7	7373.785943503796	-14729.571887007593	-14667.008926099044	66.88724652842582	7711	7719	Event study	NA	NA	all
0.056540320980789684	-0.14942727745386986	NA	37.964837435939856	3.7918261341679706e-73	NA	NA	NA	NA	32.99308928908032	6335	7719	Event study with fixed effects	NA	NA	all
0.3974548787363127	0.3969078918540866	117.28880588114166	NA	NA	NA	7348.604308896035	-14681.20861779207	-14625.597096984471	NA	NA	7719	Event study assets weighted	NA	NA	all
0.6941044187699273	0.6273240574690291	92.19989389535505	NA	NA	NA	10084.25661030184	-17400.51322060368	-7779.72012088908	NA	NA	7719	Event study assets weighted with fixed effects	0.04269906361497822	NA	all
0.43474944079513245	0.4336345481734266	0.1225655905210566	389.9473656305479	7.798113077431002e-188	3	1039.2625275940693	-2068.5250551881386	-2041.876306742931	22.848954773238262	1521	1525	Linear model	NA	NA	treat_a
0.02056983839650783	-0.19412125302697758	NA	13.126151819512629	2.282555026277264e-6	NA	NA	NA	NA	12.425451294583391	1250	1525	Linear model with fixed effect	NA	NA	treat_a
0.31102887121067485	0.3096699537968891	182.61939967605858	228.8798922255441	1.5564226913232462e-122	3	-112.04041063059594	234.0808212611919	260.72956970639945	50725114.454964966	1521	1525	Linear model assets weighted	NA	NA	treat_a
0.646680037408885	0.5678494197521196	144.4894283714797	NA	NA	NA	1510.6739903479217	-2463.3479806958435	-976.3478174532615	NA	NA	1525	Linear model assets weighted with fixed effect	0.002636105346771278	NA	treat_a
