r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.006276505017181967	0.006176562998175483	0.47281007447688	62.801463083973225	1.8096013267657418e-40	3	-19982.441248277602	39974.882496555205	40016.39934876694	6668.254054128896	29829	29833	Linear model	NA	NA	all
0.01253421826506815	-0.20011729816330504	NA	155.78510527911024	5.87736307234018e-68	NA	NA	NA	NA	3620.7901551761834	24546	29833	Linear model with fixed effect	NA	NA	all
0.008124218394267455	0.008024462205832972	494.8697271039442	81.44074590008564	1.8118601892269052e-52	3	-32892.51938528387	65795.03877056774	65836.55562277949	7305004180.114493	29829	29833	Linear model assets weighted	NA	NA	all
0.4709970724121607	0.35697109706623664	398.43332260632997	NA	NA	NA	-10721.55009385625	32025.1001877125	75958.23319817608	NA	NA	29833	Linear model assets weighted with fixed effect	8.125818503978977e-5	NA	all
0.005444662414894597	0.005211237859551909	0.47303964476854604	23.325148491345722	8.080651689400597e-32	7	-19994.922577050722	40007.845154101444	40082.57548808258	6673.836027216085	29825	29833	Event study	NA	NA	all
0.023778863386493803	-0.18683792270984245	NA	59.76983368768373	1.7902821654747918e-120	NA	NA	NA	NA	3579.5588526774636	24538	29833	Event study with fixed effects	NA	NA	all
0.008732003058811388	0.008499350050308885	494.75125858226926	NA	NA	NA	-20407.140292806776	40830.28058561355	40896.707549152336	NA	NA	29833	Event study assets weighted	NA	NA	all
0.47151968996261295	0.3575016460577337	398.26891940649057	NA	NA	NA	-10725.831386009882	32041.662772019765	76008.00926425273	NA	NA	29833	Event study assets weighted with fixed effects	0.0010691073182789168	NA	all
0.009336495314382187	0.008949416581110925	0.4684119986500494	24.12040371083604	1.5708089783663136e-15	3	-5072.20247644769	10154.40495289538	10189.138128939909	1684.6284480803256	7678	7682	Linear model	NA	NA	treat_a
0.01756231537111104	-0.19400377462571128	NA	56.48899410213569	4.828817538565396e-25	NA	NA	NA	NA	919.1523237773807	6320	7682	Linear model with fixed effect	NA	NA	treat_a
0.0123449181768168	0.011959014914838528	488.32625102727485	31.989670451425987	1.5295480519826267e-20	3	-8312.967661053422	16635.935322106845	16670.668498151375	1830915285.7023869	7678	7682	Linear model assets weighted	NA	NA	treat_a
0.47094926942638693	0.35661199152376155	394.05702338242486	NA	NA	NA	-2716.1407841918654	8164.281568383731	17653.38526374912	NA	NA	7682	Linear model assets weighted with fixed effect	0.003951582451438673	NA	treat_a
0.010490749177511973	0.009588147567431426	0.4682610288180172	11.622790232533324	8.785056422209645e-15	7	-5067.7245948304535	10153.449189660907	10215.96890654106	1682.6656333758986	7674	7682	Event study	NA	NA	treat_a
0.02883832409386883	-0.18179544243266688	NA	18.743274801351955	2.335641456052227e-34	NA	NA	NA	NA	908.6026779498601	6312	7682	Event study with fixed effects	NA	NA	treat_a
0.018691766886729688	0.01779664600690256	486.881527742995	NA	NA	NA	-5137.361744461031	10290.723488922062	10346.29657059331	NA	NA	7682	Event study assets weighted	NA	NA	treat_a
0.4727200957240508	0.35835916591515127	393.5216121085678	NA	NA	NA	-2710.4358681040185	8160.871736208037	17677.76197240905	NA	NA	7682	Event study assets weighted with fixed effects	0.007285532542820716	NA	treat_a
0.004362503662787588	0.0037201568909570604	0.46782887808429013	6.791508658720282	1.4485035295887228e-4	3	-3066.3154308126313	6142.630861625263	6174.858273344574	1017.716945138666	4650	4654	Linear model	NA	NA	treat_b
0.008607638737730206	-0.20128871274826587	NA	16.670157066170365	6.18715745695362e-8	NA	NA	NA	NA	533.4021367711329	3840	4654	Linear model with fixed effect	NA	NA	treat_b
0.00667131679964969	0.0060304595846816245	533.9049100204048	10.409989376468427	7.985452331799267e-7	3	-4817.385608953162	9644.771217906324	9676.998629625636	1325503206.189119	4650	4654	Linear model assets weighted	NA	NA	treat_b
0.48975716390416035	0.381084484787815	421.3015547460904	NA	NA	NA	-1541.8032051881328	4719.606410376266	9992.010967655575	NA	NA	4654	Linear model assets weighted with fixed effect	7.18898365689169e-5	NA	treat_b
0.008006309916881805	0.006511700396739317	0.4671729977224988	5.356790391726346	3.9962303284266936e-6	7	-3057.783519349337	6133.567038698674	6191.576379793434	1013.9923331355664	4646	4654	Event study	NA	NA	treat_b
