r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.006494984008650067	0.006359327231627021	0.4751715391132454	47.878065152212265	7.832501889784152e-31	3	-14828.029156607505	29666.05831321501	29706.046616827778	4960.787963075597	21971	21975	Linear model	NA	NA	all
0.012117352385740401	-0.2018454932275351	NA	110.77409817844875	1.527844704114938e-48	NA	NA	NA	NA	2745.474060116962	18062	21975	Linear model with fixed effect	NA	NA	all
0.011386092110016031	0.011251103182626787	498.37098309383197	84.34834123231899	2.942796347344986e-54	3	-24519.982408086624	49049.96481617325	49089.95311978601	5457017173.911169	21971	21975	Linear model assets weighted	NA	NA	all
0.46114914071372914	0.3442956705085549	405.84833432689686	NA	NA	NA	-8206.83368666609	24247.66737333218	55574.50442357376	NA	NA	21975	Linear model assets weighted with fixed effect	5.671354081915325e-6	NA	all
0.005696158804731527	0.005379314133708291	0.4754058086935429	17.977764266435276	5.469475346046632e-24	7	-14836.860078523168	29691.720157046337	29763.699103549316	4964.776672133347	21967	21975	Event study	NA	NA	all
0.0237185822447153	-0.18825788599504945	NA	43.861869749664415	6.9901864958688455e-87	NA	NA	NA	NA	2713.2325021547535	18054	21975	Event study with fixed effects	NA	NA	all
0.012000905994217215	0.011686070392722292	498.2613501613542	NA	NA	NA	-15100.850008135707	30217.700016271414	30281.681302051842	NA	NA	21975	Event study assets weighted	NA	NA	all
0.4615800750593748	0.3446748958322091	405.7309565557378	NA	NA	NA	-8208.234655584522	24258.469311169043	55617.29700430083	NA	NA	21975	Event study assets weighted with fixed effects	8.053952373010542e-4	NA	all
0.011659296392647824	0.011175290171488661	0.4694661967425893	24.089145723624277	1.7138442396138923e-15	3	-4060.8380000923307	8131.6760001846615	8165.2807503293125	1350.1612715490874	6126	6130	Linear model	NA	NA	treat_a
0.020795411866084364	-0.19054650281149943	NA	53.527971829011776	9.919843612216992e-24	NA	NA	NA	NA	753.3184097278464	5041	6130	Linear model with fixed effect	NA	NA	treat_a
0.01510921806412817	0.01462690132468858	484.8260519201486	31.32633978592626	4.3392786001026325e-20	3	-6616.824604052723	13243.649208105446	13277.253958250098	1439954897.601052	6126	6130	Linear model assets weighted	NA	NA	treat_a
0.463233407836561	0.3468647124538976	394.7182183248911	NA	NA	NA	-2253.7749419384745	6693.549883876949	14039.54826549772	NA	NA	6130	Linear model assets weighted with fixed effect	0.0028363099728911934	NA	treat_a
0.01305312218272232	0.011924630163003158	0.4692882802397979	11.566871501643664	1.1045924376392865e-14	7	-4056.5124762589385	8131.024952517877	8191.513502778249	1348.2571815989545	6122	6130	Event study	NA	NA	treat_a
0.03200974454652803	-0.1787824906962705	NA	16.643250631403866	5.1437538892615404e-30	NA	NA	NA	NA	744.6910366912957	5033	6130	Event study with fixed effects	NA	NA	treat_a
0.021831812440644693	0.020713358126218773	483.32639473758445	NA	NA	NA	-4105.4691175034095	8226.938235006819	8280.705835238261	NA	NA	6130	Event study assets weighted	NA	NA	treat_a
0.4659410774824576	0.34964292944366826	393.8778246703943	NA	NA	NA	-2245.0760985540346	6684.152197108069	14057.034378844563	NA	NA	6130	Event study assets weighted with fixed effects	0.007866410383191469	NA	treat_a
0.003988094137686195	0.003161070689696399	0.4718184719093136	4.822226198519653	0.002363725630668911	3	-2413.350372740471	4836.700745480942	4867.667746640703	804.2995782810759	3613	3617	Linear model	NA	NA	treat_b
0.008641046394815636	-0.20293757591823725	NA	12.98738371349157	2.4215345771628798e-6	NA	NA	NA	NA	431.2080995197848	2980	3617	Linear model with fixed effect	NA	NA	treat_b
0.008331901951229757	0.007508485318474034	523.8531033922186	10.118695226432045	1.23249461598814e-6	3	-3848.554649341979	7707.109298683958	7738.0762998437185	991486953.122308	3613	3617	Linear model assets weighted	NA	NA	treat_b
0.4778356559795671	0.36554224866334495	418.8393468653238	NA	NA	NA	-1268.756318329507	3819.512636659014	7789.482185340308	NA	NA	3617	Linear model assets weighted with fixed effect	6.810832655336219e-4	NA	treat_b
0.008724238787957687	0.006801564826061202	0.4709561342571658	4.537554968161336	4.723872796603388e-5	7	-2404.73024797621	4827.46049595242	4883.201098039989	800.475046543583	3609	3617	Event study	NA	NA	treat_b
0.023823263559039482	-0.18770359319330865	NA	7.253065623711366	2.028750370842845e-11	NA	NA	NA	NA	424.6043411272717	2972	3617	Event study with fixed effects	NA	NA	treat_b
0.021103064942209926	0.019204400895270424	520.7573089651862	NA	NA	NA	-2443.903128291631	4903.806256583262	4953.353458438879	NA	NA	3617	Event study assets weighted	NA	NA	treat_b
0.48210828465509126	0.36988679586568307	417.40285000374666	NA	NA	NA	-1267.9069969814668	3825.8139939629336	7820.557143572037	NA	NA	3617	Event study assets weighted with fixed effects	0.008858046531080133	NA	treat_b
0.01230016277093299	0.011842045963312842	0.47001651945586764	26.84940296085238	2.9841209875915285e-17	3	-4295.090875575994	8600.181751151988	8634.05795344568	1428.881638735187	6468	6472	Linear model	NA	NA	treat_c
