r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.02559385102339087	0.025493898262434533	0.3975661429051945	256.05947027880734	4.8402643187019575e-164	3	-14521.928586051488	29053.857172102977	29095.275346366278	4622.588775695082	29246	29250	Linear model	NA	NA	all
0.06614216278645889	-0.13985760884108256	NA	848.6113108931416	0	NA	NA	NA	NA	1639.7159078895556	23963	29250	Linear model with fixed effect	NA	NA	all
0.01745452656744365	0.017353738889802406	445.07946580846243	173.1811564263093	2.6897224780897503e-111	3	-28922.666034788796	57855.33206957759	57896.75024384089	5793507745.443592	29246	29250	Linear model assets weighted	NA	NA	all
0.6902184983313503	0.6218206460074989	276.1136410426459	NA	NA	NA	1259.336812486832	8063.326375026336	51892.03838045041	NA	NA	29250	Linear model assets weighted with fixed effect	0.011719373669932365	NA	all
0.03100665228418905	0.030774692998435493	0.3964874851395139	133.6728218636963	1.313128760190345e-194	7	-14440.460598358472	28898.921196716943	28973.473910390883	4596.910413156517	29242	29250	Event study	NA	NA	all
0.13278253592111114	-0.05887053253364316	NA	366.7829327410142	0	NA	NA	NA	NA	1522.7052928022456	23955	29250	Event study with fixed effects	NA	NA	all
0.020976223431650176	0.020741863044673292	444.3114953486465	NA	NA	NA	-14702.699075120672	29421.398150241344	29487.667229062623	NA	NA	29250	Event study assets weighted	NA	NA	all
0.6909341078055544	0.622631255237097	275.8175641558662	NA	NA	NA	1233.4213690710058	8123.1572618579885	51985.0038066927	NA	NA	29250	Event study assets weighted with fixed effects	0.014002347235379742	NA	all
0.05469292095208378	0.05431685395339081	0.3924942772894903	145.4339815569278	1.2832545903943627e-91	3	-3647.5552880475066	7305.110576095013	7339.753777951023	1161.7043048534	7541	7545	Linear model	NA	NA	treat_a
0.10932809463589978	-0.08672632283143655	NA	379.47509350119344	3.5680829000293106e-156	NA	NA	NA	NA	473.1593288445367	6183	7545	Linear model with fixed effect	NA	NA	treat_a
