r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.04665889974298116	0.046526042247706956	0.36050386597900624	351.1950879897951	1.1030164511758648e-222	3	-8582.106676942456	17174.213353884912	17214.099599065405	2797.7143058043166	21527	21531	Linear model	NA	NA	all
0.08140378939731956	-0.12256648962854522	NA	780.6324177306398	0	NA	NA	NA	NA	1470.6462994915328	17618	21531	Linear model with fixed effect	NA	NA	all
0.03892749756306925	0.03879356262056399	378.2566861143401	290.64482229153646	5.7532207970323295e-185	3	-17912.55463009482	35835.10926018964	35874.99550537013	3080042701.945287	21527	21531	Linear model assets weighted	NA	NA	all
0.5003706854994197	0.3892915214489897	301.50550965649774	NA	NA	NA	-1035.7298541395976	9905.459708279195	41152.34418267577	NA	NA	21531	Linear model assets weighted with fixed effect	0.014989911950824553	NA	all
0.05631857846422183	0.05601166167981686	0.3587061503814799	183.49787735913222	3.312831827785812e-265	7	-8472.469422900105	16962.93884580021	17034.734087125093	2769.366612265663	21523	21531	Event study	NA	NA	all
0.1619368158104105	-0.024616715252802956	NA	340.2735474150153	0	NA	NA	NA	NA	1341.7152241025874	17610	21531	Event study with fixed effects	NA	NA	all
0.04486653010295194	0.04455588872910632	377.12117828043466	NA	NA	NA	-8863.229689306027	17742.459378612053	17806.27737090084	NA	NA	21531	Event study assets weighted	NA	NA	all
0.501632853015998	0.3906959298940623	301.1586333504686	NA	NA	NA	-1056.5119150190767	9955.023830038153	41233.81730057912	NA	NA	21531	Event study assets weighted with fixed effects	0.017478252207401512	NA	all
0.08524399397729984	0.08478783240514753	0.3610131756376614	186.87236975069746	7.311447685391321e-116	3	-2406.587546447577	4823.175092895154	4856.6893055866685	784.0683661116775	6016	6020	Linear model	NA	NA	treat_a
0.13646606006475348	-0.05406829942613034	NA	389.62808006702994	7.886588267998937e-158	NA	NA	NA	NA	427.1261906211117	4931	6020	Linear model with fixed effect	NA	NA	treat_a
0.1282146587708155	0.12777992538921845	370.80267643512667	294.92710750625326	1.253343172538085e-178	3	-4850.143775082208	9710.287550164416	9743.80176285593	827167663.1063429	6016	6020	Linear model assets weighted	NA	NA	treat_a
0.5411982524598142	0.43951132160658046	297.244100266476	NA	NA	NA	-349.9138482204871	2885.8276964409743	10212.034590806008	NA	NA	6020	Linear model assets weighted with fixed effect	0.0562017299988129	NA	treat_a
