term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.4452538128841542	0.007177749235690072	62.03251162219619	0	0.43118512808215514	0.4593224976861533	Linear model	all
treatment	0.14891659070328261	0.02097854098631972	7.0985199018555365	1.2883696355420995e-12	0.10779778436844747	0.19003539703811775	Linear model	all
post	-0.2231675230219591	0.008520574555915917	-26.191604985958577	1.4630062595535916e-149	-0.23986820088390864	-0.20646684516000957	Linear model	all
treatment:post	-0.09077032242589828	0.023747563547917894	-3.822300432747203	1.324733004327969e-4	-0.13731652728770405	-0.044224117564092516	Linear model	all
post	-0.22654232424659515	0.008537357489461224	-26.5354150304993	4.614644270240391e-153	-0.24327603456333097	-0.20980861392985933	Linear model with fixed effect	all
treatment:post	-0.08886203540538731	0.023743673418109523	-3.7425563366118153	1.8255867949020998e-4	-0.13540099706000808	-0.042323073750766535	Linear model with fixed effect	all
(Intercept)	0.41524208536675555	0.012046977605976856	34.468569540690595	1.785355624479399e-255	0.3916295119555119	0.43885465877799923	Linear model assets weighted	all
treatment	0.2369713718557632	0.03128875941063922	7.573690242738899	3.7295564047776124e-14	0.1756441117997708	0.2982986319117556	Linear model assets weighted	all
post	-0.17809989657922723	0.013688679091017576	-13.010743797485562	1.3450306099954782e-38	-0.20493027267117309	-0.15126952048728137	Linear model assets weighted	all
treatment:post	-0.16487565163445636	0.03401886204582992	-4.8465951451385205	1.2621133037930878e-6	-0.2315540255550323	-0.09819727771388044	Linear model assets weighted	all
treatment:post	-0.16010927802935745	0.03401516991836023	-4.706996272946322	2.5139350242071324e-6	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-155.68510386440693	4.624880859546269	-33.66251122838236	5.6606395858157355e-244	-164.7500613124455	-146.62014641636836	Event study	all
anio_fiscal	0.07744683439438099	0.0022966157990456397	33.72215519311679	8.138099809537431e-245	0.07294537259999344	0.08194829618876855	Event study	all
treatment	0.1634574210020293	0.029928699519265484	5.461561097795435	4.7562486185967475e-8	0.10479593417534153	0.2221189078287171	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.30138435812286923	0.029921854338699275	-10.07238237013524	7.970069184524037e-24	-0.3600324281130068	-0.24273628813273168	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.013513273436294508	0.03702763822226102	-0.3649509956638371	0.7151505016174173	-0.08608897323909817	0.05906242636650916	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.011118188027115956	0.04071140927773571	0.2730975965795485	0.7847800318722884	-0.06867785514891578	0.09091423120314768	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.23524086035919675	0.044359304353161384	5.303078210748174	1.1465343073590516e-7	0.14829479221216774	0.32218692850622577	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.29736292470782066	0.04033574350956839	-7.372193960854611	1.720765138387411e-13	-0.3764226474668426	-0.21830320194879868	Event study	all
anio_fiscal2013	0.2875097873475146	0.011083507855105791	25.940324228224256	1.889856003176727e-146	0.26578547596050806	0.3092340987345211	Event study with fixed effects	all
anio_fiscal2014	0.3676209045562466	0.011812478229938283	31.121403773217136	1.0255776020809931e-208	0.34446776940497764	0.3907740397075155	Event study with fixed effects	all
anio_fiscal2015	0.35054828903150503	0.01152828593794278	30.40766779367899	1.6375452832634816e-199	0.32795218707999635	0.3731443909830137	Event study with fixed effects	all
anio_fiscal2016	0.6747003491271164	0.014319636770036897	47.11714130479148	0	0.6466330393721271	0.7027676588821057	Event study with fixed effects	all
anio_fiscal2017	0.347361400799946	0.011546902771562674	30.082647067524984	2.185375139538204e-195	0.3247288087862759	0.36999399281361606	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.09657722842245299	0.032618876536415514	-2.960777276146674	0.003071473640492649	-0.16051209816181755	-0.03264235868308843	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.013001392187661798	0.040018439583628294	-0.3248850360717393	0.7452707581426159	-0.09143983009938846	0.06543704572406485	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.10563763794622343	0.04319906223400928	2.4453687761550107	0.014477151060603377	0.020964997130078544	0.1903102787623683	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	0.0830550845770709	0.047579847050969216	1.7455937697340507	0.0808936562205719	-0.010204145857383926	0.17631431501152572	Event study with fixed effects	all
