term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.546328671328662	0.013122027750278554	41.63447004728858	0	0.5206060976753264	0.5720512449819977	Linear model	all
treatment	0.26816408229450783	0.04806405228640626	5.579306561514196	2.4932074019583665e-8	0.17394608881490886	0.3623820757741068	Linear model	all
post	-0.250112122574438	0.01727461869957502	-14.478590058870074	6.419560424982255e-47	-0.28397485021755514	-0.21624939493132084	Linear model	all
treatment:post	-0.08967825009636073	0.052148296581817855	-1.7196774578371972	0.08552956863999552	-0.1919024204189183	0.012545920226196869	Linear model	all
post	-0.2515038844049807	0.017357961323273396	-14.489252494632916	7.258419007021376e-47	-0.2855310390531145	-0.21747672975684695	Linear model with fixed effect	all
treatment:post	-0.0895024605854784	0.05247058171850192	-1.7057645952097091	0.08809848182062457	-0.1923615789670319	0.013356657796075116	Linear model with fixed effect	all
(Intercept)	0.5422136747495299	0.023474161731879488	23.098318949262723	2.387847701330248e-114	0.4961982367707643	0.5882291127282955	Linear model assets weighted	all
treatment	0.38985445185092216	0.07038048060713462	5.539241114693408	3.133738000338426e-8	0.25189047778938645	0.5278184259124579	Linear model assets weighted	all
post	-0.2257386204518823	0.028964487258806716	-7.793634267882508	7.325364589664376e-15	-0.28251651873288103	-0.1689607221708836	Linear model assets weighted	all
treatment:post	-0.1384662374959638	0.07135554169318423	-1.940511335354208	0.05235248670921747	-0.2783415838758426	0.0014091088839150445	Linear model assets weighted	all
treatment:post	-0.13743350526599815	0.07168695458263205	-1.9171341015411867	0.0552208972821636	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-174.47530794484362	9.201991868741754	-18.960602273244643	1.8305379456488633e-78	-192.51359713616924	-156.437018753518	Event study	all
anio_fiscal	0.08681794574180851	0.00456876195889061	19.002510203637247	8.53134906028695e-79	0.07786198809303643	0.09577390339058059	Event study	all
treatment	0.43266087301954365	0.0733349422644881	5.899791554469614	3.7870636505469615e-9	0.2889053779848709	0.5764163680542164	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.6350597606902982	0.07332847794594319	-8.660479236436029	5.616060591411295e-18	-0.7788025839850911	-0.4913169373955054	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.1307665953209956	0.0971568790540367	-1.3459324403397712	0.1783622693922764	-0.3212192610374887	0.059686070395497504	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.10855707617658429	0.0908572194924556	-1.194809579062657	0.23219669419804498	-0.2866607762995838	0.06954662394641524	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.0959293259077188	0.09369929762366455	1.0237998399199424	0.30596063989129674	-0.08774558401054644	0.27960423582598404	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.4908886198341104	0.09420434908321876	-5.210891265757449	1.9260567301495723e-7	-0.6755535615209198	-0.30622367814730095	Event study	all
anio_fiscal2013	0.3835611593229942	0.02376019694383551	16.143012628626703	1.554612344291919e-57	0.33698356549832653	0.4301387531476619	Event study with fixed effects	all
anio_fiscal2014	0.4928390897640025	0.02598552509253765	18.965908443602423	3.640076864636059e-78	0.44189914023656607	0.5437790392914389	Event study with fixed effects	all
anio_fiscal2015	0.4587481806730584	0.025172629945442462	18.224086305933056	1.8727626311013048e-72	0.4094017659161015	0.5080945954300152	Event study with fixed effects	all
anio_fiscal2016	0.8346223065472633	0.02962106957981097	28.176643125544746	3.9997367241605577e-165	0.7765555257540759	0.8926890873404507	Event study with fixed effects	all
anio_fiscal2017	0.37658034850527594	0.023369593985621526	16.11411600633594	2.4387390684501184e-57	0.3307684615464819	0.42239223546407	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.3253599351475022	0.07847156424838765	-4.146214469710757	3.422129428771392e-5	-0.4791893270076567	-0.17153054328734776	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.10970757680536591	0.1028989122975959	-1.0661684789055743	0.2863861305580748	-0.31142239227287816	0.09200723866214633	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.012351778656116062	0.09644715043697251	0.12806784441172117	0.8980991490318321	-0.1767155177648184	0.2014190750770505	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.0722179993919157	0.10115219022713838	-0.7139538870067902	0.47528070982464854	-0.27050868031565	0.12607268153181864	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.1141760413499603	0.09928113270136311	-1.1500275857387825	0.25017379614261326	-0.3087988504263294	0.08044676772640878	Event study with fixed effects	all
(Intercept)	-164.00802457049818	14.26845234284615	-11.494450878740732	1.406727306533256e-30	-191.97367727760277	-136.04237186339358	Event study assets weighted	all
anio_fiscal	0.08162666597655321	0.00708549501517267	11.520248874885986	1.0430928102168808e-30	0.0677393509341767	0.09551398101892973	Event study assets weighted	all
treatment	0.6916273034450543	0.10670133046115797	6.481899526986915	9.057495199035831e-11	0.48249653863867814	0.9007580682514305	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.9164546779375253	0.1065862737719059	-8.598242958551435	8.094579381304606e-18	-1.125359935776787	-0.7075494200982636	Event study assets weighted	all
anio_fiscal::2013:treatment	-0.38195736278620507	0.1437826426175654	-2.656491464008902	0.007895844985401478	-0.6637661639186271	-0.10014856165378305	Event study assets weighted	all
anio_fiscal::2015:treatment	-0.20884248341914202	0.11557752349602726	-1.806947208263383	0.07077051085121547	-0.4353702668936873	0.017685300055403225	Event study assets weighted	all
anio_fiscal::2016:treatment	-0.07147192776655253	0.12685703028748097	-0.5634053359485416	0.5731589045347258	-0.320107138315722	0.17716328278261692	Event study assets weighted	all
anio_fiscal::2017:treatment	-0.6523652345449453	0.12908878012636155	-5.053616851180734	4.335208750551037e-7	-0.9053745944008238	-0.39935587468906686	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.5487519458114671	0.11371735451024761	-4.825577838798708	1.3959792892726063e-6	-0.7716338650687259	-0.3258700265542084	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.34283881401088684	0.15288150492942681	-2.2425133384783735	0.0249282142188245	-0.6424810575748461	-0.043196570446927596	Event study assets weighted with fixed effects	all
