term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.6546559802900199	0.005152249866272505	127.06215678232303	0	0.6445573381742057	0.6647546224058342	Linear model	all
treatment	-0.5550203959026672	0.008771366685887775	-63.27638733831956	0	-0.5722126702151396	-0.5378281215901948	Linear model	all
postPost	-0.11211012528500708	0.00475176136319783	-23.593382898664647	6.221239066631448e-122	-0.12142379187187331	-0.10279645869814084	Linear model	all
treatment:postPost	0.18291228187245118	0.00984474988524492	18.579677899851553	1.2970365244719943e-76	0.1636161280772709	0.20220843566763144	Linear model	all
postPost	-0.1133803117247346	0.004598455046453761	-24.656174862940386	1.4183623530746557e-132	-0.12239357325734265	-0.10436705019212655	Linear model with fixed effect	all
treatment:postPost	0.18344269289168566	0.009537077158640868	19.234686879457747	7.856591969190136e-82	0.16474942095162756	0.20213596483174376	Linear model with fixed effect	all
(Intercept)	0.6638319837062602	0.00835811599173382	79.42363857630001	0	0.6474496993928543	0.680214268019666	Linear model assets weighted	all
treatment	-0.5423145866619652	0.013482849495561017	-40.222549902415835	0	-0.5687415797797433	-0.5158875935441871	Linear model assets weighted	all
postPost	-0.04512978611443649	0.006568880983989212	-6.870239577248308	6.537736349630324e-12	-0.058005089114187364	-0.03225448311468562	Linear model assets weighted	all
treatment:postPost	0.13624307068873695	0.014569251127962793	9.351412059007298	9.245293756022227e-21	0.10768668137232318	0.16479946000515072	Linear model assets weighted	all
treatment:postPost	0.1374088069818207	0.014315734241541605	9.598446343260958	8.115850614873244e-22	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	68.98248771980349	3.174068696862924	21.733142634241663	6.635258341135286e-104	62.761169881178354	75.20380555842863	Event study	all
anio_fiscal	-0.033945569520381975	0.0015758614723717361	-21.540960367088932	4.0094902250941386e-102	-0.03703432909857196	-0.030856809942191993	Event study	all
treatment	-0.5345127017331295	0.00824560275105045	-64.82396955941579	0	-0.550674455111696	-0.518350948354563	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.03344500432528772	0.008112473960954485	-4.122663996982827	3.7554845535129014e-5	-0.04934581926938458	-0.01754418938119086	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.012696111758872834	0.007012299124005064	-1.8105490844522716	0.07022093881216902	-0.0264405343900104	0.0010483108722647346	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.08821753325348476	0.007325721266679571	12.042163500641884	2.5577500063735512e-33	0.07385878908319204	0.10257627742377748	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.17686169517534334	0.011146682162144707	15.866756816300375	1.8531267316459641e-56	0.155013695273711	0.19870969507697567	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	0.20688146770970553	0.012149235141792695	17.02835324983091	1.0387127064305021e-64	0.1830684187394707	0.23069451667994037	Event study	all
anio_fiscal2013	0.03025650246595786	0.003773797032777199	8.017522458989164	1.1279535245862536e-15	0.022859622457873603	0.03765338247404212	Event study with fixed effects	all
anio_fiscal2014	0.09816388019885436	0.004692254224785443	20.920409572084296	2.538792860636259e-96	0.08896676621346811	0.10736099418424061	Event study with fixed effects	all
anio_fiscal2015	0.036813833691865	0.005644190884414906	6.5224288911839725	7.055727309056177e-11	0.025750863862770625	0.047876803520959375	Event study with fixed effects	all
anio_fiscal2016	-0.10404263551521628	0.007036180262738049	-14.786806424815683	2.9395250532363008e-49	-0.11783399224868182	-0.09025127878175074	Event study with fixed effects	all
anio_fiscal2017	-0.14435405019123473	0.0073827791646033135	-19.55280619571276	1.780296794510794e-84	-0.1588247626149411	-0.12988333776752836	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	0.13403251441053243	0.008809768062504839	15.214079809999404	4.994789197560728e-52	0.11676481381841941	0.15130021500264546	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	0.09064227150895944	0.0077858429237211485	11.64193426415005	3.061699993088463e-31	0.07538152871639459	0.1059030143015243	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.11585774369322092	0.008018673187436834	14.448493034326395	4.044773956861527e-47	0.10014063891086243	0.1315748484755794	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	0.309464815871374	0.012117100998603011	25.539509483914706	5.7019735217085e-142	0.2857145342971301	0.33321509744561784	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	0.34982270915934727	0.012658687082423504	27.634991439599894	1.6653053966940706e-165	0.32501088473018197	0.37463453358851256	Event study with fixed effects	all
(Intercept)	21.111305431811733	4.248963451936079	4.968577788587985	6.744574350070284e-7	12.783490094390036	29.43912076923343	Event study assets weighted	all
anio_fiscal	-0.010161311440176204	0.00210936214196524	-4.8172436766638675	1.4555489100926352e-6	-0.014295585268780338	-0.00602703761157207	Event study assets weighted	all
treatment	-0.5480742109022555	0.012631026765048022	-43.39110518068574	0	-0.5728305684495111	-0.5233178533549999	Event study assets weighted	all
anio_fiscal::2012:treatment	0.02080389052827447	0.01145128384043822	1.8167299682861011	0.06925847064293938	-0.001640213375729952	0.04324799443227889	Event study assets weighted	all
anio_fiscal::2013:treatment	0.01922182142801851	0.01028436335401952	1.8690336743602016	0.061618129532432855	-9.351603497832969e-4	0.039378803205820316	Event study assets weighted	all
anio_fiscal::2015:treatment	0.08512858973898946	0.011943244484777673	7.1277607895819735	1.020148655423953e-12	0.06172026069026859	0.10853691878771032	Event study assets weighted	all
anio_fiscal::2016:treatment	0.16510468952971186	0.016479650300913758	10.018701035212937	1.2614995812021181e-23	0.13280516846210624	0.19740421059731747	Event study assets weighted	all
anio_fiscal::2017:treatment	0.15468849601907064	0.016990518466471694	9.104401159053845	8.674364443479857e-20	0.12138769174612342	0.18798930029201788	Event study assets weighted	all
anio_fiscal::2012:treatment	0.14277399919148412	0.012972024120176366	11.006300779954376	3.5633592784017544e-28	0.11734929910935357	0.16819869927361467	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	0.0976518665413153	0.011673867862955866	8.364996733532454	6.011659142175302e-17	0.07477150596964224	0.12053222711298836	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	0.13672087597661953	0.013046300791168829	10.479666088119572	1.0712128323519954e-25	0.11115059629445222	0.16229115565878682	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	0.24872754733332786	0.017347230956412003	14.338170049058547	1.2634310788049488e-46	0.21472759942726202	0.28272749523939367	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	0.2659821158069624	0.01759211137207551	15.119396994562225	1.2064226284071079e-51	0.2315022111056769	0.3004620205082479	Event study assets weighted with fixed effects	all
(Intercept)	0.7201152924623698	0.011265336192896587	63.92310714317093	0	0.6980320933960061	0.7421984915287335	Linear model	treat_a
treatment	-0.6420023993705957	0.013496965006967012	-47.56642689961779	0	-0.6684602129623941	-0.6155445857787972	Linear model	treat_a
postPost	-0.13998562903636044	0.011418938834942239	-12.259075125965376	3.176923474036786e-34	-0.16236993209672235	-0.11760132597599854	Linear model	treat_a
treatment:postPost	0.20562776591099682	0.015247729974076116	13.485795345313763	5.648067782440486e-41	0.17573796497101216	0.2355175668509815	Linear model	treat_a
postPost	-0.13887908465239265	0.011093907522560236	-12.518500300274933	1.5900793456040916e-35	-0.1606270011342046	-0.1171311681705807	Linear model with fixed effect	treat_a
treatment:postPost	0.20585681257920227	0.014862431780215292	13.850816314813073	5.488261102175903e-43	0.176721278105398	0.23499234705300653	Linear model with fixed effect	treat_a
(Intercept)	0.7684672237047926	0.01828513387334054	42.02688528440071	0	0.7326232644686089	0.8043111829409763	Linear model assets weighted	treat_a
treatment	-0.6750532752734824	0.0211036778440614	-31.987470632444438	1.2016775391957041e-210	-0.7164223663403498	-0.6336841842066149	Linear model assets weighted	treat_a
postPost	-0.05403952156735639	0.015957193901025835	-3.38653035756383	7.114427598349802e-4	-0.08532006956193086	-0.022758973572781914	Linear model assets weighted	treat_a
