term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.24061780666280072	0.004397932339642135	54.711575367796605	0	0.23199666514991737	0.24923894817568407	Linear model	all
treatment	0.0026264084737082556	0.02040273087236811	0.12872828103934172	0.8975760120013303	-0.03736848378838414	0.04262130073580065	Linear model	all
postPost	-0.04447224281383245	0.006128235351836541	-7.256941070402066	4.3446056539093133e-13	-0.05648524804272513	-0.032459237584939765	Linear model	all
treatment:postPost	0.07756618386441481	0.014792868725276478	5.243484905120396	1.6175318763258043e-7	0.048568144601152295	0.10656422312767733	Linear model	all
postPost	-0.042100041470873574	0.006103663020141929	-6.89750422524057	5.8051300885727264e-12	-0.054065284351976425	-0.030134798589770723	Linear model with fixed effect	all
treatment:postPost	0.07285091610001375	0.013749868311182372	5.298299187401395	1.2082548539531164e-7	0.04589652602579715	0.09980530617423035	Linear model with fixed effect	all
(Intercept)	0.23129287628320064	0.006626653155022237	34.903422719190814	5.888348065656003e-248	0.21830283682959453	0.24428291573680674	Linear model assets weighted	all
treatment	0.059887510952341405	0.02793012630546723	2.144190480822087	0.032048781160704864	0.005136879801946832	0.11463814210273598	Linear model assets weighted	all
postPost	0.00399810044378203	0.009369555776777703	0.42671184622127545	0.6696011275098321	-0.01436877290175629	0.02236497378932035	Linear model assets weighted	all
treatment:postPost	0.04287775938380189	0.0216404091935225	1.9813747050881203	0.047584711168119	4.5668155766143137e-4	0.08529883720994234	Linear model assets weighted	all
treatment:postPost	0.04343688522967722	0.02036145101911743	2.133290264475464	0.03290092235629848	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	29.96061775219112	3.86977398847349	7.74221384541625	1.1012761168714565e-14	22.374809395781803	37.546426108600436	Event study	all
anio_fiscal	-0.014764032156572826	0.0019215446732852109	-7.683418638053923	1.7398558770750528e-14	-0.018530781760874842	-0.010997282552270808	Event study	all
treatment	0.008446491880113276	0.020383219853574015	0.41438457421300195	0.678604010804555	-0.03151015673976238	0.04840314049998893	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.0015444592815430204	0.018413062859607515	-0.08387845592658459	0.9331552462241846	-0.037639064941601075	0.03455014637851503	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.014527329649431485	0.015378583645729325	-0.9446467882928714	0.34486882919127326	-0.04467353164391324	0.015618872345050267	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.04538431320315733	0.011046736472843254	4.108391045149657	4.025479558622301e-5	0.02372970854243349	0.06703891786388116	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.08670893570660822	0.01867785582501631	4.6423388486848705	3.5018428071958366e-6	0.050095263895477915	0.12332260751773852	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	0.08272335510494502	0.02015824427384096	4.103698416448591	4.107865730742733e-5	0.04320771974264213	0.12223899046724793	Event study	all
anio_fiscal2013	0.0022165344861972483	0.004667563096286801	0.4748804548481785	0.634888553531469	-0.006933469271547643	0.01136653824394214	Event study with fixed effects	all
anio_fiscal2014	0.021948945582478115	0.0053924013920583535	4.0703471397369215	4.751426552878015e-5	0.011378013388791288	0.03251987777616494	Event study with fixed effects	all
anio_fiscal2015	0.00961259991023222	0.007219222005488302	1.3315285086016735	0.1830630797834934	-0.004539519111096532	0.02376471893156097	Event study with fixed effects	all
anio_fiscal2016	-0.05096810719852491	0.008529684102589762	-5.975380399263567	2.4202420873848337e-9	-0.0676891755549788	-0.03424703884207102	Event study with fixed effects	all
anio_fiscal2017	-0.0635342619723497	0.009036773783956923	-7.030635433758751	2.271664653846318e-12	-0.0812493977670594	-0.04581912617763999	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	0.04581730205358179	0.01786396379990983	2.5647892352879182	0.010346679996005323	0.010797885598895253	0.08083671850826832	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	0.02308423253657997	0.015561387140709907	1.4834302577171712	0.13800988023687616	-0.007421354185213246	0.05358981925837319	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.041668594593790444	0.01152682993812496	3.614922300186947	3.0277090122473254e-4	0.019072105789464486	0.0642650833981164	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	0.12323137093206629	0.019125952390216482	6.443149518405314	1.2562335900232007e-10	0.08573802962508945	0.16072471223904314	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	0.12411744378950715	0.019851180124523752	6.252396230900899	4.3053146290235426e-10	0.08520241061522349	0.1630324769637908	Event study with fixed effects	all
