term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.0070875266421007305	8.567030573254378e-4	8.273025970313977	1.3608651790976987e-16	0.005408350010530925	0.008766703273670535	Linear model	all
treatment	0.09254805774534856	0.007150184262114588	12.94345073534909	3.2588389369821757e-38	0.07853337410240213	0.106562741388295	Linear model	all
postPost	0.0031859877991983264	0.0013079208179672885	2.4359179511721853	0.014859982455672308	6.224040058466366e-4	0.005749571592550016	Linear model	all
treatment:postPost	0.06761616878820698	0.008720694990441327	7.753529834757486	9.226703147194043e-15	0.05052321328421576	0.08470912429219819	Linear model	all
postPost	0.003187847556768928	0.0013342563875783058	2.389231624781588	0.016891339846271346	5.726209966940726e-4	0.005803074116843783	Linear model with fixed effect	all
treatment:postPost	0.06687453361011454	0.008461104657395933	7.9037591801513605	2.8220516916688363e-15	0.050290235544465406	0.08345883167576368	Linear model with fixed effect	all
(Intercept)	0.012776604709957055	0.0018478479348739672	6.914316091074067	4.7977925483780436e-12	0.00915473941555529	0.01639847000435882	Linear model assets weighted	all
treatment	0.10874079233423406	0.01073981701795305	10.125013503717913	4.688603183883063e-24	0.08769026658942884	0.1297913180790393	Linear model assets weighted	all
postPost	0.005172482810029313	0.002802496173618743	1.8456698919771612	0.06495025214072246	-3.2053608906952927e-4	0.010665501709128155	Linear model assets weighted	all
treatment:postPost	0.0859408017642767	0.013302889379791894	6.460310937774717	1.0612888690915876e-10	0.059866538590007276	0.11201506493854611	Linear model assets weighted	all
treatment:postPost	0.08418309949313212	0.013031028007357183	6.460204018102272	1.0456191571862516e-10	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-1.2931101439990447	0.895714609332066	-1.4436631160491133	0.1488444741928172	-3.0487511869488415	0.46253089895075195	Event study	all
anio_fiscal	6.462037649280596e-4	4.446938249617368e-4	1.4531431035357	0.14619475630723872	-2.2541619361134883e-4	0.001517823723467468	Event study	all
treatment	0.07325376543656043	0.006673150768905666	10.977388039529243	5.567520054134738e-28	0.060174088881525624	0.08633344199159523	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.035738542241533555	0.007527940397872801	4.747452869264524	2.0696887488019955e-6	0.02098343945132592	0.05049364503174119	Event study	all
