term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	594641.7839076153	78954.59836716902	7.531439538737239	7.32866740561796e-14	439806.89332040714	749476.6744948236	Linear model	all
treatment	92285.99855894723	96030.79546200427	0.9610042082329859	0.336657564349808	-96036.37931214093	280608.3764300354	Linear model	all
postPost	138918.08005509916	102975.05036010225	1.3490460025929063	0.17746352458437817	-63022.41467799284	340858.5747881911	Linear model	all
treatment:postPost	280094.8075213436	119780.2107004965	2.338406368491908	0.019456929810167747	45198.34548024222	514991.26956244494	Linear model	all
postPost	108613.49839846996	109242.86177186666	0.9942388604327209	0.32026684159766355	-105671.36721094951	322898.3640078894	Linear model with fixed effect	all
treatment:postPost	122630.10278501142	122027.7301769523	1.0049363583767854	0.315089468734829	-116732.8664513438	361993.0720213666	Linear model with fixed effect	all
(Intercept)	781247.0395654925	112001.67409861264	6.9753157339205325	4.041456849695185e-12	561604.7728288928	1000889.3063020923	Linear model assets weighted	all
treatment	212327.34295052203	136789.44891434474	1.5522201795218713	0.12075597902069794	-55925.29583364376	480579.9817346878	Linear model assets weighted	all
postPost	188205.65557657852	145161.0520811624	1.2965299774167318	0.1949313883151617	-96464.2190264035	472875.53017956053	Linear model assets weighted	all
treatment:postPost	358127.0046502981	168724.57822032366	2.122553859240645	0.033904683520507455	27247.585992147273	689006.4233084489	Linear model assets weighted	all
treatment	37572.94158648635	4973546907032.292	7.554556594884126e-9	0.999999993972336	-9747972775630.93	9747972850776.8125	Linear model assets weighted with fixed effect	all
treatment:postPost	135485.54339067027	180430.15040310723	0.7509030119853907	0.4527110275325901	-218151.05312456493	489122.13990590547	Linear model assets weighted with fixed effect	all
(Intercept)	-43406963.52799323	59616642.44856103	-0.7281014452540836	0.4666305196991988	-160319038.24366492	73505111.18767846	Event study	all
anio_fiscal	21877.79511305024	29593.526101829255	0.7392763889564994	0.4598196246044074	-36157.01517842991	79912.60540453039	Event study	all
treatment	-82514.71403507558	81122.32932393553	-1.0171640129511077	0.3091894869219663	-241600.82552168774	76571.39745153657	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	234877.22424484915	80934.14156885383	2.9020784021664077	0.0037445559451872654	76160.16106386189	393594.28742583643	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	177923.9705200327	59969.20306911289	2.966922377057106	0.0030410406167395722	60320.50172514349	295527.43931492185	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	275917.3578286245	59968.92582545626	4.601005504612526	4.448524576410636e-6	158314.4327263984	393520.2829308506	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	657453.9014726045	96581.7186875369	6.807229260431909	1.2851054418566693e-11	468050.9319728043	846856.8709724047	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	552715.6736435543	118458.2549350709	4.665910990724181	3.2609015682940976e-6	320411.4078740323	785019.9394130764	Event study	all
anio_fiscal2013	1137.809325057466	35089.83428859827	0.03242561123827176	0.974136972520746	-67692.80182377997	69968.42047389489	Event study with fixed effects	all
anio_fiscal2014	-214314.25735348836	110077.92088232994	-1.9469322788407677	0.051730160603183216	-430238.0632628838	1609.548555907124	Event study with fixed effects	all
anio_fiscal2015	-50746.7094708076	144540.57525791854	-0.35108971567502795	0.72557057833881	-334270.8791486259	232777.4602070107	Event study with fixed effects	all
anio_fiscal2016	-1114.9877280627973	160229.2466082302	-0.00695870293136313	0.9944487328342609	-315413.3362826986	313183.36082657304	Event study with fixed effects	all
anio_fiscal2017	191823.34280089912	155835.90189812926	1.2309316432505715	0.21854230899181604	-113857.22207038611	497503.90767218434	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-61964.055690658795	121213.04739685789	-0.5111995533598394	0.6092869182556342	-299730.0155672396	175801.904185922	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-142044.49603685737	115269.67247824125	-1.2322798615019075	0.2180385835605775	-368152.2039943637	84063.21192064899	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-8273.638243169533	95759.83480734903	-0.08639988007304475	0.9311601275229582	-196111.7425525771	179564.46606623806	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	209459.84454395343	150965.7656437717	1.387465851285834	0.16550681156774147	-86667.68419702264	505587.3732849295	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-13635.98871202244	155073.20794487942	-0.08793258934108937	0.9299420467004024	-317820.4880707165	290548.51064667164	Event study with fixed effects	all
(Intercept)	-65186094.9938519	83593303.05475213	-0.7798004458701215	0.4355083438808588	-229025958.3299081	98653768.3422043	Event study assets weighted	all
anio_fiscal	32794.04348185193	41494.878049482446	0.7903154563497015	0.4293435623915325	-48534.42303801529	114122.51000171914	Event study assets weighted	all
treatment	-12285.587536847685	115914.5595641861	-0.10598830365261155	0.9155916322458882	-239473.94956647526	214902.7744927799	Event study assets weighted	all
anio_fiscal::2012:treatment	331523.0548410341	116878.05246943138	2.8364868154159364	0.0045612861605011865	102446.28141776595	560599.8282643023	Event study assets weighted	all
anio_fiscal::2013:treatment	205042.9875443473	86011.47974935015	2.383902569074176	0.01713013698679139	36463.58497862483	373622.39011006977	Event study assets weighted	all
anio_fiscal::2015:treatment	316829.78131632414	85080.3005220019	3.7238911871778293	1.9617550574382135e-4	150075.4564993561	483584.1061332922	Event study assets weighted	all
anio_fiscal::2016:treatment	870516.271769092	136031.68260444232	6.3993641415170135	1.5602533742902156e-10	603899.0731080013	1137133.4704301828	Event study assets weighted	all
anio_fiscal::2017:treatment	723591.0844898829	166485.2073290224	4.346278543894052	1.3846671322526341e-5	397286.07416631526	1049896.0948134507	Event study assets weighted	all
