term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	300687.7891517553	73153.8488551405	4.11034817521602	4.345997098394237e-5	157097.96789887449	444277.61040463607	Linear model	all
treatment	643888.8596959865	116001.79379630277	5.5506801974687106	3.8378352830111486e-08	416195.0732869042	871582.6461050687	Linear model	all
postPost	36687.001592022134	107478.74215057863	0.341341932906354	0.7329332064504557	-174277.3374743507	247651.34065839497	Linear model	all
treatment:postPost	209237.2648333815	130856.44187760216	1.5989832967420403	0.11020765793790947	-47613.92472193792	466088.4543887009	Linear model	all
postPost	16322.14349388008	38316.83442852543	0.4259783914124405	0.6702714307290668	-58924.36329920415	91568.65028696432	Linear model with fixed effect	all
treatment:postPost	206265.3483947838	80090.58237896934	2.575400780815725	0.010242947308609593	48983.65639376972	363547.04039579787	Linear model with fixed effect	all
(Intercept)	357805.9031903127	96225.47653762497	3.718411340373124	2.140489982820326e-4	168930.00407841068	546681.8023022147	Linear model assets weighted	all
treatment	1017568.5407365453	150277.35506473613	6.771269964780785	2.425628307332203e-11	722597.067740906	1312540.0137321847	Linear model assets weighted	all
postPost	124673.90661047368	151759.437983961	0.821523249339195	0.41158591360517205	-173206.66856890527	422554.48178985267	Linear model assets weighted	all
treatment:postPost	128162.92539067828	182569.33276449286	0.701995912730882	0.4828799466140492	-230192.76290430763	486518.6136856642	Linear model assets weighted	all
treatment	2404.239952318405	3567280180981.3447	6.739700360897943e-10	0.9999999994622497	-6991740675082.72	6991740679891.2	Linear model assets weighted with fixed effect	all
treatment:postPost	165059.71644715854	98479.78871717102	1.6760770773097586	0.09372309607976381	-27957.12264361058	358076.55553792766	Linear model assets weighted with fixed effect	all
(Intercept)	-12412313.603882175	69737965.44779527	-0.1779850261501224	0.8587786943381249	-149298260.18475053	124473632.97698618	Event study	all
anio_fiscal	6319.746570548376	34626.121320540035	0.18251384589239383	0.8552246013760714	-61646.523494130684	74286.01663522744	Event study	all
treatment	548725.8610088581	106129.21727129219	5.1703562422983	2.937930442785497e-7	340408.93818519753	757042.7838325186	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	168955.2372420479	105349.10542662157	1.6037652769603221	0.10915087208635317	-37830.43430964052	375740.90879373637	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	100906.89026548143	84139.36567334356	1.199282754961986	0.23076444418201245	-64247.00605131421	266060.78658227704	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	153722.7510571606	73443.54960353977	2.093073549508174	0.036649334307455546	9563.257111709798	297882.2450026114	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	398977.533240786	115658.28665707904	3.4496234102423995	5.900245230989565e-4	171956.36984267598	625998.696638896	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	412904.7839730504	150138.3049229756	2.750162819440915	0.006087755256893298	118204.13052749884	707605.4374186019	Event study	all
anio_fiscal2013	19222.52371379707	18135.67266897733	1.0599289072237663	0.2895950716887064	-16393.17700831897	54838.22443591311	Event study with fixed effects	all
anio_fiscal2014	-8697.507236672427	22386.188395872927	-0.3885211311040285	0.6977655398232008	-52660.57388267385	35265.559409329	Event study with fixed effects	all
anio_fiscal2015	-12305.09495155132	30005.963309459283	-0.41008831560065856	0.6818846771395277	-71232.23973491375	46622.04983181111	Event study with fixed effects	all
anio_fiscal2016	41377.6775533326	64851.1885416475	0.6380403888320384	0.5236860463390891	-85980.18585384164	168735.54096050683	Event study with fixed effects	all
anio_fiscal2017	63130.84863449618	66312.5730272789	0.9520192891403286	0.34146303171319914	-67096.95146762207	193358.64873661444	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	120069.34016425959	79716.38396590474	1.5062065561781388	0.13253011072225415	-36481.504450154825	276620.184778674	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	61319.1487055358	79896.74725898517	0.7674799138789704	0.4430922208738215	-95585.90196369987	218224.19937477147	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	188614.71544565354	62570.73879107792	3.0144236601621914	0.0026812548435305914	65735.30824523715	311494.1226460699	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	292852.4741900978	101671.37654844421	2.880382700932154	0.0041109453112307395	93185.36587549077	492519.5825047049	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	300662.9922306602	111806.96101325272	2.6891258782628213	0.0073591669742711875	81091.13874716582	520234.84571415465	Event study with fixed effects	all
(Intercept)	-65727911.3727932	100511434.47398485	-0.6539346664065908	0.513153898484165	-262726702.97626105	131270880.23067465	Event study assets weighted	all
