term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	828437.8082688041	17980.04690981796	46.07539749056148	0	793195.8002349123	863679.8163026959	Linear model	all
treatment	350265.25140511035	47041.47100425521	7.44588219559347	9.951555531145519e-14	258061.04819178086	442469.45461843984	Linear model	all
postPost	133744.21609999673	12063.001409645682	11.087142540914709	1.6966449243330111e-28	110099.984540209	157388.44765978446	Linear model	all
treatment:postPost	-109978.06067427351	36963.77434832304	-2.9752930433432043	0.002929980048553822	-182429.3528805937	-37526.76846795331	Linear model	all
postPost	-7566.062857758669	9082.926766375605	-0.83299833328699	0.4048561936707067	-25369.41214657119	10237.286431053853	Linear model with fixed effect	all
treatment:postPost	-25361.610435751267	25565.06543859527	-0.9920416787771312	0.32118989260358205	-75471.42650071977	24748.205629217227	Linear model with fixed effect	all
(Intercept)	1936243.0855679328	31458.066150505238	61.5499718356602	0	1874583.3231898139	1997902.8479460517	Linear model assets weighted	all
treatment	157015.2813452037	64373.57681828983	2.4391262549915123	0.014729962596174654	30839.07486591299	283191.48782449437	Linear model assets weighted	all
postPost	93963.7047530355	22185.27502875103	4.235408604638128	2.2897945969793266e-5	50479.188571355546	137448.22093471547	Linear model assets weighted	all
treatment:postPost	-132799.04004306314	54933.94172350904	-2.4174314800030388	0.01563782183802223	-240472.97578213582	-25125.10430399046	Linear model assets weighted	all
treatment	38176.63990321476	3046356342005.0903	1.253190225214663e-8	0.9999999900009887	-5970748676228.52	5970748752581.799	Linear model assets weighted with fixed effect	all
treatment:postPost	-39915.735562171976	44884.791922350094	-0.8892930957823199	0.3738455810871296	-127888.31118355248	48056.84005920852	Linear model assets weighted with fixed effect	all
(Intercept)	-100241733.82514563	8682938.653282782	-11.544678343114514	9.456151329740827e-31	-117260832.70985891	-83222634.94043235	Event study	all
anio_fiscal	50205.30558261452	4312.858029128433	11.640843552821583	3.095273551850831e-31	41751.83605986078	58658.77510536826	Event study	all
treatment	307162.0383674933	46684.3661344573	6.5795482256913385	4.815265831084587e-11	215657.78210834082	398666.2946266458	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	111100.7903639243	33385.7737816844	3.3277883894629015	8.766891019767623e-4	45662.60082675243	176538.97990109617	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	40046.00676522514	23233.99635709598	1.7235952932821452	0.08479371091555966	-5494.06869517055	85586.08222562083	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-113254.32992899846	27032.34520689467	-4.189585811449043	2.8045497066539554e-5	-166239.40497475	-60269.25488324689	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-36622.12621299007	46189.76672478968	-0.7928623331482483	0.4278658135193072	-127156.9369194815	53912.68449350135	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-33830.384232797514	51663.528084718295	-0.6548214085829013	0.5125889734586295	-135094.10707098147	67433.33860538644	Event study	all
anio_fiscal2013	37955.14444462241	8083.039135133417	4.695652688312257	2.6762383621374645e-6	22111.663962961902	53798.62492628292	Event study with fixed effects	all
anio_fiscal2014	71079.86505782597	10167.78988797434	6.990689799943016	2.826657737054369e-12	51150.08642647612	91009.64368917582	Event study with fixed effects	all
anio_fiscal2015	43753.06598063614	11743.524160176861	3.7257185648756055	1.953266108088152e-4	20734.707080336233	66771.42488093604	Event study with fixed effects	all
anio_fiscal2016	30271.729626424763	14863.210143395903	2.0366885305645264	0.04169517596862715	1138.5068540442844	59404.95239880524	Event study with fixed effects	all
anio_fiscal2017	18004.891376494197	17007.341873505844	1.05865405131547	0.289770894337728	-15331.021578153362	51340.80433114176	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-15938.30801315083	27954.80910992135	-0.5701454783854781	0.5685858106645879	-70732.23701647413	38855.62099017247	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-13296.146085632701	17963.039834873754	-0.7401946556851327	0.45919108684491994	-48505.31262029591	21913.020449030504	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-26335.769149468397	19312.15045094123	-1.3636891042439476	0.17268168039841683	-64189.313294572705	11517.774995635911	Event study with fixed effects	all
