term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	1009861.9863693625	22849.66224123696	44.195926211410544	0	965074.5011170849	1054649.47162164	Linear model	all
treatment	409616.9893721952	57776.76793720562	7.089648729007917	1.3936820998063682e-12	296369.0947384678	522864.88400592265	Linear model	all
postPost	105324.27502322364	14689.237254547768	7.17016637406516	7.777149389914948e-13	76531.98960738239	134116.5604390649	Linear model	all
treatment:postPost	-87849.6304153742	46182.56202334144	-1.9022251379421853	0.05715745386437354	-178371.79191148345	2672.531080735047	Linear model	all
postPost	-31122.33026261312	10980.38102542245	-2.8343579508358405	0.004598202660091666	-52645.297994623834	-9599.362530602408	Linear model with fixed effect	all
treatment:postPost	-10661.609478051896	32777.087759046786	-0.3252762892307048	0.7449767192788628	-74908.94302266411	53585.724066560324	Linear model with fixed effect	all
(Intercept)	2402588.805982403	29305.120777159296	81.9852893373845	0	2345148.015358612	2460029.596606194	Linear model assets weighted	all
treatment	132357.0437437708	57849.4156164489	2.287958181311972	0.02215133759881684	18966.75283178028	245747.3346557613	Linear model assets weighted	all
postPost	7119.356054958869	25277.695068861412	0.2816457764667365	0.7782183290831722	-42427.301709856925	56666.01381977466	Linear model assets weighted	all
treatment:postPost	-52399.45456663869	62864.410988625394	-0.8335313055922815	0.40455605788860116	-175619.60768404254	70820.69855076517	Linear model assets weighted	all
treatment	-310648.5384779536	13390558390088.984	-2.3199072766665202e-8	0.9999999814898181	-26245012488103.59	26245011866806.51	Linear model assets weighted with fixed effect	all
treatment:postPost	-3496.164765040111	57404.30754885068	-0.060904223294826754	0.9514354859892733	-116006.54011824817	109014.21058816795	Linear model assets weighted with fixed effect	all
(Intercept)	-81434027.48529999	10513625.137068046	-7.745570763997169	1.001155670311251e-14	-102041721.05420463	-60826333.91639535	Event study	all
anio_fiscal	40951.87113478329	5221.464651154363	7.842985420906686	4.6408940471525936e-15	30717.309591164856	51186.43267840172	Event study	all
treatment	392887.8517455417	58038.31583057738	6.769456455153535	1.3319934836280126e-11	279127.29700834025	506648.4064827431	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	54301.83414593031	41209.30042229768	1.3177082258001271	0.1876178834356418	-26472.268432399702	135075.93672426033	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	15488.075292643234	29181.29892923761	0.5307534572124639	0.5955960959611122	-41710.01370485321	72686.16429013968	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-126907.85114203034	33241.695061326514	-3.8177310425326447	1.3512975965212134e-4	-192064.69824318393	-61751.004040876745	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-36415.46327573328	56975.31554618524	-0.6391445650917762	0.5227369137878788	-148092.43753152894	75261.51098006236	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-37015.92768960939	62843.72527975086	-0.5890154908040826	0.555858173680999	-160195.53666458649	86163.68128536773	Event study	all
anio_fiscal2013	51107.98920297277	10498.327431311951	4.868203010180444	1.138175008113167e-6	30529.907926501375	71686.07047944417	Event study with fixed effects	all
anio_fiscal2014	97962.74200866497	13212.567733587308	7.414360628754738	1.2905468551349612e-13	72064.39825138079	123861.08576594914	Event study with fixed effects	all
anio_fiscal2015	49199.62381511652	14965.262748241194	3.2875883733413738	0.0010129263685530782	19865.770858829714	78533.47677140334	Event study with fixed effects	all
anio_fiscal2016	14893.554846675983	18132.944230503042	0.8213533697204123	0.4114586765101307	-20649.36402286666	50436.47371621862	Event study with fixed effects	all
anio_fiscal2017	-4421.721185953893	20473.58108248634	-0.21597204554196694	0.82901261086516	-44552.59139288374	35709.14902097595	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-16642.744757235032	35275.0922539607	-0.4717987592326248	0.6370776180731395	-85786.49362450738	52501.004110037306	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-20055.183335636575	22677.187519701063	-0.8843770118412351	0.37650756173063527	-64505.40752185961	24395.04085058646	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-22175.229976027946	23841.146997424592	-0.9301242921921247	0.35232239827185063	-68906.96546886877	24556.505516812886	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-28545.903085410144	41351.31011717249	-0.6903264492593554	0.4900000955839716	-109599.82582188272	52508.01965106244	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-20031.670034998562	46103.80039090443	-0.4344906464359607	0.6639387259387961	-110401.08914538012	70337.74907538299	Event study with fixed effects	all
(Intercept)	-36499365.13888541	17014378.49415115	-2.1452070759700335	0.031936294114778	-69846934.20675449	-3151796.0710163265	Event study assets weighted	all
anio_fiscal	19313.120208949273	8447.2260033239545	2.2863269197899556	0.022235140147497334	2756.861473164103	35869.378944734446	Event study assets weighted	all
treatment	265652.1278888304	54741.02808059269	4.85288890624639	1.2167585871682188e-6	158361.68437417297	372942.5714034878	Event study assets weighted	all
anio_fiscal::2012:treatment	-232186.54369104584	58828.553206648976	-3.946834165297872	7.9191367229718e-5	-347488.3892386761	-116884.69814341556	Event study assets weighted	all
anio_fiscal::2013:treatment	-118725.36699113552	41018.6662040497	-2.894422904941116	0.0037985617648511414	-199120.47544494324	-38330.25853732783	Event study assets weighted	all
anio_fiscal::2015:treatment	-179249.4994891812	45163.435821331914	-3.9689075073539204	7.22028984379031e-5	-267768.2071170779	-90730.79186128452	Event study assets weighted	all
anio_fiscal::2016:treatment	-235344.9281042833	73128.96431592404	-3.218217710394078	0.0012898987029903372	-378675.06439020915	-92014.79181835742	Event study assets weighted	all
anio_fiscal::2017:treatment	-224230.09878060035	80240.49311193715	-2.7944755831422263	0.005198396624985318	-381498.5753817314	-66961.6221794693	Event study assets weighted	all
anio_fiscal::2012:treatment	22233.053645199678	62011.586152505246	0.35853063958921927	0.7199462427221015	-99307.42183791332	143773.5291283127	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	29427.025541627303	43485.75613239125	0.6767049295874605	0.49859318815283854	-55803.49031835132	114657.54140160592	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	31970.27644865436	44630.46050383166	0.7163331072039827	0.47378568861982173	-55503.818752293024	119444.37164960174	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	-15056.82043458457	69590.5511309579	-0.21636300029080277	0.8287048046800278	-151451.79431555516	121338.15344638602	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	13950.607643066694	75957.46079080354	0.1836634281586694	0.8542775008917185	-134923.2798640215	162824.4951501549	Event study assets weighted with fixed effects	all
(Intercept)	769436.217829142	44407.67036617379	17.32665126282411	2.2793935252326816e-65	682377.8053731301	856494.6302851539	Linear model	treat_a
treatment	697406.8066388919	77305.06672951697	9.021488967586713	2.5916751234317515e-19	545855.141604821	848958.4716729629	Linear model	treat_a
postPost	88226.35511431033	27513.454176567324	3.206662258694185	0.0013512655371051485	34287.978657217216	142164.73157140345	Linear model	treat_a
treatment:postPost	-103991.86397724712	57783.484839647295	-1.7996814187623142	0.07197094422839982	-217272.70971482454	9288.981760330294	Linear model	treat_a
