term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	488553.5586276952	15647.19751397803	31.223070980682525	5.019802489496222e-209	457883.76727650955	519223.34997888084	Linear model	all
treatment	-36877.5751985156	35587.76302164075	-1.0362431371730367	0.30010119915479294	-106632.51154121375	32877.361144182556	Linear model	all
postPost	83880.56966062333	10121.933736188837	8.287010352648927	1.2334247776146518e-16	64040.748792885366	103720.39052836128	Linear model	all
treatment:postPost	117483.1691988453	31489.071291035147	3.7309188357134064	1.9130778665472144e-4	55762.00504303285	179204.33335465775	Linear model	all
postPost	94375.01137731878	9452.667282340128	9.98395569826457	2.0975704061951307e-23	75846.72346167981	112903.29929295774	Linear model with fixed effect	all
treatment:postPost	80376.18619544567	29760.80434816105	2.7007397130518815	0.006925821868625772	22041.672233031262	138710.70015786006	Linear model with fixed effect	all
(Intercept)	1224287.446756228	35801.90977562603	34.1961491559795	3.7008920188531904e-249	1154112.7651998969	1294462.1283125593	Linear model assets weighted	all
treatment	-386545.2831538364	68575.90625601713	-5.636750635284813	1.7561406888595158e-8	-520959.6876957145	-252130.87861195824	Linear model assets weighted	all
postPost	166515.30565177454	26591.555184868976	6.261961908362713	3.87872181235336e-10	114393.6750214388	218636.93628211028	Linear model assets weighted	all
treatment:postPost	202661.8782166739	63838.14446164314	3.1746204393274993	0.001502589691072509	77533.87563752831	327789.8807958195	Linear model assets weighted	all
treatment	-133635.34646640084	27821904287477.785	-4.803242261405811e-9	0.9999999961675672	-54529930518412.305	54529930251141.62	Linear model assets weighted with fixed effect	all
treatment:postPost	113937.80865023902	61681.87381862803	1.8471846199949524	0.0647203876457352	-6956.442533215988	234832.05983369402	Linear model assets weighted with fixed effect	all
(Intercept)	-49131606.430795684	6546544.062448242	-7.50496841724788	6.4002241536255e-14	-61963370.246414885	-36299842.615176484	Event study	all
anio_fiscal	24652.09968487974	3250.32009239294	7.584514442923821	3.482334351923944e-14	18281.205461470163	31022.993908289318	Event study	all
treatment	-103138.6646129562	34471.32690173915	-2.9920131855368943	0.002774808609336129	-170705.29534127633	-35572.03388463608	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	125210.2892900753	24421.234906804395	5.127107198628536	2.9695858038774126e-7	77342.66395667495	173077.91462347566	Event study	all
