term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	594641.7839076053	78900.21768140227	7.536630460371589	5.773615863105949e-14	439959.50748051336	749324.0603346974	Linear model	all
treatment	584061.2757663383	90095.20414403772	6.482712163375347	9.955155364715848e-11	407431.45544775337	760691.0960849233	Linear model	all
postPost	138918.08005511077	102904.12537319951	1.349975810506143	0.17709014967778186	-62823.370529217704	340659.53063943924	Linear model	all
treatment:postPost	-115151.92462936176	108680.90420718712	-1.0595414665472271	0.2894088734470221	-328218.6329470117	97914.78368828814	Linear model	all
postPost	108613.49839848548	109216.11094587209	0.9944823841265941	0.3200577803796485	-105521.2265721634	322748.22336913436	Linear model with fixed effect	all
treatment:postPost	-141541.17169198047	111800.86223739281	-1.2660114498172514	0.2055944132175307	-360743.69299902907	77661.34961506815	Linear model with fixed effect	all
(Intercept)	781247.0395654433	111924.5319438941	6.980123356308244	3.369752974236757e-12	561821.2648606526	1000672.814270234	Linear model assets weighted	all
treatment	1312011.3273475955	125240.80908810935	10.475909065906544	2.1477873189201174e-25	1066479.261396326	1557543.393298865	Linear model assets weighted	all
postPost	188205.65557657546	145061.07110828566	1.29742358951757	0.19455052765543784	-96183.6320498246	472594.94320297556	Linear model assets weighted	all
treatment:postPost	-227040.9908665975	153529.53441303398	-1.4788098702611758	0.1392595930783335	-528032.5290356666	73950.54730247159	Linear model assets weighted	all
treatment	2937895.2187571833	30924642933327.43	9.500175071030551e-8	0.9999999241995698	-60611183446187.625	60611189321978.06	Linear model assets weighted with fixed effect	all
treatment:postPost	-218226.99091749443	169978.81716396124	-1.2838481556616146	0.19919509032432053	-551379.3506935772	114925.3688585883	Linear model assets weighted with fixed effect	all
(Intercept)	-43406963.53061134	59546311.43247782	-0.7289614165242193	0.46606239968554897	-160146326.04165262	73332398.98042995	Event study	all
anio_fiscal	21877.795114350345	29558.614051096694	0.7401495576393111	0.4592470490232906	-36071.28146191726	79826.87169061795	Event study	all
treatment	523997.82693630946	75521.58591028157	6.938384842166985	4.518160588395918e-12	375939.2556680228	672056.3982045961	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	54445.76943169054	67357.58634210129	0.8083093885693418	0.4189543260365426	-77607.44260942552	186498.9814728066	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	11718.496296942154	37362.10749604573	0.3136465548198103	0.7538037273344841	-61529.174402244964	84966.16699612926	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-84926.81946072038	39839.949821682676	-2.1316999604878872	0.033084400710760666	-163032.25089334502	-6821.388028095738	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	20032.894723575853	74551.18499673232	0.2687132971052562	0.7881623765868688	-126123.22480080507	166189.01424795677	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	51152.14717205868	101832.73793475592	0.5023153477895467	0.6154697746826536	-148488.91578005278	250793.21012417012	Event study	all
anio_fiscal2013	1137.8093250681557	35046.77525518885	0.032465449867593664	0.9741027497789168	-67576.75695821855	69852.37560835487	Event study with fixed effects	all
anio_fiscal2014	-214314.25735350052	109942.84333160469	-1.9493243112432106	0.0513377742702862	-429874.0268465311	1245.5121395300666	Event study with fixed effects	all
anio_fiscal2015	-50746.709470805574	144363.20829153893	-0.35152107016299816	0.7252189720257682	-333792.872000358	232299.45305874685	Event study with fixed effects	all
anio_fiscal2016	-1114.9877280453325	160032.62794012134	-0.006967252505923493	0.9944413852968226	-314883.44545375096	312653.4699976603	Event study with fixed effects	all
anio_fiscal2017	191823.3428009187	155644.67434059345	1.232443985723253	0.21786740560453585	-113341.86038090123	496988.5459827386	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-301332.43042448134	112989.87114247523	-2.666897726120198	0.0076913051244996275	-522866.36424368864	-79798.49660527403	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-261872.9333773949	106969.15116658395	-2.448116401050785	0.014410090687539463	-471602.32430088345	-52143.542453906295	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-217230.11610935602	87717.17213796171	-2.4764833477268984	0.013316074591067222	-389213.0559138976	-45247.176304814464	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-303597.4738243711	136166.00371074522	-2.229612866287075	0.025837390709163126	-570571.762311212	-36623.18533753016	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-491562.17062278424	140300.99528723175	-3.503625684311303	4.648120661627107e-4	-766643.7428952069	-216480.59835036163	Event study with fixed effects	all
(Intercept)	-65186096.27798891	83566454.19848116	-0.7800510013642973	0.4353608558525059	-228973336.82272792	98601144.2667501	Event study assets weighted	all
anio_fiscal	32794.04411760415	41481.550523729245	0.7905693905738778	0.4291953147235441	-48508.30093178377	114096.38916699207	Event study assets weighted	all
treatment	1285259.4396920733	103708.96734857347	12.392944145053741	2.8537074280236617e-35	1081993.598815029	1488525.2805691175	Event study assets weighted	all
anio_fiscal::2012:treatment	-59263.80322702241	97151.18254036296	-0.6100162826366045	0.5418510215230266	-249676.62206161028	131149.01560756547	Event study assets weighted	all
anio_fiscal::2013:treatment	-16494.364385404217	56031.36919790381	-0.29437732151691354	0.7684695943744749	-126313.8300177626	93325.10124695416	Event study assets weighted	all
anio_fiscal::2015:treatment	-164396.93569502048	58606.1906734021	-2.8051121188060866	0.005029908007475776	-279262.9586859758	-49530.912704065166	Event study assets weighted	all
anio_fiscal::2016:treatment	-139250.22366207372	105362.0447728757	-1.321635546863667	0.18628954055361455	-345756.0367544067	67255.58943025925	Event study assets weighted	all
anio_fiscal::2017:treatment	-153783.60558019392	142343.2455032839	-1.0803716399500396	0.2799767195188312	-432771.2402091733	125204.02904878545	Event study assets weighted	all
