term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	278150.5057426062	12297.734765057266	22.61802771457894	1.003122712717546e-109	254043.60652048426	302257.4049647281	Linear model	all
treatment	225623.7069761709	58616.658147622504	3.849139717381214	1.1949053971999052e-4	110719.1414038684	340528.27254847344	Linear model	all
postPost	7769.343904822832	12283.875095282157	0.6324831410738446	0.5270899650547087	-16310.38660136045	31849.074411006113	Linear model	all
treatment:postPost	104545.19709460129	43573.915695730975	2.399261012588864	0.016451774647359255	19128.491135474906	189961.90305372767	Linear model	all
postPost	6216.020341102325	12280.996571255762	0.5061495054604287	0.6127692899632234	-17858.884566352674	30290.925248557323	Linear model with fixed effect	all
treatment:postPost	105270.16040556986	40395.30855362044	2.605999661218951	0.009182068366711564	26081.699885034614	184458.6209261051	Linear model with fixed effect	all
(Intercept)	637623.4515073741	23671.070924198768	26.93682316060893	8.040318795902568e-153	591221.7253235598	684025.1776911883	Linear model assets weighted	all
treatment	280093.77476565086	99242.02112032361	2.822330416125422	0.004779801264253229	85552.46716279536	474635.08236850635	Linear model assets weighted	all
postPost	45047.70209635888	32294.841803828138	1.3948884583487589	0.16308963443106078	-18258.95653896658	108354.36073168434	Linear model assets weighted	all
treatment:postPost	118512.23222931204	77165.48503124138	1.5358191836846606	0.12462374025581689	-32753.07041487214	269777.5348734962	Linear model assets weighted	all
treatment:postPost	123799.8575072874	72406.09853527178	1.7097987602105056	0.08730309236448476	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-2929867.9027571166	7748937.503475364	-0.3780993073493087	0.7053672305483523	-18119890.638515044	12260154.833000809	Event study	all
anio_fiscal	1594.3786845756345	3848.8603762264233	0.4142469533121456	0.6787047807432479	-5950.433310025717	9139.190679176985	Event study	all
treatment	192320.15865920752	57016.493689119474	3.373061832034547	7.470325610184007e-4	80552.34080514827	304087.9765132668	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	71750.81144295912	44336.92434402083	1.618308272496021	0.10563707767822214	-15161.60571322561	158663.22859914385	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	27074.46697567823	41681.97233957122	0.649548604732766	0.5160031883534697	-54633.522955245186	108782.45690660164	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	89446.33526477292	36802.69206895207	2.430429140813661	0.015103610009932275	17303.060265619075	161589.61026392676	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	167079.74918358383	49964.407429010855	3.343975397305968	8.29807989995571e-4	69135.93630795323	265023.56205921446	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	163694.5069270992	57323.689759991175	2.8556170688326676	0.0043068008443995385	51324.501315197806	276064.5125390006	Event study	all
anio_fiscal2013	11577.733670596452	7972.5370434306515	1.4522019286365653	0.14649499005328231	-4051.1378414317223	27206.605182624626	Event study with fixed effects	all
anio_fiscal2014	36730.952559892976	10199.229873255024	3.6013456914242985	3.1899831713465634e-4	16737.00930915708	56724.89581062887	Event study with fixed effects	all
anio_fiscal2015	41389.027511728746	14282.03643762228	2.8979780084232387	0.00376865144807005	13391.40126079406	69386.65376266342	Event study with fixed effects	all
anio_fiscal2016	18893.919046317977	17479.82564397491	1.0808985988272994	0.2797833678419284	-15372.456582183717	53160.29467481967	Event study with fixed effects	all
anio_fiscal2017	7524.300235404546	18112.754941193907	0.41541445571551355	0.6778525953682117	-27982.831078338517	43031.43154914761	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	80305.16846343181	44504.550346276985	1.8044260157354834	0.07121202161014781	-6938.81613939775	167549.15306626138	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	50121.57386313384	42848.005716424595	1.1697527813743995	0.2421444777808593	-33875.02248262433	134118.170208892	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	90244.98327737016	35907.039868119886	2.513294986410013	0.011985543563321356	19855.029688062612	160634.93686667772	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	177869.94741395427	49621.335281208645	3.5845457685882294	3.402058945612227e-4	80595.33217659878	275144.56265130977	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	176464.82549712362	55397.025790916	3.1854566734891443	0.0014522663421404514	67867.90164235795	285061.7493518893	Event study with fixed effects	all
(Intercept)	-29937419.08816561	19933831.116449896	-1.5018397072432557	0.13313851081667905	-69007010.15031126	9132171.973980032	Event study assets weighted	all
