term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	828437.8082688409	17980.345489409247	46.074632367704275	0	793195.0170967248	863680.599440957	Linear model	all
treatment	-141510.02580233946	57478.34779551489	-2.461971006991639	0.013825284081677163	-254171.78802869702	-28848.26357598188	Linear model	all
postPost	133744.21609997496	12063.20172981335	11.086958429074064	1.730450705045298e-28	110099.45912456888	157388.97307538104	Linear model	all
treatment:postPost	285268.67147645715	62284.95552684151	4.580057400113604	4.6742575358694515e-6	163185.60682734018	407351.7361255741	Linear model	all
postPost	-7566.062857763988	9082.968893269373	-0.8329944698335985	0.40485958376162823	-25369.625925626675	10237.5002100987	Linear model with fixed effect	all
treatment:postPost	238809.66404130586	55107.21047493649	4.33354659005866	1.4757092658740289e-5	130793.80395050126	346825.52413211047	Linear model with fixed effect	all
(Intercept)	1936243.0855679943	31458.588548283282	61.54894974376263	0	1874581.953003567	1997904.2181324216	Linear model assets weighted	all
treatment	-942668.7030517184	84503.84512399338	-11.155335022548746	8.075407910171718e-29	-1108302.4150791052	-777034.9910243318	Linear model assets weighted	all
postPost	93963.70475303246	22185.64344104837	4.235338271919521	2.291458441414968e-5	50478.22227037178	137449.18723569316	Linear model assets weighted	all
treatment:postPost	452368.9554738149	88710.76593809374	5.099369289512141	3.436467429981711e-7	278489.37120685994	626248.5397407699	Linear model assets weighted	all
treatment	-55254.82683245664	2740988448022.7764	-2.0158722986342735e-8	0.9999999839156661	-5372238695419.806	5372238584910.151	Linear model assets weighted with fixed effect	all
treatment:postPost	316723.3902908015	80863.39115006907	3.9167710602566155	8.974289984701711e-5	158234.0559688912	475212.72461271175	Linear model assets weighted with fixed effect	all
(Intercept)	-100241733.82996109	8683164.55301607	-11.544377999279357	9.688058330052433e-31	-117261371.09828278	-83222096.5616394	Event study	all
anio_fiscal	50205.30558503468	4312.970240547177	11.64054069120246	3.1735621858048768e-31	41751.56863291369	58659.04253715567	Event study	all
treatment	-299350.50260271056	55133.88121289797	-5.429519852715916	5.71109975440053e-8	-407416.9400989714	-191284.0651064497	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	291532.24518885394	55756.604049358	5.228658562683943	1.7232355510467755e-7	182245.22541172765	400819.2649659802	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	206251.4809920009	52227.10357738891	3.949127308704421	7.868380960660057e-5	103882.54014848398	308620.4218355178	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	247589.8473566658	52226.786567024814	4.740667837928788	2.143636596555287e-6	145221.52787663613	349958.16683669545	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	600798.8805287479	76647.1872577413	7.838498737187094	4.768219158126639e-15	450564.79054933274	751032.9705081631	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	467733.1422276866	79321.3389559709	5.896687428427203	3.763547584622093e-9	312257.51943768736	623208.7650176858	Event study	all
anio_fiscal2013	37955.14444463458	8083.226649293331	4.695543758871684	2.679820711927101e-6	22111.17954888015	53799.109340389005	Event study with fixed effects	all
anio_fiscal2014	71079.86505784222	10168.025765166978	6.990527630382628	2.840613549405226e-12	51149.47707391549	91010.25304176896	Event study with fixed effects	all
anio_fiscal2015	43753.065980641324	11743.796591997148	3.7256321359020306	1.9545888051684143e-4	20734.00329448614	66772.1286667965	Event study with fixed effects	all
anio_fiscal2016	30271.729626434564	14863.554947164917	2.0366412835987537	0.04170151628878786	1137.616106360725	59405.8431465084	Event study with fixed effects	all
anio_fiscal2017	18004.891376490574	17007.73641785507	1.0586294927283015	0.2897836410144093	-15332.040823016418	51341.823575997565	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	223430.06672070784	51653.9085525621	4.325521010541717	1.5304205501238928e-5	122183.03390283536	324677.0995385803	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	106532.29125491357	46170.24028592589	2.3073800481689912	0.021045635317393004	16033.81854628191	197030.7639635452	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	182620.70871674	42704.10143914405	4.276420825221804	1.9096190137792123e-5	98916.228629486	266325.188803994	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	463467.24960078637	72442.09819761245	6.397761262194658	1.6180431952187408e-10	321473.20308742905	605461.2961141437	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	445576.5851237722	75486.71476947506	5.902715285524019	3.643900968449105e-9	297614.77348659013	593538.3967609543	Event study with fixed effects	all
(Intercept)	-89438281.19501866	15034574.213766795	-5.948840314554582	2.7004893336879254e-9	-118905505.17689617	-59971057.21314116	Event study assets weighted	all
anio_fiscal	45382.279749562775	7464.056647948054	6.080109234170782	1.2010070066097739e-9	30752.99754101783	60011.56195810772	Event study assets weighted	all
treatment	-1112807.2283096735	82496.43981404987	-13.489154572221342	1.8116602129023598e-41	-1274497.2791979874	-951117.1774213596	Event study assets weighted	all
anio_fiscal::2012:treatment	356699.5273772569	83589.51564036382	4.26727592144359	1.9787436181512254e-5	192867.08723699627	520531.9675175175	Event study assets weighted	all
anio_fiscal::2013:treatment	217631.22381288046	75660.22479560036	2.8764284589534515	0.004022033564354419	69339.90815129943	365922.53947446146	Event study assets weighted	all
anio_fiscal::2015:treatment	304241.54504930787	74601.34039063986	4.078231616968114	4.5379546797201905e-5	158025.60468524054	450457.4854133752	Event study assets weighted	all
