term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	1009861.9863693918	22850.254100553677	44.194781463936636	0	965072.9445697133	1054651.0281690704	Linear model	all
treatment	-559112.3314189542	60104.75684562734	-9.302297534535821	1.5473559305538263e-20	-676924.3458881099	-441300.31694979843	Linear model	all
postPost	105324.27502317545	14689.61773989597	7.169980654916712	7.826697799221417e-13	76530.98895824906	134117.56108810185	Linear model	all
treatment:postPost	489969.8996979514	92338.09795157563	5.306259394198304	1.133795363921202e-7	308976.94834360667	670962.8510522961	Linear model	all
postPost	-31122.330262612726	10980.461292350052	-2.834337231742282	0.004599386909379607	-52645.706148102356	-9598.954377123096	Linear model with fixed effect	all
treatment:postPost	272068.41731012537	84867.42358112284	3.2058050760791783	0.0013502110589296722	105715.34620170429	438421.48841854645	Linear model with fixed effect	all
(Intercept)	2402588.805982385	29305.87984784029	81.98316578300735	0	2345146.019057338	2460031.5929074315	Linear model assets weighted	all
treatment	-1773314.8238366817	89503.53348792423	-19.81279123550956	2.4611064450980006e-86	-1948751.713289584	-1597877.9343837793	Linear model assets weighted	all
postPost	7119.35605496688	25278.349819866307	0.2816384813763343	0.7782243494485791	-42429.02365786326	56667.735767797014	Linear model assets weighted	all
treatment:postPost	837514.3262561806	133754.4237305044	6.261582255728973	3.907503217425757e-10	575340.7657786929	1099687.8867336684	Linear model assets weighted	all
treatment	-122833.01834458794	5176469877298.488	-2.3729109075525503e-8	0.9999999810669102	-10145694649394.525	10145694403728.49	Linear model assets weighted with fixed effect	all
treatment:postPost	404925.4339291494	132157.75719705707	3.0639550981890182	0.0021843169203627035	145900.98954532848	663949.8783129703	Linear model assets weighted with fixed effect	all
(Intercept)	-81434027.49199751	10514051.709295118	-7.74525651419466	1.0104427360693553e-14	-102042739.68467492	-60825315.2993201	Event study	all
anio_fiscal	40951.87113812589	5221.6765081301255	7.842667211261368	4.6858271250849765e-15	30716.803697456722	51186.93857879506	Event study	all
treatment	-767329.9657692143	47533.15208857605	-16.14304821063259	3.637417176696164e-58	-860500.2371440638	-674159.6943943648	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	350127.7255771742	80379.99479700493	4.355906298095711	1.3333690844105044e-5	192573.9846767085	507681.46647764	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	289765.10296387237	74780.52158974663	3.8748740554867016	1.0710261561223719e-4	143186.9531057234	436343.2528220214	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	436206.5006776442	81049.5617710357	5.381972353039042	7.470536222195811e-8	277340.3339452489	595072.6674100396	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	914338.9888801228	110114.05339448774	8.303563084763296	1.0898450159727341e-16	698503.1819504411	1130174.7958098045	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	721629.0982623326	109317.07412409312	6.601247829256417	4.2045380516199336e-11	507355.45945405867	935902.7370706066	Event study	all
anio_fiscal2013	51107.98920297798	10498.711331914106	4.868024997279362	1.140865795484298e-6	30528.91532972453	71687.06307623142	Event study with fixed effects	all
anio_fiscal2014	97962.74200867602	13213.050887950825	7.414089511908993	1.3029185402213147e-13	72063.14902837998	123862.33498897207	Event study with fixed effects	all
anio_fiscal2015	49199.62381512184	14965.809994782649	3.2874681579061686	0.0010136949403236975	19864.355921861636	78534.89170838206	Event study with fixed effects	all
anio_fiscal2016	14893.554846677675	18133.60731214587	0.8213233357436823	0.4114776659135033	-20651.078458063603	50438.18815141895	Event study with fixed effects	all
anio_fiscal2017	-4421.721185952578	20474.329756039115	-0.21596414821092474	0.8290191912188646	-44554.52713081913	35711.084758913974	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	271028.96147267194	67742.5349248736	4.00086831372996	6.347147866177604e-5	138243.2712572748	403814.6516880691	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	105886.11230058473	50687.6408066275	2.0889927133231248	0.036728403103438806	6530.6131690216425	205241.61143214782	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	189230.14580920702	59143.77344669546	3.1994939582229156	0.001380101595533008	73299.3382630767	305160.9533553374	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	579297.6189764434	115093.03258961499	5.033298766590275	4.887676961421102e-7	353697.73865983397	804897.4992930528	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	526376.511962403	113899.88493146836	4.621396345388012	3.849492795095703e-6	303115.38285272114	749637.6410720848	Event study with fixed effects	all
(Intercept)	-36499370.66982147	17014635.70928458	-2.1451749713280326	0.03193885995760927	-69847443.87008837	-3151297.4695545807	Event study assets weighted	all
anio_fiscal	19313.122953966358	8447.353705538633	2.2862926813758753	0.022237141755037704	2756.6139264396734	35869.63198149305	Event study assets weighted	all
treatment	-1999174.6553482986	69368.01791016039	-28.81983247578821	1.2105314242925417e-182	-2135133.4721311424	-1863215.8385654548	Event study assets weighted	all
anio_fiscal::2012:treatment	427146.4442716916	126633.75570249614	3.3730851770297128	7.433095474585683e-4	178948.84386775552	675344.0446756277	Event study assets weighted	all
anio_fiscal::2013:treatment	313925.1134539328	105917.46603898883	2.9638654057148153	0.003038011334805889	106330.69468377045	521519.5322240952	Event study assets weighted	all
anio_fiscal::2015:treatment	583004.4497741719	115556.70164669167	5.045180776764262	4.530927725487808e-7	356517.4763744159	809491.4231739279	Event study assets weighted	all
anio_fiscal::2016:treatment	1389871.0033321858	152216.77244554705	9.130866336227097	6.795329907024143e-20	1091531.6114959847	1688210.3951683869	Event study assets weighted	all
anio_fiscal::2017:treatment	1188517.2851832695	162086.75380969714	7.332599717424683	2.257303936680662e-13	870833.0853452529	1506201.4850212862	Event study assets weighted	all
anio_fiscal::2012:treatment	564515.9432062196	110091.44200864415	5.127700508836054	2.9330253332299446e-7	348740.6818631971	780291.204549242	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	231529.56467541156	68596.4303130901	3.375242175411412	7.375076019155457e-4	97083.03179374337	365976.09755707975	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	369389.88648528035	94386.89006608025	3.9135719613886053	9.094078211759793e-5	184394.9813430217	554384.791627539	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	948393.3807786097	177303.6490784616	5.348978352718055	8.845211968900815e-8	600884.6142572967	1295902.1472999225	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	875687.7640173018	175497.31528544094	4.989750199842219	6.045742207768799e-7	531719.346674367	1219656.1813602368	Event study assets weighted with fixed effects	all
(Intercept)	769436.2178291457	44419.932013217614	17.321868426097364	1.273114193167168e-64	682345.3884755353	856527.0471827561	Linear model	treat_a
treatment	-382375.26126510854	69641.08794384822	-5.49065605599698	4.2822038833198414e-8	-518915.31955049105	-245835.202979726	Linear model	treat_a
postPost	88226.35511431504	27521.05106830906	3.205777093881023	0.001358796656109708	34267.89427045555	142184.81595817453	Linear model	treat_a
treatment:postPost	540302.8931294426	105956.83839586997	5.099273452373063	3.585894362694635e-7	332561.2664912717	748044.5197676135	Linear model	treat_a
postPost	-31085.346017266285	21546.811829181443	-1.442688888904044	0.14922066516259525	-73334.695866675	11164.003832142433	Linear model with fixed effect	treat_a
treatment:postPost	324021.6603403273	105842.57001561917	3.0613548054673227	0.0022244251489146705	116483.77468922708	531559.5459914275	Linear model with fixed effect	treat_a
(Intercept)	2143155.8641792918	77264.20166918519	27.73801861508178	1.331761896141611e-153	1991669.7385203945	2294641.989838189	Linear model assets weighted	treat_a
treatment	-1665490.314316168	108115.38011561391	-15.404749190495975	6.722791286364804e-52	-1877464.0318209105	-1453516.5968114254	Linear model assets weighted	treat_a
postPost	32439.244051610855	60943.250982927675	0.5322860780876001	0.5945608131671403	-87047.61761285714	151926.10571607886	Linear model assets weighted	treat_a
treatment:postPost	881652.1481407605	151749.90946428597	5.809902300786911	6.795121086554848e-9	584127.4813842378	1179176.8148972832	Linear model assets weighted	treat_a
treatment	4050471.8550495286	69396025675265.484	5.836749029409072e-8	0.9999999534294807	-136013706943265.34	136013715044209.06	Linear model assets weighted with fixed effect	treat_a
treatment:postPost	501333.51703661185	160815.99522339317	3.1174356527172438	0.0018243176679357698	186139.95826079597	816527.0758124278	Linear model assets weighted with fixed effect	treat_a
(Intercept)	-64867460.48423131	19746470.286694814	-3.285015475800708	0.001029569414367305	-103582898.42140192	-26152022.547060706	Event study	treat_a
anio_fiscal	32604.571763900538	9808.722797159338	3.3240384541546026	8.961499881279197e-4	13373.337361861206	51835.806165939866	Event study	treat_a
treatment	-503664.38719296793	66153.88771778194	-7.61352665079402	3.38964156947019e-14	-633367.4023169449	-373961.37206899095	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	206032.70346060526	74123.36184225247	2.7795919982566226	0.005471095960537677	60704.53222628683	351360.8746949237	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	167297.72524195927	66657.7366503335	2.5098020672311896	0.01212360175650125	36606.85093126712	297988.5995526514	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	433489.17561450496	97252.43694423648	4.457360547819105	8.55131900755463e-6	242813.54437066897	624164.806858341	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	905632.934681114	135144.91266937205	6.701198859750775	2.39112480052265e-11	640664.3401419234	1170601.5292203047	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	662665.3942030318	136288.1241543568	4.862238718998818	1.210475207016826e-6	395455.38979902037	929875.3986070432	Event study	treat_a
anio_fiscal2013	36827.39288537586	21271.52997561885	1.7312996727356678	0.08350947475723673	-4882.232008405343	78537.01777915706	Event study with fixed effects	treat_a
anio_fiscal2014	91284.35518470473	25621.963860821168	3.562738425538437	3.7318620350412486e-4	41044.3158973672	141524.39447204227	Event study with fixed effects	treat_a
anio_fiscal2015	56254.25809522793	29389.189120053434	1.914113991557643	0.05570834212324193	-1372.6289004340797	113881.14509088994	Event study with fixed effects	treat_a
anio_fiscal2016	4409.437717920656	35250.605307573605	0.1250882837173093	0.9004627193239625	-64710.62681635848	73529.50225219979	Event study with fixed effects	treat_a
anio_fiscal2017	-37003.99831208046	38466.23209390921	-0.961986560621302	0.33614016974647654	-112429.32566526273	38421.32904110182	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	214139.2614762825	73473.75435542644	2.9145000599859388	0.0035910983766800925	70070.51149848485	358208.0114540801	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	108649.97580528939	55413.07033792328	1.9607283108969353	0.05001061577092196	-5.037757751357276	217304.98936833013	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	203823.78061392822	79354.1057646304	2.568534780273162	0.010264803773756872	48224.72455083081	359422.83667702565	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	661015.4501924382	153232.60097336714	4.3138042818142015	1.660748893829775e-5	360554.0205057541	961476.8798791224	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	604364.8236141388	152909.4862707472	3.952435119322996	7.929063094968457e-5	304536.9634478131	904192.6837804643	Event study with fixed effects	treat_a
(Intercept)	-40780486.05969292	40456067.26109947	-1.0080190394310866	0.3134453220600865	-120072920.84757785	38511948.72819202	Event study assets weighted	treat_a
anio_fiscal	21315.674012580057	20086.535218092533	1.0611921758104106	0.2886025744217103	-18053.2115890767	60684.559614236816	Event study assets weighted	treat_a
treatment	-1761306.798781802	101270.64873892363	-17.39207579604296	9.473997741462264e-68	-1959793.6230010989	-1562819.974562505	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	199397.6186693369	110381.83735990025	1.8064350389385209	0.07085041258460628	-16946.80710342535	415742.04444209917	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	133960.10250834073	87370.30765943881	1.5332451732973693	0.12521545778440668	-37282.553822343325	305202.7588390248	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	569881.1768491685	134323.66677157718	4.242596934301045	2.2094805597480183e-5	306611.6277055177	833150.7259928193	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	1365095.126067674	182029.11765758652	7.499322875560729	6.414833953438552e-14	1008324.6113212005	1721865.6408141474	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	1079596.7610704303	202998.05060144307	5.318261716660818	1.0476330398805531e-7	681727.8929597625	1477465.6291810982	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	494055.1586967612	127104.86025608527	3.8869887249107595	1.0149546650319121e-4	244934.21033483758	743176.1070586848	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	232995.90178919036	79666.81957480115	2.924629137108012	0.0034486695527360836	76851.80465972956	389139.99891865114	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	408577.4845801592	124055.88875272272	3.2934952841663625	9.89500015094299e-4	165432.41055471514	651722.5586056032	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	1051697.5940278757	224559.51513993216	4.683380231617084	2.8218236224287505e-6	611569.0319678318	1491826.1560879196	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2017:treatment	1016852.0535307975	228330.0769386812	4.453430170760537	8.450920097953154e-6	569333.3261437229	1464370.7809178722	Event study assets weighted with fixed effects	treat_a
(Intercept)	769436.2178291416	44415.803318391554	17.323478589669815	8.128733365010678e-65	682355.6643662424	856516.7712920409	Linear model	treat_b
treatment	-318923.885854543	71701.20903850882	-4.447956877313707	8.91210755325473e-6	-459499.5481311944	-178348.22357789165	Linear model	treat_b
postPost	88226.35511430784	27518.493072020352	3.2060750886106	0.0013565155121036262	34274.260856356465	142178.4493722592	Linear model	treat_b
treatment:postPost	510305.38708751893	96051.80300066475	5.312814243413913	1.1401285119182075e-7	321988.53719405294	698622.2369809849	Linear model	treat_b
postPost	-31085.3460172668	21546.36681874817	-1.4427186856495204	0.14920479439027018	-73332.60236214244	11161.910327608835	Linear model with fixed effect	treat_b
treatment:postPost	275951.7928098348	88139.40181279242	3.130856202041793	0.001759853609934026	103131.57055180782	448772.0150678618	Linear model with fixed effect	treat_b
