term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	12.582969994099676	0.049727562337727384	253.0381422809702	0	12.485489582610546	12.680450405588806	Linear model	all
treatment	-0.12913228773305616	0.16070527822643765	-0.8035348257267917	0.42169186778647905	-0.444161135187802	0.18589655972168964	Linear model	all
postPost	0.010936605017603362	0.030843539528173876	0.3545833320333866	0.7229120185092421	-0.049525657430893044	0.07139886746609977	Linear model	all
treatment:postPost	-0.06482440449288555	0.09482404461153306	-0.6836283429846571	0.4942316040903534	-0.2507069704835174	0.12105816149774633	Linear model	all
postPost	0.004887470552413635	0.026832712301929962	0.18214597530873167	0.855474357480054	-0.04771435083431533	0.057489291939142595	Linear model with fixed effect	all
treatment:postPost	0.01730494221874235	0.061892530541403035	0.27959661799845464	0.7797966945368431	-0.104026803900616	0.1386366883381007	Linear model with fixed effect	all
(Intercept)	14.251010824329432	0.03462645679488518	411.56422410607456	0	14.18313294940261	14.318888699256254	Linear model assets weighted	all
treatment	-0.6990549381645337	0.19195784229253823	-3.641710751776393	2.7271026322722193e-4	-1.075347854518602	-0.3227620218104654	Linear model assets weighted	all
postPost	-0.05986787038237162	0.05082812002238378	-1.1778493943117883	0.23889509115273455	-0.1595056933938927	0.03976995262914947	Linear model assets weighted	all
treatment:postPost	0.12171098761160795	0.17183721785870737	0.7082923544053444	0.47878636387413576	-0.21513968269172187	0.45856165791493775	Linear model assets weighted	all
treatment:postPost	0.08834086879961256	0.09099242100168749	0.9708596367380339	0.3316181802856308	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	0.07434448281446694	19.68915689609188	0.003775909918683397	0.9969873702767893	-38.52210386001958	38.67079282564851	Event study	all
anio_fiscal	0.006212018527716215	0.009775779968649631	0.6354499127064852	0.5251549747446979	-0.012951340704074457	0.025375377759506886	Event study	all
treatment	-0.15976514990848775	0.15921359543338026	-1.0034642423192954	0.31567023621740864	-0.47186989588880357	0.1523395960718281	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.09455847450571007	0.11185794805988214	0.8453442615905045	0.39794640639499224	-0.12471549120104926	0.3138324402124694	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.015231625678995117	0.07687508280008626	0.19813475477619943	0.8429451595990634	-0.13546579512999662	0.16592904648798684	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.04120880586396256	0.08022943720379362	-0.5136369803927032	0.6075213906548409	-0.19848173252876605	0.11606412080084094	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.02417063064767006	0.09532037747808123	-0.25357254437256144	0.7998329625563096	-0.21102616970238997	0.16268490840704986	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.04920838872890645	0.11931416601781604	-0.41242704342046554	0.6800385757589036	-0.2830987005171696	0.18468192305935674	Event study	all
anio_fiscal2013	0.08676241551560618	0.023241052852663622	3.733153401682595	1.908601465692773e-4	0.04120153332333222	0.13232329770788015	Event study with fixed effects	all
