term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	10.507936339705495	0.3601707860032583	29.174871333430232	4.711924299862913e-158	9.801618970016836	11.214253709394153	Linear model	all
treatment	1.1522107335259937	0.3969826234571522	2.9024210770030243	0.003740408242744795	0.3737030551996835	1.930718411852304	Linear model	all
postPost	0.1898531135747078	0.3656730886578905	0.5191880930355446	0.6036827478609823	-0.5272546147140389	0.9069608418634545	Linear model	all
treatment:postPost	0.5009288277853816	0.39056711725046783	1.2825678498278175	0.19978107345148938	-0.2649976428327455	1.2668552984035086	Linear model	all
postPost	-0.2082407909303908	0.396297316618191	-0.5254660634783416	0.5993368511163428	-0.9855960877024882	0.5691145058417065	Linear model with fixed effect	all
treatment:postPost	0.47100246583305483	0.41304087620859575	1.140328943121811	0.25433120328217773	-0.3391960882325563	1.281201019898666	Linear model with fixed effect	all
(Intercept)	10.825940181907793	0.47526561479549234	22.778715406470578	4.053901621031548e-103	9.893914676255653	11.757965687559933	Linear model assets weighted	all
treatment	1.5284203854803333	0.5157421120892153	2.9635361349277227	0.0030745001470576226	0.5170179447359238	2.539822826224743	Linear model assets weighted	all
postPost	0.1970322436984442	0.46157314367762614	0.42687111760569907	0.6695157262871732	-0.7081414723018227	1.102205959698711	Linear model assets weighted	all
treatment:postPost	0.40785552381654966	0.4936713246290325	0.8261681476497165	0.4087999162723073	-0.5602647265014197	1.375975774134519	Linear model assets weighted	all
treatment	0.36620312034248764	10852418.283089874	3.3743918709169323e-8	0.9999999730762482	-21270348.613817036	21270349.34622328	Linear model assets weighted with fixed effect	all
treatment:postPost	0.048717791503698	0.4352388793175641	0.11193345498013736	0.9108761700407804	-0.8043347366303024	0.9017703196376985	Linear model assets weighted with fixed effect	all
(Intercept)	43.62330336383705	197.57268655257488	0.22079622505021065	0.825271999915639	-343.8294571961154	431.07606392378955	Event study	all
anio_fiscal	-0.016389758942091607	0.09806491197189132	-0.16713173562822817	0.8672820619278437	-0.2087013659792681	0.1759218480950849	Event study	all
treatment	0.8312063970248533	0.3556638224879983	2.337056356224991	0.01952732001301223	0.13372673898715204	1.5286860550625545	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.32973856789667366	0.2438489537203382	1.352224657378843	0.17644521013636882	-0.14846493243108871	0.807942068224436	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.27172224974820836	0.16135502942235985	1.6840023563006106	0.09232589875073113	-0.04470535302819839	0.5881498525246152	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.50129719747647	0.16744321340812057	2.993834072299035	0.002786265042107786	0.17293027386963972	0.8296641210833002	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	1.2567793615044343	0.2533410057929848	4.960820920287179	7.568198624725424e-7	0.759961335843753	1.7535973871651156	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	1.085621541190626	0.34310425009059486	3.1641156905050676	0.001577219137965788	0.4127720133684778	1.7584710690127743	Event study	all
anio_fiscal2013	-0.0595241415817176	0.13311346607895205	-0.4471684445990816	0.6548183059022332	-0.3206334174762295	0.2015851343127943	Event study with fixed effects	all
anio_fiscal2014	-0.8183399156631135	0.31072167943199436	-2.6336749890096365	0.008533879940913093	-1.4278373249867775	-0.20884250633944945	Event study with fixed effects	all
anio_fiscal2015	-0.549987915151838	0.41100105262791486	-1.3381666826283043	0.18104586973521677	-1.356188748205842	0.25621291790216594	Event study with fixed effects	all
anio_fiscal2016	-0.6806916778057556	0.4831329251092722	-1.4089117972073641	0.15906947896424412	-1.6283830868872178	0.26699973127570675	Event study with fixed effects	all
anio_fiscal2017	-0.2812695112831046	0.47793051350562393	-0.588515491969723	0.5562753565641105	-1.2187561081337135	0.6562170855675041	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.47921808715837233	0.33826313421885007	-1.416702083911772	0.15677866274728802	-1.1427395522617276	0.18430337794498286	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.5217071739306247	0.2922419505637529	-1.7851891999906897	0.07443358399859665	-1.0949555938346043	0.051541245973354965	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.059250088065621806	0.38133750482597345	-0.15537440539099628	0.8765471636036031	-0.8072642649143609	0.6887640887831172	Event study with fixed effects	all
