term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	10.059945913714706	0.03204553934960738	313.9265594491534	0	9.997134045796347	10.122757781633066	Linear model	all
treatment	0.16338476241509226	0.0789612816879235	2.069175663343882	0.03854229767902595	0.008614217225095089	0.3181553076050894	Linear model	all
postPost	0.012978048296220675	0.027423792123874267	0.47324047081447956	0.6360467428023612	-0.040774818519748415	0.06673091511218976	Linear model	all
treatment:postPost	0.05821458772138694	0.063481473662469	0.9170327083286361	0.35913645267817806	-0.06621427257796961	0.1826434480207435	Linear model	all
postPost	-0.04854214550931223	0.02109128718745577	-2.3015259845393934	0.021375234027881853	-0.08988356583885909	-0.007200725179765381	Linear model with fixed effect	all
treatment:postPost	0.0683599769462386	0.04413036982297412	1.5490460927578864	0.12139123845402486	-0.018140773431624	0.15486072732410122	Linear model with fixed effect	all
(Intercept)	11.436765197048958	0.01993486088342116	573.7067975508347	0	11.397691245597564	11.475839148500352	Linear model assets weighted	all
treatment	-0.15623020488645536	0.05745426007500684	-2.7192101104860806	0.00654939469121117	-0.26884523550920036	-0.04361517426371039	Linear model assets weighted	all
postPost	0.0019598850475453177	0.01783783268880511	0.10987237529003883	0.9125116830308743	-0.033003720294698745	0.03692349038978938	Linear model assets weighted	all
treatment:postPost	0.09923568311983896	0.05117514298337214	1.9391383655162953	0.052498404378285665	-0.0010717664351994477	0.1995431326748774	Linear model assets weighted	all
treatment	-0.03586375688448449	2213865.8297362244	-1.6199607222248674e-8	0.9999999870745835	-4339097.328750639	4339097.257023125	Linear model assets weighted with fixed effect	all
treatment:postPost	0.07383313234354791	0.0436595262984328	1.6911116222119482	0.09081548588700397	-0.011737966783459702	0.15940423147055552	Linear model assets weighted with fixed effect	all
(Intercept)	23.73159526353544	17.193772347556795	1.3802436593798253	0.16752691795041919	-9.96959973765064	57.43279026472152	Event study	all
anio_fiscal	-0.006783680938318788	0.00853642791105899	-0.7946744245951509	0.4268122545597074	-0.02351577531695853	0.009948413440320956	Event study	all
treatment	0.01735374242107879	0.08699246895300106	0.1994855719114536	0.8418849374941506	-0.15315858614515995	0.18786607098731753	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.1730265461406749	0.08003092850819428	2.1619959853765645	0.03063019549405128	0.016159404174363123	0.32989368810698666	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.24404338105822182	0.06980634890796548	3.496005519211082	4.7329271863121757e-4	0.10721724835660607	0.3808695137598376	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.1277702840992069	0.0744456451444973	1.7162895673911847	0.08612439713064614	-0.018149247303703403	0.27368981550211724	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.20135504635254062	0.08173902485808558	2.463389387163978	0.01377131393802445	0.041139896339775855	0.3615701963653054	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	0.3449043519661566	0.09010213371522728	3.8279265733733414	1.2961715729275307e-4	0.16829682704500074	0.5215118768873125	Event study	all
anio_fiscal2013	0.10075957462245227	0.0264143476280743	3.8145774425774834	1.3695035819044627e-4	0.04898432339457214	0.1525348258503324	Event study with fixed effects	all
anio_fiscal2014	0.0868461573287955	0.02877051291702719	3.018582170545786	0.002543772402879855	0.030452542948902886	0.14323977170868812	Event study with fixed effects	all
anio_fiscal2015	0.048716103979411236	0.030440544194095837	1.6003690232601058	0.10953731533888436	-0.010950969588121764	0.10838317754694424	Event study with fixed effects	all
anio_fiscal2016	-0.005761998869719404	0.03301402512925521	-0.17453184963542775	0.8614498034890442	-0.07047340000589622	0.05894940226645742	Event study with fixed effects	all
anio_fiscal2017	0.004968745561279821	0.03576282159152771	0.13893606097503583	0.8895024967876388	-0.06513062235009015	0.0750681134726498	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	0.011684059887871228	0.06440809404878435	0.181406701446893	0.856050753549093	-0.11456343626230554	0.137931556038048	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.04378174395286874	0.057765052756297695	-0.7579278796399185	0.44850579062480667	-0.15700809202554694	0.06944460411980947	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.014180990729686531	0.05943925472894258	0.23857955141522702	0.8114348066719588	-0.10232699158815364	0.13068897304752672	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	0.06067091115284722	0.06317668192674816	0.960337094360126	0.33690070803953553	-0.06316287132621404	0.1845046936319085	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	0.10352876603039422	0.0663050687346189	1.561400478216234	0.11844989748574423	-0.02643702527947918	0.23349455734026764	Event study with fixed effects	all
(Intercept)	9.930378412411073	10.879815450928911	0.9127340860881261	0.3613824122012659	-11.393668029851995	31.25442485467414	Event study assets weighted	all
anio_fiscal	7.482582992132114e-4	0.005401437611436956	0.1385294717889282	0.8898219790363703	-0.009838364883943275	0.011334881482369698	Event study assets weighted	all
treatment	-0.1925740323793459	0.06391862791652828	-3.0127998465616237	0.0025884957877318525	-0.31785224103695775	-0.06729582372173404	Event study assets weighted	all
anio_fiscal::2012:treatment	0.02466745836392903	0.07294605575141602	0.33816027624564454	0.7352424092617501	-0.1183041837230972	0.16763910045095526	Event study assets weighted	all
anio_fiscal::2013:treatment	0.08773611672474502	0.06271802911984822	1.3988978600888367	0.16184361438913844	-0.035188961531491814	0.21066119498098185	Event study assets weighted	all
anio_fiscal::2015:treatment	0.1229674041796045	0.060068557298463415	2.0471176553919013	0.04064653387011939	0.0052351952713356326	0.24069961308787335	Event study assets weighted	all
anio_fiscal::2016:treatment	0.16059151472009425	0.06065978024723092	2.6474133942716542	0.008111013257859394	0.0417005301254075	0.279482499314781	Event study assets weighted	all
anio_fiscal::2017:treatment	0.12454395730388157	0.07489594149342674	1.6628932732598363	0.0963338011465401	-0.02224939061145384	0.27133730521921695	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.026409682844219337	0.06494006829478999	-0.4066777805704607	0.6842446619123135	-0.15368987785557914	0.10087051216714045	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.028273968178314353	0.05549076590649648	-0.5095256429863807	0.6103838288032584	-0.13703387082959056	0.08048593447296185	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	0.04284999646044241	0.051056300423449205	0.8392695143411175	0.40131808643592626	-0.05721851355337512	0.14291850647425994	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	0.06432002797627961	0.05250314941963674	1.2250698993729934	0.22054888521181032	-0.03858425396113342	0.16722430991369264	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	0.0638742686152873	0.053127522692039374	1.2022820824065683	0.22925425650664386	-0.0402537624489443	0.1680022996795189	Event study assets weighted with fixed effects	all
(Intercept)	9.863080887547037	0.07115036382781985	138.62305625611663	0	9.723596530494806	10.002565244599268	Linear model	treat_a
treatment	0.3925989939524042	0.11017924653820864	3.563275356182948	3.695144865937408e-4	0.17660176586975357	0.6085962220350549	Linear model	treat_a
postPost	-0.07818528956768533	0.06328167170320678	-1.235512391871963	0.21669523463455634	-0.20224373165903575	0.04587315252366507	Linear model	treat_a
treatment:postPost	0.04345568836627306	0.08995528772335118	0.483080977962261	0.6290584145910699	-0.1328941543682483	0.21980553110079443	Linear model	treat_a
postPost	-0.09952907121958447	0.05122656442458887	-1.9429191150638687	0.05209595446444192	-0.1999616596263924	9.035171872234515e-4	Linear model with fixed effect	treat_a
treatment:postPost	0.11834789457161507	0.07238440560301579	1.6349915922592626	0.10212943606343128	-0.0235658428936604	0.26026163203689057	Linear model with fixed effect	treat_a
(Intercept)	11.341302452052426	0.0512739201039016	221.19046932768904	0	11.24078420598207	11.441820698122783	Linear model assets weighted	treat_a
treatment	-0.2010760439042418	0.09052544609151641	-2.2212101965337414	0.02637929190939287	-0.3785436345900446	-0.02360845321843899	Linear model assets weighted	treat_a
postPost	-0.05512354288904623	0.04482939204808563	-1.2296294991000263	0.21889106420551913	-0.14300782893432226	0.03276074315622981	Linear model assets weighted	treat_a
treatment:postPost	0.16762571617966082	0.07910881502849786	2.118925888591252	0.03414363006706524	0.012539478980416213	0.32271195337890546	Linear model assets weighted	treat_a
treatment	0.059990771914193816	6320924.058402577	9.490823075851773e-9	0.9999999924274188	-12388783.44349103	12388783.563472573	Linear model assets weighted with fixed effect	treat_a
treatment:postPost	0.10869727718710144	0.07184360053665206	1.5129709031168048	0.13028704996067786	-0.03211359238441906	0.24950814675862193	Linear model assets weighted with fixed effect	treat_a
(Intercept)	71.21656247130072	39.03227522910358	1.8245557568265867	0.06812503102972735	-5.30297280456486	147.7360977471663	Event study	treat_a
anio_fiscal	-0.030475251316661824	0.019379914624460957	-1.5725173153341214	0.11589102354484454	-0.0684679650912352	0.007517462457911565	Event study	treat_a
treatment	0.3337940878294045	0.11487527555526827	2.9057087020331975	0.0036795750611711914	0.10859064661104834	0.5589975290477607	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	0.017882109622707167	0.09931715011556272	0.18005057134543262	0.857119831583934	-0.17682091824740997	0.21258513749282432	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	0.15264448705451059	0.08770258195719825	1.740478827966617	0.08183369823397953	-0.01928914413833463	0.32457811824735583	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	0.04398386458989558	0.08697686445678683	0.5056961395952404	0.6130912579887866	-0.12652705768969522	0.2144947868694864	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	0.08569614058215214	0.10020371923471721	0.8552191598938307	0.3924689466600365	-0.1107449324464766	0.28213721361078087	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	0.19951975362708832	0.11327291679576341	1.7614073979116487	0.07822780764150102	-0.022542396264978448	0.4215819035191551	Event study	treat_a
anio_fiscal2013	0.23302711018009278	0.06531628707836455	3.567672331106539	3.643941197204753e-4	0.1049707428799328	0.36108347748025277	Event study with fixed effects	treat_a
anio_fiscal2014	0.07778494756950112	0.07187982055225932	1.082152779067507	0.2792499603878704	-0.06313960760409927	0.21870950274310152	Event study with fixed effects	treat_a
anio_fiscal2015	0.03935740912097775	0.07661001199464391	0.513737148660535	0.6074641874608928	-0.11084096059170286	0.18955577883365837	Event study with fixed effects	treat_a
anio_fiscal2016	-0.036372144429264966	0.0818147319903918	-0.4445671768934775	0.656656654197863	-0.19677466941902577	0.12403038056049585	Event study with fixed effects	treat_a
anio_fiscal2017	0.003985988541830141	0.0875307943614376	0.04553812827712895	0.9636806604473382	-0.16762320809506606	0.17559518517872633	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.0680120036466374	0.10126593966107621	-0.671617760860805	0.5018659017914804	-0.2665497488904277	0.13052574159715288	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.24988159580525057	0.09193410568507507	-2.7180510860815095	0.006595113314953654	-0.430123739558693	-0.06963945205180813	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.012562480653090841	0.08825240319748483	-0.14234717920348788	0.886812960412537	-0.18558643324580307	0.16046147193962138	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	0.04756303937544757	0.09876810314013629	0.48156275015186994	0.6301429697389767	-0.14607755256571434	0.24120363131660946	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	0.02550207422447778	0.10624136687013708	0.240039026000578	0.8103123178885765	-0.1827902844956464	0.23379443294460198	Event study with fixed effects	treat_a
(Intercept)	30.921310380098475	27.48169430621393	1.1251602625208885	0.2605211286248894	-22.941820694220283	84.78444145441723	Event study assets weighted	treat_a
anio_fiscal	-0.009732800072755676	0.01364516065835676	-0.7132785253645936	0.47567342321930445	-0.03647682352639777	0.01701122338088642	Event study assets weighted	treat_a
treatment	-0.1935195928523754	0.0972965899005745	-1.9889658316918335	0.046704974496258565	-0.3842174048760649	-0.002821780828685866	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.047670625801414346	0.10479818102613804	-0.4548802787857994	0.6491953715424637	-0.2530712862579537	0.157730034655125	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	0.05989181860652337	0.08824179939080498	0.678723904317439	0.49731281704591845	-0.11305893013046284	0.23284256734350958	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	0.13367958391012635	0.08218163947586875	1.626635642251687	0.1038145047547975	-0.02739346965303152	0.29475263747328423	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	0.17540760480829576	0.086595353838125	2.025600647538087	0.04280572513525715	0.005683830057068462	0.34513137955952305	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	0.1311767070975982	0.10011846495800904	1.3102149254147615	0.19012313795012703	-0.0650518784075349	0.3274052926027313	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.08999187773048112	0.10791797867044492	-0.8338914316148774	0.40434216603929013	-0.3015072292089148	0.12152347374795261	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	-0.1368047895092445	0.08638173668272109	-1.5837235365124294	0.11325664628862471	-0.30610988232940023	0.03250030331091125	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	0.03392178685757868	0.08101132329515402	0.41872895637056984	0.6754142309190421	-0.12485748914085387	0.19270106285601124	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	0.10710476273625384	0.08119044139515874	1.3191794612246108	0.18710912300409724	-0.05202557828716718	0.26623510375967485	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2017:treatment	-0.028714454463176168	0.08729896742189241	-0.32892089461272705	0.7422154806475567	-0.19981728649762076	0.14238837757126843	Event study assets weighted with fixed effects	treat_a
(Intercept)	9.863080887546761	0.0711412702214493	138.64077569665062	0	9.723620271721895	10.002541503371628	Linear model	treat_b
treatment	0.33881896249524907	0.10231776758589022	3.311438184094751	9.333036224610077e-4	0.13824201422125504	0.5393959107692431	Linear model	treat_b
postPost	-0.07818528956768196	0.06327358378094088	-1.2356703207829483	0.21662633916204704	-0.2022226160318898	0.04585203689652585	Linear model	treat_b
treatment:postPost	0.13583318947744583	0.08632156688234248	1.5735718706611106	0.11563572864014302	-0.033385870554874186	0.30505224950976584	Linear model	treat_b
postPost	-0.09952907121958196	0.05122477196065721	-1.9429871019440457	0.052074952579757354	-0.19995260040852814	8.944579693642291e-4	Linear model with fixed effect	treat_b
treatment:postPost	0.11112465817951664	0.06486779158439887	1.7130945183316961	0.08675844884023039	-0.01604530885521374	0.23829462521424702	Linear model with fixed effect	treat_b
(Intercept)	11.341302452052636	0.051267366871834454	221.21874291701496	0	11.240801314901029	11.441803589204243	Linear model assets weighted	treat_b
treatment	-0.07385359201185304	0.07527295773182376	-0.9811437498573191	0.3265588241694787	-0.22141369330836133	0.07370650928465525	Linear model assets weighted	treat_b
postPost	-0.055123542889050636	0.04482366248013259	-1.229786676032627	0.21882205626192067	-0.1429928704052262	0.032745784627124935	Linear model assets weighted	treat_b
treatment:postPost	0.15189214882681845	0.06650450649568089	2.283937688293094	0.022407692386517446	0.02152113630278063	0.2822631613508563	Linear model assets weighted	treat_b
treatment	-0.16860861584681347	12550378.685076674	-1.3434544094458404e-8	0.9999999892807847	-24598290.383698054	24598290.04648082	Linear model assets weighted with fixed effect	treat_b
treatment:postPost	0.08179912701150217	0.05860361634118564	1.3958034011975318	0.16277370589210902	-0.03306185038102463	0.19666010440402898	Linear model assets weighted with fixed effect	treat_b
(Intercept)	71.21656247694087	39.024550861363615	1.8249169024376666	0.06806003770451281	-5.284581206268484	147.71770616015021	Event study	treat_b
anio_fiscal	-0.030475251319460318	0.019376079385980228	-1.5728285744695605	0.1158078171788325	-0.06845883345958668	0.007508330820666053	Event study	treat_b
treatment	0.2192242520978686	0.1068849542458304	2.051030041081957	0.04030453920771032	0.009694070152097223	0.42875443404364	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2012	0.13181864956848696	0.08877691045936066	1.4848303335452238	0.13763789365060977	-0.04221372320449329	0.3058510223414672	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2013	0.23458050583575873	0.0734556452206341	3.1934986770746354	0.0014123920768053832	0.09058292622670999	0.3785780854448075	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2015	0.1449888386563366	0.07814834471157636	1.8553027475047588	0.06359883242251278	-0.008207998089432289	0.2981856754021055	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2016	0.2377325442933918	0.09087070146981234	2.6161627504588774	0.00891324944615368	0.059595642361262136	0.41586944622552147	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2017	0.41274663681834	0.10612034694814815	3.8894203485785215	1.0149927557075232e-4	0.20471534035491587	0.6207779332817641	Event study	treat_b
anio_fiscal2013	0.2330271101800904	0.06530484464492976	3.568297443276783	3.627546840418318e-4	0.10500027132098247	0.3610539490391983	Event study with fixed effects	treat_b
anio_fiscal2014	0.07778494756949658	0.07186722828624938	1.0823423892135753	0.2791537965192939	-0.06310711189532489	0.21867700703431805	Event study with fixed effects	treat_b
anio_fiscal2015	0.0393574091209792	0.07659659107006374	0.5138271634696974	0.6073960560237754	-0.11080632643957083	0.18952114468152925	Event study with fixed effects	treat_b
