term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	10.037086091822797	0.061022320708769603	164.48220872695117	0	9.917457385353488	10.156714798292105	Linear model	all
treatment	0.4731280530229846	0.14583526452253887	3.244263687332378	0.0011848080816459349	0.1872312885308136	0.7590248175151556	Linear model	all
postPost	-0.09750514918615275	0.05055399939260553	-1.9287326493977588	0.05381708094035389	-0.196611664375086	0.0016013660027805188	Linear model	all
treatment:postPost	0.10543405930173662	0.10671804013834164	0.9879684743559705	0.32321291761210413	-0.10377694661228314	0.31464506521575636	Linear model	all
postPost	-0.15676113138571293	0.040920661582049905	-3.830855253192611	1.2962353613852574e-4	-0.23698801847806006	-0.07653424429336582	Linear model with fixed effect	all
treatment:postPost	0.029025702835168848	0.07082905495310321	0.40979938041510117	0.6819746932666952	-0.10983800011808147	0.16788940578841915	Linear model with fixed effect	all
(Intercept)	11.392743642389606	0.031648756484354494	359.97444790671597	0	11.330699135468036	11.454788149311176	Linear model assets weighted	all
treatment	0.10343000216562093	0.07679105104240254	1.346901764744812	0.1780691151353406	-0.04711186510395843	0.2539718694352003	Linear model assets weighted	all
postPost	-0.08388411684425341	0.03438780076015686	-2.4393568355626	0.014745814910430552	-0.15129827080432545	-0.016469962884181386	Linear model assets weighted	all
treatment:postPost	0.08729614247142263	0.07257323325036834	1.2028696884740155	0.22908016055243716	-0.05497707685550686	0.22956936179835213	Linear model assets weighted	all
treatment	-0.08631674653782806	4263601.461000572	-2.0245031653960324e-8	0.9999999838468018	-8356505.394310222	8356505.221676729	Linear model assets weighted with fixed effect	all
treatment:postPost	0.07154438946716256	0.06080132442568319	1.17669129978592	0.23931874166322917	-0.04762401661951195	0.19071279555383708	Linear model assets weighted with fixed effect	all
(Intercept)	109.11074858230683	31.591900910613226	3.453756989521682	5.571404100370652e-4	47.17769128198957	171.0438058826241	Event study	all
anio_fiscal	-0.0492047916392768	0.015686094984569094	-3.136841367318068	0.0017170921200084488	-0.07995595859964061	-0.01845362467891299	Event study	all
treatment	0.39586809781984494	0.1552513595828132	2.5498526961928696	0.010804601721249025	0.09151188398516785	0.700224311654522	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.049662949920681425	0.12187653915149009	0.40748572503319425	0.6836676474881375	-0.18926495455048636	0.2885908543918492	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.12735891713154956	0.12214417886716324	1.0426933015781092	0.29713766904193695	-0.11209367073532542	0.3668115049984245	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.134179044607604	0.11832559301002088	1.1339815942966835	0.2568532871400284	-0.09778755191719482	0.3661456411324028	Event study	all
