term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.17137752474472376	0.004151107481464981	41.28477171693043	0	0.16324104610857304	0.17951400338087448	Linear model	all
treatment	-0.054887689037945206	0.008788911426504706	-6.245106632025041	4.314358853994581e-10	-0.07211460748707661	-0.0376607705888138	Linear model	all
postPost	0.14018883339403468	0.005511379603533074	25.43625071736422	1.1948199006917519e-140	0.1293861204794469	0.15099154630862247	Linear model	all
treatment:postPost	-6.666781136712842e-4	0.014009796526789735	-0.04758656647128691	0.9620461797412336	-0.028126918699110066	0.026793562471767497	Linear model	all
postPost	0.14062142624179708	0.005391155620404888	26.083726040027777	3.4351926380426375e-147	0.1300542294203184	0.15118862306327574	Linear model with fixed effect	all
treatment:postPost	-0.0027674661043645076	0.013959179771440398	-0.19825420616951783	0.8428484661098569	-0.030128835446571658	0.024593903237842645	Linear model with fixed effect	all
(Intercept)	0.12790971794266423	0.0057304563680947215	22.321035136891204	3.9934455078615503e-109	0.11667759831613467	0.1391418375691938	Linear model assets weighted	all
treatment	-0.024950176996325707	0.010971606679351511	-2.274067757394345	0.022971711383340764	-0.046455340076152166	-0.0034450139164992483	Linear model assets weighted	all
postPost	0.06646968318425212	0.006598456797072726	10.073519495306853	8.169215210437489e-24	0.05353621831959425	0.07940314804890998	Linear model assets weighted	all
treatment:postPost	0.035140934790915214	0.0174715299948783	2.01132555656068	0.04430352114145816	8.954397805030073e-4	0.06938642980132742	Linear model assets weighted	all
treatment:postPost	0.03256706253504389	0.0174126617304174	1.8703092634111158	0.061440883910102925	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-89.78314791335752	3.706721780447859	-24.221712130363777	6.758793634915003e-128	-97.04859768226866	-82.51769814444638	Event study	all
anio_fiscal	0.04468791261308594	0.0018407920476706434	24.276458967559353	1.852245528755886e-128	0.04107982359278018	0.0482960016333917	Event study	all
treatment	-0.1441659189281178	0.007002387495649996	-20.58810927239833	2.778988621499357e-93	-0.1578911180732097	-0.1304407197830259	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.1650626803783454	0.011478403868706568	14.380281637271342	1.1326520007309489e-46	0.14256415697276986	0.18756120378392094	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.09947224502737	0.009404782457904865	10.576772559344212	4.4255536565878215e-26	0.08103817347231831	0.11790631658242168	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.021543377317495192	0.009573334790600949	2.250352441308787	0.02443663607871295	0.002778930681935521	0.040307823953054864	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.14319367109275727	0.016498548964638215	8.679167567988442	4.26512498002495e-18	0.11085529074956985	0.1755320514359447	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	0.11967737693737317	0.017890677346819792	6.689370928633217	2.2963469317211797e-11	0.08461032165398191	0.15474443222076442	Event study	all
anio_fiscal2013	-0.027834511317859766	0.004312506109376073	-6.454370292332599	1.1150642197515899e-10	-0.036287448959185106	-0.01938157367653442	Event study with fixed effects	all
anio_fiscal2014	-0.0880565924642195	0.005239162294575733	-16.807380171327623	6.663013221619281e-63	-0.09832586769435685	-0.07778731723408215	Event study with fixed effects	all
anio_fiscal2015	-0.028275478457411286	0.006232366787954251	-4.53687650605888	5.747065201655044e-6	-0.040491532529057885	-0.016059424385764687	Event study with fixed effects	all
anio_fiscal2016	0.14617117577774166	0.008302136821259243	17.606452281470695	8.538732371486287e-69	0.1298981681436705	0.16244418341181283	Event study with fixed effects	all
anio_fiscal2017	0.1900817971674015	0.008689935585980395	21.873786668115624	1.1389013081510206e-104	0.17304866567670693	0.20711492865809608	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.011737612492877487	0.012053223816340726	-0.9738151943187714	0.33016168340191654	-0.03536312088924848	0.011887895903493508	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.0038055169149108226	0.010202559206037392	-0.3729963078929155	0.7091556812170636	-0.023803540004793747	0.0161925061749721	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.00573103832479485	0.010165948954250223	0.5637484853195917	0.5729324937646565	-0.014195225057961553	0.025657301707551254	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.0021254225125095154	0.017454987887964932	-0.12176591162088267	0.9030858009590069	-0.0363389216716802	0.03208807664666117	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.024946557937687134	0.01842402637041393	-1.3540231345818827	0.17574637234276552	-0.061059468171633324	0.011166352296259053	Event study with fixed effects	all
(Intercept)	-39.35252787585444	4.293567220947278	-9.165462155538863	4.933511665033672e-20	-47.76776499411283	-30.937290757596053	Event study assets weighted	all
anio_fiscal	0.019614550283905432	0.002132061143030392	9.199806650960493	3.585944152792267e-20	0.015435787230728564	0.0237933133370823	Event study assets weighted	all
treatment	-0.08517359942453298	0.008624405804857696	-9.875880304305596	5.296583072664172e-23	-0.10207712419011224	-0.06827007465895372	Event study assets weighted	all
anio_fiscal::2012:treatment	0.10718162428629854	0.01411593250776361	7.592953864532139	3.1269390355277997e-14	0.07951490496288371	0.13484834360971337	Event study assets weighted	all
anio_fiscal::2013:treatment	0.06416335739603563	0.011302933105835597	5.676699737602507	1.3731819621640045e-8	0.0420100155889324	0.08631669920313885	Event study assets weighted	all
anio_fiscal::2015:treatment	0.04167952152679644	0.012078818046102825	3.450629140012929	5.592815219225232e-4	0.01800547318062244	0.06535356987297043	Event study assets weighted	all
anio_fiscal::2016:treatment	0.11717056951098637	0.01866607516684525	6.277193703746846	3.447384934978114e-10	0.0805857344512522	0.15375540457072054	Event study assets weighted	all
anio_fiscal::2017:treatment	0.14253946012533447	0.021729379494548066	6.5597575007191455	5.389535094257409e-11	0.0999506589096171	0.18512826134105184	Event study assets weighted	all
anio_fiscal::2012:treatment	0.0033663145197527847	0.015087355112690581	0.22312158059574286	0.8234408828035191	-0.026204358123086996	0.032936987162592565	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.0016591881764736784	0.012612057279942423	-0.1315557120972141	0.8953357175930626	-0.02637836621611702	0.023059989863169664	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	0.015166921461116124	0.01295376338806988	1.170850586562706	0.24165884008109262	-0.010221988243754383	0.04055583116598663	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	0.03859415005155244	0.019603453584678354	1.9687423894388083	0.048982680912826294	1.7208705298025345e-4	0.07701621305012463	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	0.04647931012393834	0.02247304608045631	2.068224750553913	0.0386188939100611	0.002432949183334962	0.09052567106454172	Event study assets weighted with fixed effects	all
(Intercept)	0.15219158513883876	0.008758440419252313	17.3765622478061	4.989209272794218e-66	0.13502190068491743	0.1693612695927601	Linear model	treat_a
treatment	-0.048274453331587135	0.01240304193822986	-3.8921462631510524	1.0043603873506583e-4	-0.07258886390633408	-0.02396004275684019	Linear model	treat_a
postPost	0.16895427350400474	0.012191973570687147	13.857828064048402	5.201917614243976e-43	0.145053632629734	0.19285491437827548	Linear model	treat_a
treatment:postPost	0.005118653917954839	0.020179559677597544	0.25365538196739457	0.7997704805686408	-0.03444052048960506	0.044677828325514736	Linear model	treat_a
postPost	0.16770893120708835	0.011976415738388388	14.003265657313946	1.014556179603474e-43	0.14422982336241172	0.19118803905176499	Linear model with fixed effect	treat_a
treatment:postPost	0.004229342426720282	0.02002702839805523	0.21118172614819788	0.8327541981872053	-0.035032551101168846	0.04349123595460941	Linear model with fixed effect	treat_a
(Intercept)	0.1020015329430555	0.012173678171319723	8.378859002808493	6.587520876940296e-17	0.07813675761322651	0.1258663082728845	Linear model assets weighted	treat_a
treatment	0.0011755236986688666	0.01622942668032853	0.07243162200508925	0.9422608295811403	-0.03063997331113792	0.03299102070847565	Linear model assets weighted	treat_a
postPost	0.07703118774969595	0.01326946708662683	5.805145545545619	6.759457288002604e-9	0.05101827313897728	0.10304410236041461	Linear model assets weighted	treat_a
treatment:postPost	0.06774683560971877	0.023981875683709113	2.824918138314727	0.004744851864788388	0.020733758121934086	0.11475991309750344	Linear model assets weighted	treat_a
treatment:postPost	0.06294419358005249	0.023814387755359597	2.6431161794569524	0.008214684290681392	NA	NA	Linear model assets weighted with fixed effect	treat_a
(Intercept)	-111.31989253852923	8.241474324086628	-13.507278935904033	5.589390347844275e-41	-127.4761402009704	-95.16364487608806	Event study	treat_a
anio_fiscal	0.05537624959964999	0.0040930613748272355	13.529298617465118	4.1804764278027866e-41	0.04735238024462297	0.06340011895467701	Event study	treat_a
treatment	-0.1388136123440847	0.01114178068928335	-12.458835460439612	3.397297593528438e-35	-0.1606555014452336	-0.11697172324293581	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	0.17656506596727337	0.01464098214980802	12.059646283332746	4.151453306147368e-33	0.14786348608825167	0.20526664584629506	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	0.0962292402067301	0.010618744928337183	9.062204700852428	1.6997235882926825e-19	0.075412688922319	0.1170457914911412	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	0.025601122637060814	0.012944471782631183	1.977764953793808	0.048000852600971713	2.253119804100992e-4	0.05097693329371153	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	0.15045169158307864	0.0223821308798352	6.721955670388181	1.958427306952305e-11	0.10657468178024027	0.194328701385917	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	0.12663979940113193	0.02505366771023419	5.054740921202558	4.4373577925478493e-7	0.07752561855656462	0.17575398024569924	Event study	treat_a
anio_fiscal2013	-0.012458990135016815	0.009256193433795133	-1.346016612998601	0.17835914954564952	-0.03060525821334905	0.0056872779433154216	Event study with fixed effects	treat_a
anio_fiscal2014	-0.06013007518390206	0.010820772294626866	-5.556911609142731	2.8904872003233262e-8	-0.0813436157475613	-0.03891653462024282	Event study with fixed effects	treat_a
anio_fiscal2015	-0.004487441236604055	0.012955029539204809	-0.34638602891827125	0.7290674295344844	-0.029885078036501398	0.02091019556329329	Event study with fixed effects	treat_a
anio_fiscal2016	0.20738761989363783	0.018599433092653564	11.150211883369291	1.5654807022141075e-28	0.17092443430678336	0.2438508054804923	Event study with fixed effects	treat_a
anio_fiscal2017	0.23555766916756563	0.018821754654130197	12.515181155858679	2.122207499086976e-35	0.198658634148328	0.27245670418680323	Event study with fixed effects	treat_a
