term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.6931187569365975	0.00628244825653928	110.32621816107176	0	0.6808047062485393	0.7054328076246558	Linear model	all
treatment	-0.025403872240748866	0.015383128582263006	-1.6514112915912267	0.09866891185824758	-0.055555911281537085	0.004748166800039356	Linear model	all
postPost	-0.07648301848023077	0.007111217487411268	-10.755263583996117	6.531499686588832e-27	-0.09042151650170525	-0.06254452045875629	Linear model	all
treatment:postPost	0.007924251927710905	0.017080268002972146	0.4639418963643897	0.6426939712174302	-0.02555430250929425	0.04140280636471606	Linear model	all
postPost	-0.08057830924340872	0.007057453601701362	-11.417476301081662	4.3378151767569875e-30	-0.09441159111550865	-0.0667450273713088	Linear model with fixed effect	all
treatment:postPost	0.006906703731455082	0.017020387221493426	0.40579004705211785	0.6849016791332136	-0.026454877838198602	0.04026828530110877	Linear model with fixed effect	all
(Intercept)	0.7728249972938364	0.009183315832616725	84.15533249427892	0	0.7548250374008785	0.7908249571867942	Linear model assets weighted	all
treatment	-0.07007307580883877	0.020276268137579656	-3.4559158190932897	5.494627395802662e-4	-0.10981602050415337	-0.030330131113524166	Linear model assets weighted	all
postPost	-0.0757206289553545	0.009975505391616055	-7.590655909924538	3.309516377764097e-14	-0.09527333739246702	-0.05616792051824198	Linear model assets weighted	all
treatment:postPost	-4.262179142212554e-4	0.022305024400626122	-0.019108605602300578	0.9847546399210294	-0.0441456708809516	0.043293235052509094	Linear model assets weighted	all
treatment:postPost	-0.0037683172580559635	0.022252701237211573	-0.16934201461144324	0.8655276302870791	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	37.305601183991065	4.384892491221181	8.507757318720842	1.8850805372276543e-17	28.710896263969595	45.900306104012536	Event study	all
anio_fiscal	-0.01819337036975641	0.0021768923436987914	-8.357496604009262	6.781966172458462e-17	-0.02246023606240523	-0.01392650467710759	Event study	all
treatment	0.07149628751995636	0.018030962634370217	3.9651952571667883	7.356817005937656e-5	0.0361543028358151	0.10683827220409763	Event study	all
