term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.24061780666280144	0.004397932339642244	54.71157536779541	0	0.2319966651499179	0.24923894817568498	Linear model	all
treatment	0.0015115955538711268	0.010794819933128617	0.14002971455152632	0.8886401682477215	-0.01964918252603183	0.022672373633774084	Linear model	all
postPost	-0.04447224281383412	0.006128235351836698	-7.256941070402153	4.3446056539065244e-13	-0.056485248042727115	-0.032459237584941125	Linear model	all
treatment:postPost	-0.012021483624486124	0.01291029512128255	-0.93115482733379	0.3518026170057029	-0.03732916746728051	0.013286200218308264	Linear model	all
postPost	-0.042100041470875184	0.006103663020141929	-6.897504225240834	5.8051300885620215e-12	-0.054065284351978035	-0.030134798589772332	Linear model with fixed effect	all
treatment:postPost	-0.013020336522245005	0.012977329611868486	-1.0033140030855952	0.3157476542520743	-0.03846028958677771	0.012419616542287702	Linear model with fixed effect	all
(Intercept)	0.2312928762831996	0.0066266531550222985	34.90342271919034	5.888348065740501e-248	0.2183028368295934	0.24428291573680583	Linear model assets weighted	all
treatment	-0.012803883266695739	0.0139342293420724	-0.9188799001632804	0.35818712090837834	-0.04011875620099659	0.014510989667605117	Linear model assets weighted	all
postPost	0.003998100443782759	0.009369555776777765	0.4267118462213504	0.6696011275097774	-0.014368772901755682	0.0223649737893212	Linear model assets weighted	all
treatment:postPost	-0.04064668340823604	0.01771270586253451	-2.2947754975263788	0.021772714898371636	-0.07536839625509942	-0.005924970561372651	Linear model assets weighted	all
treatment:postPost	-0.040518633119319365	0.017726445936425955	-2.2857730909306473	0.022267536703102588	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	29.96061775219158	3.8697740420324616	7.7422137382615315	1.1012770381132091e-14	22.374809290792133	37.54642621359103	Event study	all
anio_fiscal	-0.014764032156573055	0.00192154469902377	-7.683418535136778	1.7398572648212495e-14	-0.018530781811329642	-0.01099728250181647	Event study	all
treatment	0.040792559002489154	0.00955056493312839	4.271219481581715	1.9674063343170046e-5	0.022070857039027985	0.05951426096595032	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.08256960370995907	0.014255926259469365	-5.791949411572817	7.230675007094797e-9	-0.11051509222415955	-0.05462411519575859	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.037830160610144846	0.010722232792225218	-3.528198029572331	4.2083518344224934e-4	-0.05884864989579766	-0.016811671324492027	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.023963268609779056	0.011711717027032989	-2.0460935449914843	0.04078101462119245	-0.04692141581842623	-0.0010051214011318824	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.07880491415243959	0.01531990651171257	-5.1439552906011965	2.75640551616519e-7	-0.10883609302286287	-0.04877373528201632	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.05325137532450719	0.017547640540704644	-3.0346743883305476	0.0024159810798354856	-0.08764951812184746	-0.018853232527166912	Event study	all
anio_fiscal2013	0.0022165344861967717	0.0046675630962868	0.47488045484807645	0.6348885535315417	-0.0069334692715481185	0.011366538243941661	Event study with fixed effects	all
anio_fiscal2014	0.021948945582476904	0.005392401392058355	4.070347139736696	4.751426552882608e-5	0.011378013388790074	0.03251987777616373	Event study with fixed effects	all
anio_fiscal2015	0.00961259991023155	0.007219222005488299	1.331528508601581	0.1830630797835239	-0.004539519111097198	0.0237647189315603	Event study with fixed effects	all
anio_fiscal2016	-0.05096810719852644	0.008529684102589764	-5.975380399263744	2.4202420873822086e-9	-0.06768917555498033	-0.034247038842072544	Event study with fixed effects	all
anio_fiscal2017	-0.06353426197234921	0.00903677378395692	-7.0306354337587	2.271664653847132e-12	-0.0812493977670589	-0.045819126177639516	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.03637632595402815	0.01449472972393148	-2.5096243011671424	0.012110712260344825	-0.06479090304822503	-0.007961748859831266	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.005018603113490305	0.011294934417174633	-0.444323351347593	0.656823998281066	-0.027160498194211815	0.017123291967231207	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.028028979205067653	0.012556642272123485	-2.2322033707445583	0.025636347341105897	-0.05264424880174212	-0.003413709608393184	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.03533172380874556	0.016375588016384855	-2.1575850450923557	0.030997584365603403	-0.06743341987460133	-0.003230027742889781	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.012810250785262404	0.018042506138567678	-0.7100039588114203	0.4777278145444185	-0.04817967066484865	0.022559169094323837	Event study with fixed effects	all
(Intercept)	-1.6120441346290235	5.813710919123273	-0.27728315993945657	0.7815626892228615	-13.006708152637891	9.782619883379844	Event study assets weighted	all
anio_fiscal	9.160249814085201e-4	0.0028873757695586366	0.3172517380889926	0.7510525946087123	-0.0047431275367600285	0.006575177499577069	Event study assets weighted	all
treatment	0.021625289103934853	0.013287967084959091	1.6274339758421692	0.1036449604802541	-0.004418647810338648	0.047669226018208354	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.07072453476891555	0.017020548259412894	-4.155244219574577	3.249402742548107e-5	-0.10408419635449072	-0.03736487318334038	Event study assets weighted	all
anio_fiscal::2013:treatment	-0.03621321174352246	0.014406837952955508	-2.5136127623406397	0.011950156807934643	-0.06445009526242002	-0.007976328224624914	Event study assets weighted	all
anio_fiscal::2015:treatment	-0.034182518023382125	0.01676242735535054	-2.039234372131141	0.041426641977697354	-0.06703627193333817	-0.0013287641134260841	Event study assets weighted	all
anio_fiscal::2016:treatment	-0.10381332846213409	0.017521972832904496	-5.924751136880155	3.1277068422069627e-9	-0.13815576415271616	-0.06947089277155202	Event study assets weighted	all
anio_fiscal::2017:treatment	-0.08584432973122347	0.02196280425472884	-3.90862335863783	9.282354689939532e-5	-0.12889063506999504	-0.04279802439245189	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.0530140075644006	0.01755254520951427	-3.0203031487231047	0.002525217980615196	-0.08741636401205961	-0.01861165111674158	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.02251831605624973	0.015110006293235315	-1.4902916398076607	0.13614756973793274	-0.052133384197164505	0.007096752084665044	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	-0.04066397056077993	0.01803158198604003	-2.2551526866728495	0.02412374653704338	-0.07600522183769959	-0.005322719283860265	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	-0.09036189257842613	0.019710408300241514	-4.5844759378890645	4.551264927860254e-6	-0.12899358296747881	-0.05173020218937342	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	-0.06482651025447281	0.023180429929434882	-2.7966051730626043	0.0051642599729475065	-0.1102593180623195	-0.019393702446626103	Event study assets weighted with fixed effects	all
(Intercept)	0.26623381690199033	0.0130486625276005	20.403149850710996	5.442108581299724e-82	0.24063855404429876	0.29182907975968186	Linear model	treat_a
treatment	-0.025090091006808264	0.018156047004752145	-1.381913750291636	0.16720097201468848	-0.060703610366381215	0.010523428352764687	Linear model	treat_a
postPost	-0.04676589590293818	0.020006883342602578	-2.3374903078159637	0.019542738225597444	-0.08600987489572232	-0.007521916910154039	Linear model	treat_a
treatment:postPost	0.005009185645865239	0.02585165443860513	0.19376654046500238	0.8463845433016934	-0.045699451293953156	0.05571782258568364	Linear model	treat_a
postPost	-0.042221730562815696	0.02028608850309867	-2.081314520360413	0.0376080932998645	-0.08202023853728607	-0.0024232225883453126	Linear model with fixed effect	treat_a
treatment:postPost	0.002413343757614329	0.026190829848518237	0.09214460830651632	0.9265978997734338	-0.04896945240957343	0.05379613992480209	Linear model with fixed effect	treat_a
(Intercept)	0.26750542220133916	0.020488597761343964	13.056306991689018	5.250907434535104e-37	0.2273165488836427	0.3076942955190356	Linear model assets weighted	treat_a
treatment	-0.03838383202886788	0.02596676752544524	-1.4781906138781027	0.1395636723078416	-0.08931826603484543	0.012550601977109666	Linear model assets weighted	treat_a
postPost	0.023214026386559797	0.037099498015583376	0.6257234633419814	0.5315901552782284	-0.049557524076081994	0.09598557684920159	Linear model assets weighted	treat_a
treatment:postPost	-0.05389952604345376	0.04250224225973278	-1.2681572354247044	0.20493575371005068	-0.13726868823751895	0.029469636150611433	Linear model assets weighted	treat_a
treatment:postPost	-0.05288973217075713	0.04263935468463006	-1.240397106427644	0.21482855074376303	NA	NA	Linear model assets weighted with fixed effect	treat_a
(Intercept)	32.716393227615015	12.8241175835683	2.5511613578414885	0.010833823307388458	7.561527881964427	57.87125857326561	Event study	treat_a
anio_fiscal	-0.016119836616086257	0.006367840433126213	-2.531444810116327	0.01145957996110656	-0.028610533741565098	-0.0036291394906074158	Event study	treat_a
treatment	0.022859098088322705	0.016586245344357656	1.3781960663025499	0.16834585943790933	-0.009675286091204473	0.05539348226784988	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.10585853326880687	0.020874559110819257	-5.071174567415919	4.439869593740062e-7	-0.1468045648503712	-0.06491250168724254	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.043689912437269274	0.015306965791881235	-2.8542503479325902	0.0043724352476974	-0.07371495399167725	-0.01366487088286129	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.016995086310167464	0.017773584314314538	-0.9561991554218985	0.3391238774334967	-0.05185846909051675	0.017868296470181826	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	-0.0747120262285329	0.022786173789081286	-3.278831580944648	0.0010659719386188172	-0.11940774347159369	-0.03001630898547212	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	-0.03678024371489302	0.030791412964174432	-1.1944967825181176	0.23247030374898853	-0.09717846151574763	0.023617974085961606	Event study	treat_a
anio_fiscal2013	-0.015800449645080285	0.017592069027565264	-0.8981575515831784	0.36927549795125003	-0.050313878058141054	0.01871297876798048	Event study with fixed effects	treat_a
anio_fiscal2014	2.5965862521058156e-4	0.01752197286690165	0.014819029066131414	0.9881789363625767	-0.03411624993050406	0.03463556718092522	Event study with fixed effects	treat_a
anio_fiscal2015	-0.014434512353522206	0.023618823789969434	-0.6111444194631034	0.5412157172169636	-0.060771676151510405	0.03190265144446599	Event study with fixed effects	treat_a
anio_fiscal2016	-0.05909461780640051	0.028885504554391078	-2.045822592266859	0.04098392447033499	-0.11576434733343914	-0.002424888279361881	Event study with fixed effects	treat_a
anio_fiscal2017	-0.07296276714882252	0.031285738083974904	-2.3321414681981025	0.01985228385597414	-0.13434145319303464	-0.011584081104610386	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.07844641790939279	0.023903191836946818	-3.2818386115338494	0.0010599740903353726	-0.12534147607540203	-0.031551359743383564	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.013144056766860692	0.019271126239416903	-0.6820596058353878	0.49532833250240904	-0.05095158440110301	0.024663470867381625	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.019203171687228262	0.02265263731293097	-0.8477234426150626	0.39675520762517	-0.06364479905020796	0.025238455675751437	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	-0.04709688734977909	0.030461843035531885	-1.5460944794063656	0.122336297921082	-0.10685919485831373	0.012665420158755547	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	-0.012099294847932849	0.036008162543851197	-0.33601533633375974	0.7369160117290952	-0.08274278415528821	0.05854419445942252	Event study with fixed effects	treat_a
(Intercept)	-8.964770093451449	22.062605651784647	-0.40633324254364706	0.6844977631973554	-52.206682576059194	34.277142389156296	Event study assets weighted	treat_a
anio_fiscal	0.004588665801267197	0.010959665420808232	0.41868666834984464	0.6754451401346502	-0.01689188370612595	0.026069215308660344	Event study assets weighted	treat_a
treatment	-0.014256122876200816	0.027129315859344038	-0.5254877399088794	0.5992441738983153	-0.06742860488572643	0.03891635913332479	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.0585128581173726	0.030611598090163665	-1.9114604191858366	0.05594543864523747	-0.11851048788330848	0.0014847716485632753	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	-0.029226634272360413	0.022117072991226203	-1.3214512735909747	0.18635093933509447	-0.07257530077860733	0.0141220322338865	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	-0.022531199878836616	0.026285099772847244	-0.8571852522360047	0.3913425116129548	-0.07404904876365916	0.028986649005985923	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	-0.10904677172021632	0.031559462789839156	-3.4552797189984132	5.497221851601406e-4	-0.17090218215973302	-0.04719136128069961	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	-0.0892658422309277	0.04432875498171157	-2.0137231976795995	0.04403860309088532	-0.1761486054745829	-0.0023830789872725383	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.11138733315576635	0.042173741980730046	-2.6411536639708486	0.008262423519906498	-0.19404634853128216	-0.028728317780250548	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	-0.022179307530770388	0.025090548523960993	-0.8839706118656423	0.37671207734760803	-0.07135587899008854	0.02699726392854776	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	-0.039504856316567666	0.039193700396438866	-1.0079389268423624	0.31348378252531295	-0.11632309751444106	0.03731338488130573	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	-0.14136957927429	0.05693598646633201	-2.4829565279928216	0.013029698764588692	-0.2529620621725607	-0.029777096376019357	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2017:treatment	-0.11070382647304355	0.06365142925822315	-1.7392198064231479	0.0819961068349848	-0.23545833538365996	0.014050682437572834	Event study assets weighted with fixed effects	treat_a
(Intercept)	0.2662338169019896	0.013039716039918034	20.41714835560661	2.2122477681230506e-84	0.2406611051419267	0.29180652866205253	Linear model	treat_b
treatment	-0.02061700762091525	0.016625697947722867	-1.240068698814479	0.21509415587382538	-0.053222332777187506	0.011988317535357007	Linear model	treat_b
postPost	-0.04676589590293793	0.01999316612560729	-2.3390940488930396	0.01942767553688427	-0.08597529838808765	-0.007556493417788197	Linear model	treat_b
treatment:postPost	-0.007018611624137069	0.02348844338876156	-0.29881127105661	0.7651148172939066	-0.05308274297750129	0.03904551972922715	Linear model	treat_b
postPost	-0.042221730562815474	0.02028282406051774	-2.0816494999334783	0.03752739236403353	-0.08200434177179561	-0.0024391193538353395	Linear model with fixed effect	treat_b
treatment:postPost	-0.010360646180147115	0.02378292056963552	-0.4356338890260144	0.6631590172922985	-0.0570083259910479	0.036287033630753675	Linear model with fixed effect	treat_b
(Intercept)	0.2675054222013396	0.020474550268957576	13.065264862345577	1.6527380268526456e-37	0.22735195790486848	0.3076588864978107	Linear model assets weighted	treat_b
treatment	-0.047728970001153226	0.02418664248351005	-1.9733607107184823	0.048590727629671884	-0.09516236769026291	-2.9557231204353773e-4	Linear model assets weighted	treat_b
postPost	0.023214026386559325	0.03707406167669869	0.6261527692594174	0.5312855580192126	-0.04949340758904815	0.0959214603621668	Linear model assets weighted	treat_b
treatment:postPost	-0.054426843224502176	0.04031255160045607	-1.3501215146075354	0.17712841296925266	-0.13348541008556442	0.02463172363656007	Linear model assets weighted	treat_b
