r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.027127091731435588	0.027031997937456587	0.7577990729403458	285.2666887747218	1.1795895042701935e-182	3	-35040.600417665235	70091.20083533047	70132.8602734901	17625.170577462304	30692	30696	Linear model	NA	NA	all
0.03115295645989264	-0.17040261330487594	NA	408.5089983845693	2.3956392046050624e-175	NA	NA	NA	NA	14050.07449836098	25409	30696	Linear model with fixed effect	NA	NA	all
0.02819893228122712	0.02810394325466803	853.4177379092341	296.8651569835767	5.412717659084004e-190	3	-51079.098112240434	102168.19622448087	102209.8556626405	22353653771.425083	30692	30696	Linear model assets weighted	NA	NA	all
0.28644554626586927	0.1378644378126691	803.7843295905052	NA	NA	NA	-30769.19667370721	72120.39334741441	116204.41080793906	NA	NA	30696	Linear model assets weighted with fixed effect	0.0025993028925316297	NA	all
0.04424728136591746	0.044029272077907966	0.7511507199407937	202.96053333273224	9.58597988231907e-296	7	-34768.10837054175	69554.2167410835	69629.20372977083	17315.010576025674	30688	30696	Event study	NA	NA	all
0.08616241717840202	-0.10429686251363934	NA	239.49677709597108	0	NA	NA	NA	NA	13252.33555044234	25401	30696	Event study with fixed effects	NA	NA	all
0.05096576270312059	0.050749285915416054	843.4167494847462	NA	NA	NA	-34794.5367958581	69605.0735917162	69671.7286927716	NA	NA	30696	Event study assets weighted	NA	NA	all
0.2889733342292783	0.1407832957036218	802.4225243947785	NA	NA	NA	-30765.872678137453	72121.74535627491	116239.09036732724	NA	NA	30696	Event study assets weighted with fixed effects	0.006132624650457941	NA	all
0.03628580154216585	0.035918718937369865	0.7804427563279401	98.84914476491875	8.311846796100897e-63	3	-9225.831327748323	18461.662655496646	18496.523071410906	4797.199896145832	7876	7880	Linear model	NA	NA	treat_a
0.04279375110589865	-0.1565447071057544	NA	145.7669396141192	1.1708862782012111e-62	NA	NA	NA	NA	3782.1133306303177	6521	7880	Linear model with fixed effect	NA	NA	treat_a
0.0484066580509235	0.04804419232900281	900.3437616879497	133.5482367668337	2.1640084561297535e-84	3	-13417.999046159355	26845.99809231871	26880.85850823297	6384434371.421169	7876	7880	Linear model assets weighted	NA	NA	treat_a
0.29523326599641897	0.14794275015893588	851.7935632693876	NA	NA	NA	-8100.122378319904	18926.244756639808	28429.194134866982	NA	NA	7880	Linear model assets weighted with fixed effect	0.0059845293982141445	NA	treat_a
0.06029896389502996	0.05946335575824957	0.7708539269832716	72.16177205665655	1.2855894947152934e-101	7	-9126.413315451737	18270.826630903473	18333.57537954914	4677.6665945408195	7872	7880	Event study	NA	NA	treat_a
0.09809560422152155	-0.09106475270054215	NA	70.83862472399696	4.20553511488372e-138	NA	NA	NA	NA	3563.604648599939	6513	7880	Event study with fixed effects	NA	NA	treat_a
0.08344948615994952	0.0826344641075003	883.834960003984	NA	NA	NA	-9153.196710685506	18322.393421371013	18378.170086833827	NA	NA	7880	Event study assets weighted	NA	NA	treat_a
0.3011039006018823	0.15452136232799485	848.4989034059876	NA	NA	NA	-8113.45281878889	18960.90563757778	28491.74334853636	NA	NA	7880	Event study assets weighted with fixed effects	0.0142645763109438	NA	treat_a
0.034137019513852805	0.03383799072732452	0.7941125848783159	114.15964299019532	1.198695535822821e-72	3	-11518.431586016257	23046.863172032514	23082.75948411454	6110.657387407947	9690	9694	Linear model	NA	NA	treat_b
0.03937384457825817	-0.16043735350236088	NA	164.44260189714132	1.0192523126281852e-70	NA	NA	NA	NA	4822.087133242386	8024	9694	Linear model with fixed effect	NA	NA	treat_b
0.039975392896995	0.03967817165640575	934.010031146343	134.4970932015287	2.2654894920442442e-85	3	-16738.90427897749	33487.80855795498	33523.70487003701	8453311213.952508	9690	9694	Linear model assets weighted	NA	NA	treat_b
0.29708162663713356	0.15045039987453057	878.4913915154639	NA	NA	NA	-10114.050865807463	23576.101731614926	35594.18701667743	NA	NA	9694	Linear model assets weighted with fixed effect	0.002951915974996111	NA	treat_b
0.06460335903056245	0.06392735485063405	0.7816491814760941	95.56650823876436	1.7913325819340863e-135	7	-11363.078800510977	22744.157601021954	22808.770962769602	5917.908139951172	9686	9694	Event study	NA	NA	treat_b
0.0977943673923683	-0.09095299362097986	NA	86.88924350333347	7.28493606936058e-171	NA	NA	NA	NA	4528.8316875215905	8016	9694	Event study with fixed effects	NA	NA	treat_b
0.08134205671617001	0.08067814946828777	913.8542407408469	NA	NA	NA	-11389.633662623426	22795.267325246852	22852.701424578096	NA	NA	9694	Event study assets weighted	NA	NA	treat_b
0.30230810442662315	0.15634636429731263	875.4376722428598	NA	NA	NA	-10121.9069330795	23599.813866159	35646.616200887125	NA	NA	9694	Event study assets weighted with fixed effects	0.010365365194255238	NA	treat_b
0.03252386788380575	0.032330810254675324	0.7732321885277278	168.46714646958372	2.019708379544505e-107	3	-17468.586178397065	34947.17235679413	34985.26403484382	8988.648453221456	15034	15038	Linear model	NA	NA	treat_c
0.037314400698730016	-0.16347077292181278	NA	241.13052788502526	1.8068448807385003e-103	NA	NA	NA	NA	7164.980109919588	12442	15038	Linear model with fixed effect	NA	NA	treat_c
0.037246520793731364	0.03705440555908868	864.9856504652884	193.8759352583223	2.2896485823787555e-123	3	-25909.80147107014	51829.60294214028	51867.69462018997	11248441438.63024	15034	15038	Linear model assets weighted	NA	NA	treat_c
0.29819606160643275	0.15154962038719477	811.9349791430326	NA	NA	NA	-15347.014757412606	35894.02951482521	55701.70210066394	NA	NA	15038	Linear model assets weighted with fixed effect	0.0018157151509518021	NA	treat_c
0.05516417485837749	0.05472413155990852	0.764232941508003	125.36078847305656	6.731355605830029e-180	7	-17290.539472316774	34599.07894463355	34667.64396512299	8778.3013929562	15030	15038	Event study	NA	NA	treat_c
0.09613259834986929	-0.09308783324859382	NA	132.24425681246504	6.7918978456463384e-264	NA	NA	NA	NA	6727.213910261358	12434	15038	Event study with fixed effects	NA	NA	treat_c
0.06955110399557629	0.0691177611963727	850.4629521131491	NA	NA	NA	-17310.095840040907	34636.191680081814	34697.13836496132	NA	NA	15038	Event study assets weighted	NA	NA	treat_c
0.3004169462554761	0.15396249162325837	810.7796438200127	NA	NA	NA	-15332.730258314683	35873.46051662936	55711.60644490784	NA	NA	15038	Event study assets weighted with fixed effects	0.004974506422787517	NA	treat_c
0.026360244982563785	0.026113462347800875	0.7833208855913266	106.81563963324321	3.101155440639567e-68	3	-13906.75173497569	27823.50346995138	27860.399664493572	7262.470293635175	11836	11840	Linear model	NA	NA	cit_more_stat
