r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.026458283257934225	0.02632932025399426	0.7189428301564781	205.161809585879	2.656882879420212e-131	3	-24664.148208060018	49338.296416120036	49378.43621252027	11705.754025827559	22647	22651	Linear model	NA	NA	all
0.03232231011213913	-0.16970325947059717	NA	312.94275625561346	2.0473594656314299e-134	NA	NA	NA	NA	9264.320411525721	18738	22651	Linear model with fixed effect	NA	NA	all
0.024885017711215002	0.024755846300128836	785.8547828915808	192.6511253688514	2.2483343436363594e-123	3	-35982.34385751927	71974.68771503854	72014.82751143878	13986056603.10506	22647	22651	Linear model assets weighted	NA	NA	all
0.2740108455241632	0.1222560932594372	745.5375713678247	NA	NA	NA	-21530.92303809237	50895.84607618474	82341.36257612871	NA	NA	22651	Linear model assets weighted with fixed effect	0.003306392089983845	NA	all
0.041911480842100855	0.04161529130740549	0.7132770468859421	141.50223398412433	4.521529465438831e-205	7	-24482.934516264686	48983.86903252937	49056.12066604979	11519.946549145283	22643	22651	Event study	NA	NA	all
0.08024288983213446	-0.112252992274541	NA	163.40719848110453	0	NA	NA	NA	NA	8805.539962754572	18730	22651	Event study with fixed effects	NA	NA	all
0.043899239445383875	0.04360366441893504	778.2239186723966	NA	NA	NA	-24501.924607405417	49019.849214810834	49084.07288905121	NA	NA	22651	Event study assets weighted	NA	NA	all
0.27728020204732384	0.12602224113037286	743.93640782453	NA	NA	NA	-21534.235206114237	50910.470412228475	82388.09874929264	NA	NA	22651	Event study assets weighted with fixed effects	0.007794815544416411	NA	all
0.04000727871295774	0.039548902433495625	0.7351938443157876	87.28042986843784	2.5033858910971862e-55	3	-6984.852186903261	13979.704373806522	14013.435570248437	3396.02425912667	6283	6287	Linear model	NA	NA	treat_a
0.04881982570986541	-0.1496094165713875	NA	133.4720384108856	2.9674562009974914e-57	NA	NA	NA	NA	2708.3745752708537	5201	6287	Linear model with fixed effect	NA	NA	treat_a
