r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.033445849841148734	0.033085240159457796	0.8469645000170113	92.74806401292591	5.251162400719955e-59	3	-10077.113677292115	20164.22735458423	20199.19138488136	5768.202217748379	8041	8045	Linear model	NA	NA	all
0.02922614926210644	-0.17092590423386045	NA	100.38856592648453	1.109692224946414e-43	NA	NA	NA	NA	4784.054434257192	6669	8045	Linear model with fixed effect	NA	NA	all
0.044191707045690407	0.04383510651355971	997.7905573135167	123.92496102471848	1.8165513836480018e-78	3	-14483.951263104354	28977.90252620871	29012.86655650584	8005506995.958972	8041	8045	Linear model assets weighted	NA	NA	all
0.2945061268932786	0.14853822726624655	941.5764113420546	NA	NA	NA	-9018.745593843887	20797.491187687774	30447.563549696322	NA	NA	8045	Linear model assets weighted with fixed effect	0.001460005799414299	NA	all
0.05789453053168557	0.05707398327695401	0.8363920998441162	70.55599808279156	2.0844522567721904e-99	7	-9974.056855237493	19966.113710474987	20029.048965009824	5622.297372006422	8037	8045	Event study	NA	NA	all
0.10716375046920339	-0.0782126994784158	NA	79.94945794937402	7.606851186463161e-156	NA	NA	NA	NA	4399.971440708386	6661	8045	Event study with fixed effects	NA	NA	all
0.0840698089454005	0.08327205961886297	976.9969921014	NA	NA	NA	-9994.351602170553	20004.703204341105	20060.645652816518	NA	NA	8045	Event study assets weighted	NA	NA	all
0.3006613252348552	0.15546009611006995	937.7413781565365	NA	NA	NA	-9011.17245452584	20790.34490905168	30468.388495297935	NA	NA	8045	Event study assets weighted with fixed effects	0.010171933642580178	NA	all
0.031702150839790784	0.029874024000596022	0.9206194145453604	17.341330021582657	4.420643752788603e-11	3	-2126.611834016444	4263.223668032888	4290.090539582438	1346.7412291297312	1589	1593	Linear model	NA	NA	treat_a
0.027424132137625595	-0.1747653881918816	NA	18.582101073941434	1.100473294606358e-8	NA	NA	NA	NA	1073.545452544277	1318	1593	Linear model with fixed effect	NA	NA	treat_a
0.037496714314847135	0.035679527494799745	1160.1052880570685	20.634485073949214	4.070171102238741e-13	3	-3128.4755888119325	6266.951177623865	6293.818049173416	2138546559.9316008	1589	1593	Linear model assets weighted	NA	NA	treat_a
0.33486838786979245	0.19414800113296016	1060.5089956100644	NA	NA	NA	-1892.6704819172523	4343.340963834505	5842.5123962994085	NA	NA	1593	Linear model assets weighted with fixed effect	5.117650278420038e-4	NA	treat_a
0.07168929897978175	0.06758950408568609	0.902546610221298	17.48606962827006	1.9130357133068849e-22	7	-2093.020839215144	4204.041678430288	4252.402047219478	1291.1257580407996	1585	1593	Event study	NA	NA	treat_a
0.11029361998667783	-0.08123095952764037	NA	16.23958706246267	6.914860464382374e-28	NA	NA	NA	NA	982.0727306983714	1310	1593	Event study with fixed effects	NA	NA	treat_a
0.1183328873025068	0.11443908932844837	1111.7213139981286	NA	NA	NA	-2102.109465293339	4220.218930586678	4263.205925065959	NA	NA	1593	Event study assets weighted	NA	NA	treat_a
0.3473339473941066	0.20683636965757068	1052.1268623111844	NA	NA	NA	-1889.6532512174622	4345.306502434924	5865.971432139468	NA	NA	1593	Event study assets weighted with fixed effects	0.019243666894593114	NA	treat_a
0.03158001640163631	0.030197217757754857	0.9326841297666059	22.83775482523682	1.5106913442570817e-14	3	-2838.1690199041846	5686.338039808369	5714.598393538951	1827.6592401147495	2101	2105	Linear model	NA	NA	treat_b
0.028970811360930833	-0.17214309403132622	NA	26.001342077509488	7.463390752121239e-12	NA	NA	NA	NA	1457.8870400028816	1743	2105	Linear model with fixed effect	NA	NA	treat_b
0.03705154236706931	0.035676556468497767	1171.242286007219	26.946852622679252	4.245978325316698e-17	3	-4139.003347663431	8288.006695326862	8316.267049057444	2882169642.808506	2101	2105	Linear model assets weighted	NA	NA	treat_b
0.33700260908225477	0.19784559488732845	1068.2290088357936	NA	NA	NA	-2523.83086328414	5779.66172656828	7848.3196196469125	NA	NA	2105	Linear model assets weighted with fixed effect	5.939939806559602e-4	NA	treat_b
0.07972449226985488	0.07665251871043155	0.9100713836371656	25.952206530324798	2.9207072349452165e-34	7	-2784.499129057609	5586.998258115218	5637.866894830267	1736.7981491921105	2097	2105	Event study	NA	NA	treat_b
0.1136704282410103	-0.07483424725124754	NA	22.25111282327577	1.4290898501880446e-39	NA	NA	NA	NA	1330.7204468794191	1735	2105	Event study with fixed effects	NA	NA	treat_b
0.12260444756981148	0.11967561167710228	1119.068697613239	NA	NA	NA	-2801.422180149445	5618.84436029889	5664.060926267822	NA	NA	2105	Event study assets weighted	NA	NA	treat_b
0.34672221741786247	0.2077830233124972	1061.5915512228119	NA	NA	NA	-2521.920682581418	5783.841365162836	7875.107541225934	NA	NA	2105	Event study assets weighted with fixed effects	0.015245386399132532	NA	treat_b
0.033831531835740024	0.03295558580839264	0.8972201544454568	38.622849786976346	1.5856334140806214e-24	3	-4339.634007521239	8689.268015042479	8719.796062053978	2663.758254342215	3309	3313	Linear model	NA	NA	treat_c
0.03247053466187911	-0.16780524387749884	NA	46.04466856265961	2.1442843631211986e-20	NA	NA	NA	NA	2168.5076651712484	2744	3313	Linear model with fixed effect	NA	NA	treat_c
0.0408765090136639	0.040006950091645566	1075.7956363383894	47.008325690892285	9.595682061738522e-30	3	-6378.966435878763	12767.932871757526	12798.460918769026	3829625655.1040587	3309	3313	Linear model assets weighted	NA	NA	treat_c
0.3254818909440452	0.1846700813163058	991.4308384018916	NA	NA	NA	-3876.992378077053	8899.984756154106	12398.498943671948	NA	NA	3313	Linear model assets weighted with fixed effect	1.0924404033985091e-4	NA	treat_c
0.06764302846652606	0.06566829357976833	0.8819142372410936	34.25423276822102	2.208898516199137e-46	7	-4280.625404730526	8579.250809461051	8634.20129408175	2570.538845709425	3305	3313	Event study	NA	NA	treat_c
0.11478127613534052	-0.07158056046774575	NA	35.47615555794585	9.590444200324104e-66	NA	NA	NA	NA	1984.0259721524703	2736	3313	Event study with fixed effects	NA	NA	treat_c
0.10570204127256255	0.10380791549008384	1039.4324855958434	NA	NA	NA	-4302.803142083814	8621.606284167628	8670.451159386028	NA	NA	3313	Event study assets weighted	NA	NA	treat_c
0.3329874224833864	0.19256372195357307	986.6198822866908	NA	NA	NA	-3861.9937977360028	8877.987595472005	12400.924220599045	NA	NA	3313	Event study assets weighted with fixed effects	0.011235278321694353	NA	treat_c
0.04064408688359191	0.03971776961955931	0.8635705987697609	43.877069403472134	9.152225919497231e-28	3	-3955.996173810445	7921.99234762089	7952.205845105378	2317.058234338064	3107	3111	Linear model	NA	NA	cit_more_stat
0.02388045768992526	-0.5567855264535038	NA	23.853068439316825	5.826830992471731e-11	NA	NA	NA	NA	1439.5322950217808	1950	3111	Linear model with fixed effect	NA	NA	cit_more_stat
0.06377643598475258	0.06287245442953993	1094.9398065924374	70.55059433126279	3.897090196219351e-44	3	-5436.769224155501	10883.538448311003	10913.751945795491	3724961110.448546	3107	3111	Linear model assets weighted	NA	NA	cit_more_stat
0.4289919904620726	0.08697433950490785	1080.7677697272195	NA	NA	NA	-3110.295509100486	8552.591018200972	15598.378631583617	NA	NA	3111	Linear model assets weighted with fixed effect	0.0012166348665830773	NA	cit_more_stat
0.06592882913614809	0.06382167535076388	0.8526635391501266	31.28809562617154	3.619647277956985e-42	7	-3914.4495464662446	7846.899092932489	7901.283388404568	2255.9899494206484	3103	3111	Event study	NA	NA	cit_more_stat
