r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.3572832838118862	0.3571937148915274	0.33965706859237077	3988.9202904375475	0	3	-7299.586958624347	14609.173917248694	14649.060162429185	2483.5037782170016	21527	21531	Linear model	NA	NA	all
0.06532109566339753	-0.1422202753074724	NA	615.6269591933876	3.6765539109721994e-259	NA	NA	NA	NA	1275.4744023009362	17618	21531	Linear model with fixed effect	NA	NA	all
0.4603045704087157	0.46022935852184	351.6879836069305	6120.104009214094	0	3	-16344.48082359202	32698.96164718404	32738.847892364534	2662554892.8114004	21527	21531	Linear model assets weighted	NA	NA	all
0.722909088470344	0.6613053636179462	278.58457077586604	NA	NA	NA	92.65376212716001	7648.69247574568	38895.576950142255	NA	NA	21531	Linear model assets weighted with fixed effect	0.024882102576370246	NA	all
0.35841006813204734	0.358201401611438	0.33939073473063347	1717.6213370758503	0	7	-7280.696766426907	14579.393532853814	14651.188774178698	2479.1498022803657	21523	21531	Event study	NA	NA	all
0.14191794171662178	-0.049091806634930846	NA	291.2512771365192	0	NA	NA	NA	NA	1170.949398061932	17610	21531	Event study with fixed effects	NA	NA	all
0.45954892636378275	0.45937315358510633	351.96680358008877	NA	NA	NA	-7717.0009680249295	15450.001936049859	15513.819928338644	NA	NA	21531	Event study assets weighted	NA	NA	all
0.7279835959798884	0.6674325281911981	276.05319916864033	NA	NA	NA	363.87659316999634	7114.246813660007	38393.04028420097	NA	NA	21531	Event study assets weighted with fixed effects	0.04273993510451446	NA	all
0.5445209028884137	0.544293617909815	0.30614236653832855	2395.7628271161843	0	3	-1413.164059410538	2836.328118821076	2869.8390081492244	563.4635693212061	6012	6016	Linear model	NA	NA	treat_a
0.08030109906747004	-0.12210727973816793	NA	215.2250144048537	2.435400347893776e-90	NA	NA	NA	NA	292.466449781414	4930	6016	Linear model with fixed effect	NA	NA	treat_a
0.6413270509583459	0.64114807244086	298.9796903634726	3583.2627287743053	0	3	-3484.6181123424685	6979.236224684937	7012.747114013086	537405797.7620258	6012	6016	Linear model assets weighted	NA	NA	treat_a
0.81550756417140835	0.7747214775661837	236.88847962277902	NA	NA	NA	514.2519930496746	1151.4960139006507	8456.869887436997	NA	NA	6016	Linear model assets weighted with fixed effect	0.04524247534913206	NA	treat_a
0.547934093753618	0.5474073858069262	0.3050946631717906	1040.2996521982977	0	7	-1390.5383461042761	2799.0766922085522	2859.3962929992194	559.2411830034174	6008	6016	Event study	NA	NA	treat_a
0.15724100648675648	-0.029905596501861087	NA	91.83411151763224	1.355529992703941e-174	NA	NA	NA	NA	267.9993752349426	4922	6016	Event study with fixed effects	NA	NA	treat_a
0.6420862849918783	0.6416692750043522	298.76248990784813	NA	NA	NA	-1574.394766495384	3164.789532990768	3218.406955915805	NA	NA	6016	Event study assets weighted	NA	NA	treat_a
0.8193130371189261	0.7791889309773142	234.52787376616917	NA	NA	NA	660.8977786458163	866.2044427083674	8198.387027707233	NA	NA	6016	Event study assets weighted with fixed effects	0.06493598698379643	NA	treat_a
0.5520053580258998	0.5518200320570743	0.3015394684708318	2978.5645342868925	0	3	-1594.9301777519142	3199.8603555038285	3234.3082754628035	659.3957221832117	7252	7256	Linear model	NA	NA	treat_b
0.07653604552534006	-0.12676269588187972	NA	246.4001569788731	1.5613717891183643e-103	NA	NA	NA	NA	345.39058380925735	5946	7256	Linear model with fixed effect	NA	NA	treat_b
0.600210823300481	0.600045438919607	315.70315565159393	3629.1868683633675	0	3	-4469.708156572691	8949.416313145382	8983.864233104357	722795835.0056922	7252	7256	Linear model assets weighted	NA	NA	treat_b
0.7877059039212094	0.7407954111323416	254.15282357512385	NA	NA	NA	652.3247399469346	1323.3505201061307	10376.263885324726	NA	NA	7256	Linear model assets weighted with fixed effect	0.0403368906678242	NA	treat_b
0.5557642213181454	0.5553351856599262	0.30035462736508417	1295.3800241800852	0	7	-1564.3613103638359	3146.7226207276717	3208.7288766538263	653.8631149978754	7248	7256	Event study	NA	NA	treat_b
0.14566176383766727	-0.04382349332396829	NA	101.24088060875445	1.5049337459333947e-194	NA	NA	NA	NA	319.53643748502213	5938	7256	Event study with fixed effects	NA	NA	treat_b
0.6025706462364824	0.602186815458841	314.85687620598986	NA	NA	NA	-1758.2055981559934	3532.4111963119867	3587.5278682463463	NA	NA	7256	Event study assets weighted	NA	NA	treat_b
0.7929302788753982	0.7470039025330102	251.0906304259166	NA	NA	NA	869.3832228129177	897.2335543741647	9977.70525555994	NA	NA	7256	Event study assets weighted with fixed effects	0.0639533736763449	NA	treat_b
0.48405321189255507	0.48391445435205105	0.3222650777505661	3488.4822124570155	0	3	-3195.6968364645563	6401.393672929113	6437.993681060041	1158.5000746656872	11155	11159	Linear model	NA	NA	treat_c
0.07738117166179569	-0.1275554092659017	NA	382.8721437133146	2.1225594878499252e-160	NA	NA	NA	NA	599.5043059134863	9130	11159	Linear model with fixed effect	NA	NA	treat_c
0.5793211849199569	0.579208048528631	321.32122749943574	5120.555624328682	0	3	-7962.214207462937	15934.428414925875	15971.028423056803	1151723980.0016563	11155	11159	Linear model assets weighted	NA	NA	treat_c
0.7794577119257877	0.7303516490979552	257.21991445291883	NA	NA	NA	417.30200396205873	3231.3959920758825	18112.959298111415	NA	NA	11159	Linear model assets weighted with fixed effect	0.04011423511822931	NA	treat_c
0.48659332148012585	0.4862710322908479	0.32152846371791666	1509.8034239689666	0	7	-3168.1599977187443	6354.319995437489	6420.20001007316	1152.7965462889413	11151	11159	Event study	NA	NA	treat_c
0.154660267036893	-0.03401674417916545	NA	166.89277705725505	1.5e-323	NA	NA	NA	NA	549.2894728627215	9122	11159	Event study with fixed effects	NA	NA	treat_c
0.5800245162849751	0.579760878190992	321.11008481093666	NA	NA	NA	-3438.0603391636323	6892.120678327265	6950.68069133675	NA	NA	11159	Event study assets weighted	NA	NA	treat_c
0.7853415179270786	0.7374304600997965	253.82119048613927	NA	NA	NA	685.573671151893	2702.852657696214	17613.695970236487	NA	NA	11159	Event study assets weighted with fixed effects	0.0657228459351471	NA	treat_c
0.3578596959877013	0.357634278141687	0.3390898797477998	1587.5393289191625	0	3	-2883.1838518603327	5776.367703720665	5811.636136530319	982.6357151938868	8546	8550	Linear model	NA	NA	cit_more_stat
0.07201056459000456	-0.49404551474953884	NA	206.023949940761	6.710426879012471e-87	NA	NA	NA	NA	364.5741490079293	5310	8550	Linear model with fixed effect	NA	NA	cit_more_stat
0.4403242921714247	0.44012782281459273	371.24168253053364	2241.1855938841754	0	3	-6149.057407007909	12308.114814015818	12343.383246825473	1177813026.0038755	8546	8550	Linear model assets weighted	NA	NA	cit_more_stat
0.7842361065512041	0.6522967907457576	292.5611395830068	NA	NA	NA	1443.0271327007422	3603.9457345985156	26493.158628063982	NA	NA	8550	Linear model assets weighted with fixed effect	0.024279532065013765	NA	cit_more_stat
0.3618424102761682	0.3613194527570781	0.3381158218686088	691.9154942179775	0	7	-2856.5866691471833	5731.173338294367	5794.656517351744	976.5411634599317	8542	8550	Event study	NA	NA	cit_more_stat
0.1526151349910191	-0.36633217860463563	NA	95.48972127485587	2.483381289318535e-182	NA	NA	NA	NA	332.907470984685	5302	8550	Event study with fixed effects	NA	NA	cit_more_stat
0.44072273567331255	0.44026441902027036	371.19639246192435	NA	NA	NA	-3034.300823546172	6084.601647092344	6141.031139587791	NA	NA	8550	Event study assets weighted	NA	NA	cit_more_stat
0.7886097842338391	0.6591522152801002	289.6626684945168	NA	NA	NA	1568.6268239767169	3358.7463520465662	26269.120305197823	NA	NA	8550	Event study assets weighted with fixed effects	0.04405803516340212	NA	cit_more_stat
0.3629535758442379	0.36263903679346976	0.3277037182893809	1153.9221440321994	0	3	-1842.0217332700336	3694.043466540067	3727.6072664148683	652.4999811346476	6076	6080	Linear model	NA	NA	cit_less_stat
0.06272067787130063	-0.827950272447983	NA	104.29140401862232	1.4384423429932082e-44	NA	NA	NA	NA	211.082396254252	3117	6080	Linear model with fixed effect	NA	NA	cit_less_stat
0.4348889620451664	0.4346099407953532	354.4171213046265	1558.6230881570712	0	3	-4310.395389896672	8630.790779793344	8664.354579668145	763215448.9295632	6076	6080	Linear model assets weighted	NA	NA	cit_less_stat
0.8108011272190971	0.6304177546159677	286.54719361454653	NA	NA	NA	1659.8240861238828	2616.3518277522344	22539.823433434143	NA	NA	6080	Linear model assets weighted with fixed effect	0.0309649059028414	NA	cit_less_stat
0.3583933770716327	0.3576537119924993	0.3289828421727317	484.5346727622795	0	7	-1863.7055873484155	3745.411174696831	3805.826014471473	657.1708018162625	6072	6080	Event study	NA	NA	cit_less_stat
0.1276873858673143	-0.7056250824421346	NA	45.50892377684958	3.945108437015524e-85	NA	NA	NA	NA	196.4514019745472	3109	6080	Event study with fixed effects	NA	NA	cit_less_stat
0.4318417307313681	0.43118673931422713	355.48842625210887	NA	NA	NA	-1977.1435143967742	3970.2870287935484	4023.98910859323	NA	NA	6080	Event study assets weighted	NA	NA	cit_less_stat
0.8140156645825912	0.6363464860075819	284.2395479886702	NA	NA	NA	1696.9499936351876	2548.1000127296247	22491.709898336416	NA	NA	6080	Event study assets weighted with fixed effects	0.04742906063445829	NA	cit_less_stat
