r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.012874942204138921	0.012491095778554007	0.2310551857488935	33.54190985241014	1.5683602699788527e-21	3	358.3108277065415	-706.621655413083	-671.8644549083338	411.8768387161306	7715	7719	Linear model	NA	NA	all
0.01897016030485286	-0.19369199160762185	NA	61.32725119303146	4.170157384997896e-27	NA	NA	NA	NA	158.02062469254426	6343	7719	Linear model with fixed effect	NA	NA	all
0.02062530052062183	0.020244467844220293	284.0402563911459	54.15843176984443	1.232551759549688e-34	3	-4038.564340808647	8087.128681617294	8121.885882122044	622437460.8395201	7715	7719	Linear model assets weighted	NA	NA	all
0.658633159138903	0.5843714658832707	185.00084478022325	NA	NA	NA	3999.905347152592	-5239.810694305184	4353.176645005615	NA	NA	7719	Linear model assets weighted with fixed effect	0.003816974092937353	NA	all
0.015132422135158459	0.01423836519765953	0.23085068409969528	16.925568719919873	2.4018690421527755e-22	7	367.1473187179489	-716.2946374358978	-653.7316765273491	410.9349077114315	7711	7719	Event study	NA	NA	all
0.04181085228069514	-0.1673723507652083	NA	27.64295022842279	2.3370298815426637e-52	NA	NA	NA	NA	154.3415312864225	6335	7719	Event study with fixed effects	NA	NA	all
0.021470410444426546	0.020582107095069913	283.9913097916686	NA	NA	NA	275.97472899754666	-535.9494579950933	-480.3379371874945	NA	NA	7719	Event study assets weighted	NA	NA	all
0.6600120713224833	0.5857889765535794	184.68510052001355	NA	NA	NA	4024.8813189477287	-5281.762637895457	4339.030461819142	NA	NA	7719	Event study assets weighted with fixed effects	0.007840941119242828	NA	all
0.010231454284835871	0.008280530738748126	0.2635064509660728	5.244415807761178	0.0013327860331239104	3	-128.10581849933223	266.21163699866446	292.86366305788647	105.68105884451917	1522	1526	Linear model	NA	NA	treat_a
0.015511853364844602	-0.20011544653765934	NA	9.855542002077579	5.6645114713679064e-5	NA	NA	NA	NA	40.28744762007519	1251	1526	Linear model with fixed effect	NA	NA	treat_a
0.008385297552430565	0.006430735064031912	328.4516894550773	4.290114847799337	0.0050414553737668285	3	-1049.2881620363714	2108.576324072743	2135.228350131965	164194139.7295715	1522	1526	Linear model assets weighted	NA	NA	treat_a
0.667825636718506	0.5937723303895122	210.01831826019253	NA	NA	NA	587.8598001268822	-617.7196002537644	869.463453850824	NA	NA	1526	Linear model assets weighted with fixed effect	8.515768606992546e-4	NA	treat_a
0.013818856955817561	0.009271249576826013	0.26337479778946515	3.038709326503411	0.0035431455223109676	7	-125.33531147585757	268.67062295171513	316.6442698583148	105.29801927995403	1518	1526	Event study	NA	NA	treat_a
