r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.034730388034475104	0.0333903561807517	1114375.5276108957	25.91758392755358	1.8117526378189252e-16	3	-33215.03733892576	66440.07467785152	66468.4755560537	2683600716538752	2161	2165	Linear model	NA	NA	all
0.028726099689334123	-0.4002909528796008	NA	22.196558365204098	3.16198558862099e-10	NA	NA	NA	NA	566638236281867.9	1501	2165	Linear model with fixed effect	NA	NA	all
0.05519640023095821	0.05388478024053389	1837657117.6553748	42.08261587496727	1.9966579866809048e-26	3	-34034.00411097857	68078.00822195713	68106.40910015932	7297661736952103e6	2161	2165	Linear model assets weighted	NA	NA	all
0.7778379490711896	0.6786372471858653	1071001887.1641034	NA	NA	NA	-31508.651752418482	64355.303504836964	68155.34100828905	NA	NA	2165	Linear model assets weighted with fixed effect	0.0012859657394024282	NA	all
0.045024193131190014	0.04192505977556571	1109444.9166943284	14.527994753591305	1.3773651244274557e-18	7	-33203.43137372129	66424.86274744257	66475.9843282065	2654982325996855.5	2157	2165	Event study	NA	NA	all
0.05848225343494237	-0.36466470433140286	NA	9.27375025026522	4.864040768463633e-15	NA	NA	NA	NA	549278586782843.7	1493	2165	Event study with fixed effects	NA	NA	all
0.0721690794450206	0.06915803797822184	1822764002.02597	NA	NA	NA	-33304.39526067061	66624.79052134122	66670.23192646471	NA	NA	2165	Event study assets weighted	NA	NA	all
0.7793471285950374	0.6801789593299805	1068429775.566082	NA	NA	NA	-31504.643365315	64353.28673063	68170.3647610034	NA	NA	2165	Event study assets weighted with fixed effects	0.008070377228151515	NA	all
0.04851389423202847	0.0455952251959304	1016197.5962628273	16.62192377142083	1.5403469976434287e-10	3	-14974.003517204614	29958.007034409227	29982.454990951	1009939088448040.4	978	982	Linear model	NA	NA	treat_a
0.04139038853330819	-0.33389507638131155	NA	15.220076852419428	3.378525012762717e-7	NA	NA	NA	NA	270083887018668.3	705	982	Linear model with fixed effect	NA	NA	treat_a
0.07192240665883394	0.06907554287557893	1681413046.373143	25.263733053148645	9.5543411861682e-16	3	-15298.807610540443	30607.615221080887	30632.06317762266	2764952536198509e6	978	982	Linear model assets weighted	NA	NA	treat_a
0.7246513982572874	0.6141186024148557	1082540402.8076038	NA	NA	NA	-14316.466889271034	29196.93377854207	30575.798527498027	NA	NA	982	Linear model assets weighted with fixed effect	5.566408240498255e-5	NA	treat_a
0.061596118055435176	0.05485194231250712	1011257.5677416152	9.133231458273402	5.794027977986052e-11	7	-14967.205794016114	29952.411588032228	29996.417909807416	996053179738505.75	974	982	Event study	NA	NA	treat_a
0.0820449084143033	-0.2919855736665258	NA	6.229640391882981	3.6125678436300386e-09	NA	NA	NA	NA	258629661416302.06	697	982	Event study with fixed effects	NA	NA	treat_a
0.09497430790258876	0.0884700164809441	1663805946.4728775	NA	NA	NA	-15008.84814915675	30033.6962983135	30072.813028780336	NA	NA	982	Event study assets weighted	NA	NA	treat_a
0.7308746345305308	0.6212166663908907	1072537840.7985421	NA	NA	NA	-14310.755345897329	29191.510691794658	30585.04421467568	NA	NA	982	Event study assets weighted with fixed effects	0.02265570571370923	NA	treat_a
0.03747484529087541	0.0355184933504098	1133346.6972426749	19.155472241847598	3.4598285095032028e-12	3	-22730.240850510123	45470.481701020246	45496.98068785404	1895884710558698	1476	1480	Linear model	NA	NA	treat_b
0.03688472728695345	-0.3350023320924047	NA	20.43161661444494	1.9604552488253835e-9	NA	NA	NA	NA	402979506551043.25	1067	1480	Linear model with fixed effect	NA	NA	treat_b
0.05257079639114609	0.050645127278120095	1853319181.0363045	27.300015374153666	3.497779226175301e-17	3	-23271.71096174148	46553.42192348296	46579.92091031675	5069752972512488e6	1476	1480	Linear model assets weighted	NA	NA	treat_b
0.7707513696071464	0.6807356644528902	1074759102.763992	NA	NA	NA	-21567.35751087049	43970.71502174098	46186.03032104589	NA	NA	1480	Linear model assets weighted with fixed effect	9.480994121113806e-5	NA	treat_b
0.052028398960998576	0.04752038183649243	1126273.009321168	11.541304641050711	2.4386520484188967e-14	7	-22718.96646544992	45455.93293089984	45503.631107200665	1867218592325330.3	1472	1480	Event study	NA	NA	treat_b
0.0750866677894772	-0.29173448379543254	NA	8.597214292393549	1.3104917198456254e-13	NA	NA	NA	NA	386995335632817.56	1059	1480	Event study with fixed effects	NA	NA	treat_b
0.07761467853600312	0.07322833529534545	1831143173.0864773	NA	NA	NA	-22797.1444433601	45610.2888867202	45652.68726565426	NA	NA	1480	Event study assets weighted	NA	NA	treat_b
0.7741323288473829	0.6845530824979031	1068314375.8787203	NA	NA	NA	-21561.988709859615	43965.97741971923	46197.192111124416	NA	NA	1480	Event study assets weighted with fixed effects	0.01484141359985236	NA	treat_b
0.039162398723715075	0.03736867575929148	1129957.7290825825	21.833025222096026	7.367661738231776e-14	3	-24737.527339904012	49485.054679808025	49511.97773172391	2051824782508141.5	1607	1611	Linear model	NA	NA	treat_c
0.033918066589750225	-0.356052234342199	NA	20.13494975582097	2.54393694673075e-9	NA	NA	NA	NA	439398963576415.2	1147	1611	Linear model with fixed effect	NA	NA	treat_c
0.05505719943820238	0.05329314940603991	1858704607.8047936	31.210679081876336	1.3135725298309668e-19	3	-25330.551362378363	50671.102724756725	50698.02577667261	5551835990253157e6	1607	1611	Linear model assets weighted	NA	NA	treat_c
0.7697693204469043	0.6754190945004518	1088338767.654537	NA	NA	NA	-23475.700997270877	47889.40199454175	50414.78426425176	NA	NA	1611	Linear model assets weighted with fixed effect	0.0019230567551654643	NA	treat_c
0.05340070054804034	0.04926707915305373	1122952.7125337783	12.91862399706102	3.0249170992162134e-16	7	-24725.501605116846	49469.00321023369	49517.464703682286	2021419539722914	1603	1611	Event study	NA	NA	treat_c
0.06611028862579199	-0.32007237516459597	NA	8.063009778100568	1.142453127196394e-12	NA	NA	NA	NA	424757111256575.3	1139	1611	Event study with fixed effects	NA	NA	treat_c
0.07897732783193423	0.07495539476569812	1837316406.145452	NA	NA	NA	-24806.722383030068	49629.444766060136	49672.52164912555	NA	NA	1611	Event study assets weighted	NA	NA	treat_c
0.7708855610549428	0.6761420134314818	1087126097.3145924	NA	NA	NA	-23475.30977284156	47894.61954568312	50436.155646542655	NA	NA	1611	Event study assets weighted with fixed effects	0.006762090441550517	NA	treat_c
0.031119202211148313	0.028535520083711408	1156751.0437846966	12.044516576046124	9.181794762016522e-8	3	-17362.08909112575	34734.1781822515	34759.323620072246	1505332099459108.5	1125	1129	Linear model	NA	NA	cit_m22
0.01666406237470061	-0.7550679393059141	NA	5.355081116146426	0.004940876746841162	NA	NA	NA	NA	276744175950979.9	632	1129	Linear model with fixed effect	NA	NA	cit_m22
0.03979448178311137	0.0372339337345331	1958159128.538763	15.541392322321574	6.555336877587801e-10	3	-17677.35686588777	35364.71373177554	35389.85916959629	43136855692646485e5	1125	1129	Linear model assets weighted	NA	NA	cit_m22
0.8043356110716723	0.6479913385787023	1184034260.5824592	NA	NA	NA	-16390.407055558102	33784.814111116204	36309.41606831933	NA	NA	1129	Linear model assets weighted with fixed effect	0.004473460932506557	NA	cit_m22
0.04417000182873227	0.038201393454781574	1150981.9391174973	7.400385326252299	1.0270932329506694e-8	7	-17354.433614458518	34726.867228917035	34772.12901699438	1485055314499810	1121	1129	Event study	NA	NA	cit_m22
0.05104786662408812	-0.7154134718718406	NA	3.3567413627187173	2.8268838538337307e-4	NA	NA	NA	NA	267067404047335	624	1129	Event study with fixed effects	NA	NA	cit_m22
0.05677847692885685	0.050888601227252916	1944223503.018616	NA	NA	NA	-17388.30550043926	34792.61100087852	34832.843701391714	NA	NA	1129	Event study assets weighted	NA	NA	cit_m22
0.8058910719278727	0.6491107838696162	1182150049.7689965	NA	NA	NA	-16386.5402637647	33783.0805275294	36322.76974742497	NA	NA	1129	Event study assets weighted with fixed effects	0.012387535493082025	NA	cit_m22
