r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.07357365533575734	0.07020074388673703	1064433.9944486592	21.813100180002532	1.3372874767877723e-13	3	-12663.821968298244	25337.643936596487	25361.239002368413	933608256315253	824	828	Linear model	NA	NA	all
0.04150472568831242	-0.2785090191222026	NA	13.423608136843935	1.9628746338225267e-6	NA	NA	NA	NA	181158394526040.6	620	828	Linear model with fixed effect	NA	NA	all
0.13431446394807908	0.13116269621973464	1652802536.7732956	42.615597190163065	1.3185497883849683e-25	3	-12935.438880549624	25880.877761099247	25904.472826871173	22509671298649345e5	824	828	Linear model assets weighted	NA	NA	all
0.8094330905654721	0.7437417331669031	897616202.81969	NA	NA	NA	-11978.826229602133	24383.652459204266	25388.802261088327	NA	NA	828	Linear model assets weighted with fixed effect	0.0017590382245296077	NA	all
0.0803756966282288	0.07252524525798187	1063102.6174737087	10.238353546504637	2.44630188223595e-12	7	-12660.77106843014	25339.54213686028	25382.01325524975	926753483729149.4	820	828	Event study	NA	NA	all
0.05836881744553993	-0.2724329868832327	NA	3.7935995470927715	5.557390755268973e-5	NA	NA	NA	NA	177971032136514.53	612	828	Event study with fixed effects	NA	NA	all
0.14035086576684275	0.13301239754777916	1651042241.7725143	NA	NA	NA	-12715.590931461087	25447.181862922174	25484.933968157256	NA	NA	828	Event study assets weighted	NA	NA	all
0.8096781968591457	0.7428167790890743	899234698.7503551	NA	NA	NA	-11978.663952796434	24389.32790559287	25408.634746940086	NA	NA	828	Event study assets weighted with fixed effects	0.0030429712171984313	NA	all
0.02535607242248476	0.01718866520814788	1000912.2978439599	3.1045436767222507	0.026657494607698045	3	-5513.189540468282	11036.379080936564	11055.837301995693	358653503215148.75	358	362	Linear model	NA	NA	treat_a
0.04292643680862572	-0.25182447939161645	NA	12.3790866395624	5.075640020171539e-4	NA	NA	NA	NA	82263054919555.125	276	362	Linear model with fixed effect	NA	NA	treat_a
0.01594379842666779	0.0076975174078968145	1621898732.3751726	1.9334532003426823	0.12378738137830236	3	-5616.051844446298	11242.103688892596	11261.561909951724	9417388683127089e5	358	362	Linear model assets weighted	NA	NA	treat_a
0.7437256711716407	0.6573517307146752	953072561.7134726	NA	NA	NA	-5243.836884044363	10671.673768088725	11029.705035576697	NA	NA	362	Linear model assets weighted with fixed effect	2.220446049250313e-16	NA	treat_a
0.031322351715363454	0.012167708952672829	1003465.7556907281	1.6352354937348759	0.12427575022808955	7	-5512.078144435424	11042.156288870849	11077.18108677728	356458007086763.2	354	362	Event study	NA	NA	treat_a
0.06061393667219393	-0.2559939587456963	NA	2.4888235200150817	0.017153823252826092	NA	NA	NA	NA	80742766585798.95	270	362	Event study with fixed effects	NA	NA	treat_a
