r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.0065797511051642246	0.006477847913388124	1166404.674426515	64.56864589305141	1.3252249539846176e-41	3	-450107.9739074997	900225.9478149994	900267.3659892627	39789179037869610	29246	29250	Linear model	NA	NA	all
0.015073427986518085	-0.2021915997505459	NA	183.3662351613023	9.295660508302965e-80	NA	NA	NA	NA	7088517156153011	23963	29250	Linear model with fixed effect	NA	NA	all
0.007349177012893485	0.007247352747388525	1613527077.3995152	72.17510459260276	1.6804180952880558e-46	3	-470698.1547028676	941406.3094057352	941447.7275799986	7614107278439856e7	29246	29250	Linear model assets weighted	NA	NA	all
0.7391409369323925	0.6815448584805521	913860410.3666961	NA	NA	NA	-425228.15649578266	861038.3129915653	904867.0249969894	NA	NA	29250	Linear model assets weighted with fixed effect	0.009707039772121506	NA	all
0.007463443871612922	0.007225848772341448	1165965.5116083864	31.41244871840906	1.0327181430314117e-43	7	-450094.95851106243	900207.9170221249	900282.4697357988	39753784742516950	29242	29250	Event study	NA	NA	all
0.03334991830548198	-0.18027753034785898	NA	82.6459654984493	3.9188040076828313e-168	NA	NA	NA	NA	6956981243871149	23955	29250	Event study with fixed effects	NA	NA	all
0.01060203349144273	0.010365189713125278	1610991364.9748418	NA	NA	NA	-457847.8738006056	915711.7476012112	915778.0166800325	NA	NA	29250	Event study assets weighted	NA	NA	all
0.7396256901285807	0.6820835654590214	913087128.2138822	NA	NA	NA	-425196.69926224835	860983.3985244967	904845.2450693314	NA	NA	29250	Event study assets weighted with fixed effects	0.011547296621885694	NA	all
0.04088890478687109	0.04050719434834116	1118185.7808939917	107.12021642461313	6.481860277836167e-68	3	-115738.71273242067	231487.42546484133	231522.06667823042	9425058703193848	7538	7542	Linear model	NA	NA	treat_a
0.047715811900682595	-0.16143863212954113	NA	154.90484283415708	2.274371008330045e-66	NA	NA	NA	NA	1834538041856633.3	6183	7542	Linear model with fixed effect	NA	NA	treat_a
0.023889039823519177	0.023500563718381384	1550068536.4274492	61.49423222578776	2.8476694715166337e-39	3	-121000.73347977924	242011.4669595585	242046.10817294757	18111646580937157e6	7538	7542	Linear model assets weighted	NA	NA	treat_a
0.7236743806258277	0.6627655776500027	910921287.6374123	NA	NA	NA	-109670.53256950078	222067.06513900156	231510.2599088679	NA	NA	7542	Linear model assets weighted with fixed effect	0.021049889506227548	NA	treat_a
0.043466338536668384	0.042577602721664	1116978.710122029	48.9080532176506	2.0821952451526337e-68	7	-115728.5652262073	231475.1304524146	231537.48463651497	9399730600415480	7534	7542	Event study	NA	NA	treat_a
0.06859002296673782	-0.1374514391591628	NA	45.47335784062558	4.516710729825895e-88	NA	NA	NA	NA	1794324695071075.5	6175	7542	Event study with fixed effects	NA	NA	treat_a
0.03152588608715301	0.03062605614324676	1544402775.7371702	NA	NA	NA	-117993.23476029218	236002.46952058436	236057.8954620069	NA	NA	7542	Event study assets weighted	NA	NA	treat_a
0.7241367869846431	0.6631118235872377	910453536.1663338	NA	NA	NA	-109653.06619470382	222040.13238940763	231511.04012998525	NA	NA	7542	Event study assets weighted with fixed effects	0.02268807548797125	NA	treat_a
0.030192199673225374	0.029878481385433586	1151608.4572475206	96.23984590044404	2.4463437268875014e-61	3	-142652.8972247422	285315.7944494844	285351.47145591094	12299197707868430	9274	9278	Linear model	NA	NA	treat_b
0.033051956054777364	-0.17907163560460448	NA	130.02729735032642	2.9753736189207284e-56	NA	NA	NA	NA	2641693181959868.5	7608	9278	Linear model with fixed effect	NA	NA	treat_b
0.019131761210248455	0.018814465036389283	1611301546.3626556	60.296224116287156	1.3413837628314778e-38	3	-149074.29880262908	298158.59760525817	298194.2746116847	24078018252283293e6	9274	9278	Linear model assets weighted	NA	NA	treat_b
0.6954528693424308	0.6284476944883917	991542275.611752	NA	NA	NA	-135658.27856724846	274664.5571344969	286609.21888610866	NA	NA	9278	Linear model assets weighted with fixed effect	0.011064139916895921	NA	treat_b
0.03345143200356764	0.03272156792848935	1149919.7384669234	45.83241338461959	2.9753412142884095e-64	7	-142637.28068503263	285292.56137006526	285356.77998163307	12257863803569810	9270	9278	Event study	NA	NA	treat_b
0.05620372395915378	-0.15205237537249072	NA	45.258528024867836	3.0494402164253247e-88	NA	NA	NA	NA	2578442764518865.5	7600	9278	Event study with fixed effects	NA	NA	treat_b
0.03131482463598845	0.03058334715728861	1601608973.0823176	NA	NA	NA	-145193.91067957715	290403.8213591543	290460.9045694368	NA	NA	9278	Event study assets weighted	NA	NA	treat_b
0.6961044481486403	0.6290474954572283	990741623.561354	NA	NA	NA	-135618.32482767646	274592.6496553529	286565.8530121059	NA	NA	9278	Event study assets weighted with fixed effects	0.013179968904479367	NA	treat_b
0.024887618607538863	0.02468336381462033	1123191.0693805267	121.84594668229398	6.304310672658193e-78	3	-219911.02330557522	439832.04661115044	439869.8957678863	18068036230130644	14322	14326	Linear model	NA	NA	treat_c
0.024938726501262696	-0.1907717598354144	NA	150.00660461581947	4.700454927455165e-65	NA	NA	NA	NA	3635418384414079.5	11730	14326	Linear model with fixed effect	NA	NA	treat_c
0.013061094480580016	0.012854362409880471	1550079692.0918357	63.17884997903963	1.4218263293686163e-40	3	-230638.86255346984	461287.7251069397	461325.57426367555	3441214327638832e7	14322	14326	Linear model assets weighted	NA	NA	treat_c
0.7057391490121255	0.6405179353231023	935410035.5043511	NA	NA	NA	-208667.07730611236	422534.1546122247	442215.71611487813	NA	NA	14326	Linear model assets weighted with fixed effect	0.014017890159779167	NA	treat_c
0.027051466771056826	0.026575797003449586	1122100.8613126844	56.87026717532465	8.652079662626615e-81	7	-219895.1104040294	439808.2208080588	439876.3492901834	18027941890482212	14318	14326	Event study	NA	NA	treat_c
0.04505780798474231	-0.16699768816060123	NA	55.30885844330868	9.109157821391428e-110	NA	NA	NA	NA	3560406402407921.5	11722	14326	Event study with fixed effects	NA	NA	treat_c
0.02148669145072135	0.021008301091743564	1543664497.0757573	NA	NA	NA	-224162.27395459072	448340.54790918145	448401.10655995883	NA	NA	14326	Event study assets weighted	NA	NA	treat_c
0.7064138419125552	0.6412197820676807	934496449.9489568	NA	NA	NA	-208614.39708593735	422436.7941718747	442148.63499991683	NA	NA	14326	Event study assets weighted with fixed effects	0.016278588880749068	NA	treat_c
0.004075030396094338	0.003846973384506569	1218359.9394593728	17.868472307528926	1.435650790145564e-11	3	-202233.76647850845	404477.5329570169	404514.9367025957	19447136742182828	13101	13105	Linear model	NA	NA	cit_m22
0.009160847282384619	-0.5173491009946982	NA	39.55706129514537	7.934452111942947e-18	NA	NA	NA	NA	2771031800092473	8557	13105	Linear model with fixed effect	NA	NA	cit_m22
0.00679189019159356	0.006564455314147177	1714171236.6077394	29.86301075653786	3.1159062225673307e-19	3	-210245.0402560999	420500.0805121998	420537.48425777856	3849575605524274e7	13101	13105	Linear model assets weighted	NA	NA	cit_m22
0.7899928285258114	0.6782116493220571	975594885.6852713	NA	NA	NA	-189495.40879838294	388096.8175967659	422156.6683208098	NA	NA	13105	Linear model assets weighted with fixed effect	0.011216584989702572	NA	cit_m22
0.004570809336182695	0.004038778769286044	1218242.6385825218	8.59125324855583	1.5008570110757167e-10	7	-202230.5037825633	404479.0075651266	404546.3343071684	19437455811253232	13097	13105	Event study	NA	NA	cit_m22
0.026479450176272012	-0.4922228664042734	NA	23.25300884485079	1.0771521396787097e-43	NA	NA	NA	NA	2722597703377084	8549	13105	Event study with fixed effects	NA	NA	cit_m22
0.009687509108961323	0.009158213282723482	1711932011.7129104	NA	NA	NA	-205138.84046240337	410293.68092480674	410353.5269177328	NA	NA	13105	Event study assets weighted	NA	NA	cit_m22
0.7906044771469087	0.6790362695675625	974344045.8751937	NA	NA	NA	-189489.028846298	388090.057692596	422172.35066398716	NA	NA	13105	Event study assets weighted with fixed effects	0.014096429559340429	NA	cit_m22
