r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.012002535465827056	0.011840133822431986	1318219.054111114	73.90649019870123	1.6539049069236464e-47	3	-283146.3889894638	566302.7779789276	566341.838950398	31714789613318820	18251	18255	Linear model	NA	NA	all
0.001429918947674216	-0.270945353474352	NA	10.268632085357732	3.496066702359422e-5	NA	NA	NA	NA	3084089450192200	14342	18255	Linear model with fixed effect	NA	NA	all
0.00129451481974501	0.0011303530502231318	1459577108.938643	7.88560469052326	2.966756983659e-5	3	-291446.45176611	582902.90353222	582941.9645036905	38881297764449725e6	18251	18255	Linear model assets weighted	NA	NA	all
0.7991357693486403	0.7442578177924308	738539654.2254059	NA	NA	NA	-262084.08641615897	532004.1728323179	562612.3500765616	NA	NA	18255	Linear model assets weighted with fixed effect	1.357577498195539e-6	NA	all
0.012963542129075637	0.012584890558675288	1317722.202535951	34.2360712128219	9.307263601081488e-48	7	-283137.5065202449	566293.01304048975	566363.3227891366	31683941230366440	18247	18255	Event study	NA	NA	all
0.007922852182776743	-0.2633860929437417	NA	11.44731167710039	8.11616705190051e-20	NA	NA	NA	NA	3064035988476246	14334	18255	Event study with fixed effects	NA	NA	all
0.0027066958102168748	0.0023241094601686996	1458704672.565752	NA	NA	NA	-289404.6826316259	578825.3652632518	578887.8628176046	NA	NA	18255	Event study assets weighted	NA	NA	all
0.7991616285342816	0.7442372238917802	738569389.4571115	NA	NA	NA	-262089.10899828974	532020.2179965795	562651.8318237053	NA	NA	18255	Event study assets weighted with fixed effects	1.3009702728272732e-4	NA	all
0.06447100562560283	0.06391225846591264	1221897.618139929	115.38493665250088	2.9424265328467473e-72	3	-77589.01109735618	155188.02219471236	155220.63508803083	7499508723232128	5023	5027	Linear model	NA	NA	treat_a
0.001325961540751512	-0.27361982169403287	NA	2.616276297801877	0.07320138116833957	NA	NA	NA	NA	649781823620895.75	3941	5027	Linear model with fixed effect	NA	NA	treat_a
0.017668366633222198	0.01708166647393483	1391569090.7232358	30.11481478833017	2.735929965379754e-19	3	-79988.46715950915	159986.9343190183	160019.54721233677	9726861355569363e6	5023	5027	Linear model assets weighted	NA	NA	treat_a
0.8368992570504254	0.7917316224429468	640556913.3832474	NA	NA	NA	-71496.79052327598	145175.58104655196	152291.71436864056	NA	NA	5027	Linear model assets weighted with fixed effect	5.08597771624264e-4	NA	treat_a
0.06546641605282809	0.06416302193295753	1221733.9434154895	50.22764415979636	1.7073067595099964e-69	7	-77586.33528920505	155190.6705784101	155249.37378638334	7491529185209191	5019	5027	Event study	NA	NA	treat_a
0.010406586809833453	-0.2646062788440826	NA	4.135951733058797	1.0462595627226097e-5	NA	NA	NA	NA	643873564249233	3933	5027	Event study with fixed effects	NA	NA	treat_a
0.019669131627602643	0.018301864028756887	1390705073.6205893	NA	NA	NA	-79352.98863936849	158721.97727873697	158774.1579080465	NA	NA	5027	Event study assets weighted	NA	NA	treat_a
0.8375110504012194	0.7923545739426721	639598211.1292889	NA	NA	NA	-71516.0264036482	145220.0528072964	152355.75386537606	NA	NA	5027	Event study assets weighted with fixed effects	0.004257705120866095	NA	treat_a
0.05693167950786642	0.05646210192089929	1264899.371792152	121.24019776067975	3.034567098379038e-76	3	-93263.26311761365	186536.5262352273	186570.04791741975	9639821785080088	6025	6029	Linear model	NA	NA	treat_b
0.0018601589639976985	-0.2750131302744272	NA	4.397224612332177	0.01236194711593275	NA	NA	NA	NA	961668790565809.4	4719	6029	Linear model with fixed effect	NA	NA	treat_b
0.01904118518042654	0.018552740957279767	1431482509.3981822	38.98333582032894	6.073546336430397e-25	3	-95988.33107663391	191986.66215326783	192020.18383546028	12346081602645321e6	6025	6029	Linear model assets weighted	NA	NA	treat_b
0.8042554996214002	0.7496928620529911	722918235.5807439	NA	NA	NA	-86384.65668971946	175399.3133794389	184215.5157960525	NA	NA	6029	Linear model assets weighted with fixed effect	1.997538634057605e-6	NA	treat_b
0.057900487020241156	0.056805204410897425	1264669.3706520216	52.86351351359117	1.278158806462704e-73	7	-93260.16475103714	186538.32950207428	186598.6685300207	9629918863350656	6021	6029	Event study	NA	NA	treat_b
0.010712774254207325	-0.2658508590098998	NA	5.101438510289251	1.9148861407548117e-7	NA	NA	NA	NA	953139641152587.9	4711	6029	Event study with fixed effects	NA	NA	treat_b
0.022130082870759238	0.020993213676289146	1429701635.0720742	NA	NA	NA	-95267.80186314513	190551.60372629025	190605.23841779816	NA	NA	6029	Event study assets weighted	NA	NA	treat_b
0.8044029197641956	0.7497220972911423	722876016.8407793	NA	NA	NA	-86393.31951209212	175422.63902418423	184258.95445011326	NA	NA	6029	Event study assets weighted with fixed effects	7.551213711448623e-4	NA	treat_b
0.047470116265025175	0.04716494863888199	1244967.4296045038	155.55423379919668	2.17016985353511e-98	3	-144766.93522414175	289543.8704482835	289579.5957228099	14513674686866884	9364	9368	Linear model	NA	NA	treat_c
0.001657245711184705	-0.27421672972112443	NA	6.091358014136842	0.002273788751992137	NA	NA	NA	NA	1468994859616189	7339	9368	Linear model with fixed effect	NA	NA	treat_c
0.014121971335851715	0.013806119767505676	1405182722.9202647	44.71078427693414	1.1117858669893821e-28	3	-149680.11013397996	299370.2202679599	299405.9455424863	18489578371607362e6	9364	9368	Linear model assets weighted	NA	NA	treat_c
0.7997053512333053	0.7441832594767346	715675467.4294584	NA	NA	NA	-134166.47614002047	272400.95228004095	286933.99395737547	NA	NA	9368	Linear model assets weighted with fixed effect	7.126486571640278e-6	NA	treat_c
0.04851612065187657	0.04780454082757779	1244549.5161831125	68.18085476170477	1.960771124990769e-96	7	-144761.788743443	289541.577486886	289605.8829810335	14497736743447960	9360	9368	Event study	NA	NA	treat_c
0.008836931343399525	-0.2664335648760572	NA	6.536113554580858	3.866744139927277e-10	NA	NA	NA	NA	1458430430473917.8	7331	9368	Event study with fixed effects	NA	NA	treat_c
0.016715519808758295	0.01598015748382886	1403633024.7423687	NA	NA	NA	-148182.4316701482	296380.8633402964	296438.0237795386	NA	NA	9368	Event study assets weighted	NA	NA	treat_c
0.7998185854103539	0.7442232559730986	715619517.9436903	NA	NA	NA	-134181.37145727134	272436.7429145427	286991.21975659305	NA	NA	9368	Event study assets weighted with fixed effects	5.724604622118212e-4	NA	treat_c
0.016622487820562002	0.016263503574207805	1347993.5869535804	46.30422640932235	1.1492212384760271e-29	3	-127710.87101175709	255431.74202351418	255466.81486735147	14932818586625860	8218	8222	Linear model	NA	NA	cit_m22
0.0017115253966805172	-0.6328948566880004	NA	4.3084373217544165	0.013504285269460427	NA	NA	NA	NA	967472231128789.6	5026	8222	Linear model with fixed effect	NA	NA	cit_m22
0.004453801068698244	0.004090374614963199	1486411189.111641	12.255027180674942	5.363631190438562e-8	3	-130596.92092149789	261203.84184299578	261238.91468683307	18156998957569606e6	8218	8222	Linear model assets weighted	NA	NA	cit_m22
0.8613380617866115	0.7729655857294829	709700069.23894	NA	NA	NA	-116493.05227743523	239388.10455487046	261841.73917950294	NA	NA	8222	Linear model assets weighted with fixed effect	3.2055938237185444e-6	NA	cit_m22
0.015620914233459337	0.014782022877193657	1349008.2261301284	18.62090259577462	8.542132119265169e-25	7	-127715.05594944343	255448.11189888685	255511.24301779398	14948027716885728	8214	8222	Event study	NA	NA	cit_m22
0.007757690051297908	-0.6255926723970269	NA	3.92324418008592	2.4277026874122944e-5	NA	NA	NA	NA	961612705994532	5018	8222	Event study with fixed effects	NA	NA	cit_m22
0.005868085951835744	0.005020883200638093	1485716627.2952726	NA	NA	NA	-130233.65565539293	260483.31131078585	260539.42786092553	NA	NA	8222	Event study assets weighted	NA	NA	cit_m22
0.8616890756390623	0.7734049204521185	709013065.752272	NA	NA	NA	-116490.78285580067	239389.56571160135	261864.24404253621	NA	NA	8222	Event study assets weighted with fixed effects	0.002534633697061417	NA	cit_m22
