r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.29176940765748516	0.29169675868747125	549391.8035752317	4016.1533962769176	0	3	-428086.54061921453	856183.0812384291	856224.4994126924	8827359774277303	29246	29250	Linear model	NA	NA	all
0.030696753206657653	-0.1831219240269779	NA	379.4407475291822	5.841248251861525e-163	NA	NA	NA	NA	2743053061564481.5	23963	29250	Linear model with fixed effect	NA	NA	all
0.4619133479448468	0.46185815202211666	834784674.1167637	8368.613569579446	0	3	-451422.288380192	902854.576760384	902895.9949346473	20380527013293208e6	29246	29250	Linear model assets weighted	NA	NA	all
0.7764651925492252	0.7271100804237358	594456158.9720486	NA	NA	NA	-411244.44948486483	833070.8989697297	876899.6109751537	NA	NA	29250	Linear model assets weighted with fixed effect	0.03925293148613673	NA	all
0.29502358991681826	0.2948548314573908	548165.6637837815	1748.2003030690407	0	7	-428019.18672190263	856056.3734438053	856130.9261574792	8786799767572164	29242	29250	Event study	NA	NA	all
0.050162607509035916	-0.15974927543177664	NA	126.510629332815	1.0762897428814256e-258	NA	NA	NA	NA	2687966202608469.5	23955	29250	Event study with fixed effects	NA	NA	all
0.4698149296750813	0.46968801306567454	828689443.0303732	NA	NA	NA	-432029.3904600211	864074.7809200422	864141.0499988635	NA	NA	29250	Event study assets weighted	NA	NA	all
0.7844052470644417	0.7367593016651162	583851770.4100206	NA	NA	NA	-411187.4550132117	832964.9100264234	876826.7565712581	NA	NA	29250	Event study assets weighted with fixed effects	0.0733790892256394	NA	all
0.2787607628176306	0.278473721465608	813585.9711883959	971.151929341477	0	3	-113340.27218098522	226690.54436197045	226725.18557535953	4989569034894793	7538	7542	Linear model	NA	NA	treat_a
0.06192216744316076	-0.14411207105145163	NA	204.06876061529078	1.5013332721871528e-86	NA	NA	NA	NA	1341122823544589.8	6183	7542	Linear model with fixed effect	NA	NA	treat_a
0.365465149602023	0.3652126151696544	1218494963.4760294	1447.1893839359677	0	3	-119185.50465963408	238381.00931926817	238415.65053265725	11191894559212001e6	7538	7542	Linear model assets weighted	NA	NA	treat_a
0.776397545058446	0.7271101937669108	798919922.4650079	NA	NA	NA	-108504.23657404914	219734.47314809827	229177.66791796463	NA	NA	7542	Linear model assets weighted with fixed effect	0.04037676251377187	NA	treat_a
0.2823779768917458	0.2817112189727443	811758.6338080872	423.5089960605082	0	7	-113321.31198880321	226660.62397760642	226722.9781617068	4964544967419898	7534	7542	Event study	NA	NA	treat_a
0.083615950145138	-0.11910155788753274	NA	56.3441160098774	1.5463674674258308e-109	NA	NA	NA	NA	1310108310568279.8	6175	7542	Event study with fixed effects	NA	NA	treat_a
0.3737139636963027	0.37313206798962295	1210870284.7208233	NA	NA	NA	-114311.00691527135	228638.0138305427	228693.43977196526	NA	NA	7542	Event study assets weighted	NA	NA	treat_a
0.7806307836898337	0.7321031157579007	791577472.290957	NA	NA	NA	-108431.58423300015	219597.1684660003	229068.0762065779	NA	NA	7542	Event study assets weighted with fixed effects	0.058544336575362066	NA	treat_a
0.21535444990943647	0.21510062883435854	920831.4519050093	848.4498375220073	0	3	-140577.9848938847	281165.9697877694	281201.646794196	7863708039569380	9274	9278	Linear model	NA	NA	treat_b
0.03887920554806506	-0.1719660370834124	NA	153.87919890879311	3.071931469958164e-66	NA	NA	NA	NA	2148277963647849.3	7608	9278	Linear model with fixed effect	NA	NA	treat_b
0.3022228129220182	0.30199709246037976	1360201205.1051254	1338.9251941468058	0	3	-147502.51623173474	295015.0324634695	295050.70946989604	17158266230558144e6	9274	9278	Linear model assets weighted	NA	NA	treat_b
0.7426514239320507	0.6860306759360383	912258982.7833431	NA	NA	NA	-134711.38872365377	272770.77744730754	284715.4391989193	NA	NA	9278	Linear model assets weighted with fixed effect	0.02125335383416982	NA	treat_b
0.21944843508351208	0.2188590218198211	918624.1629811589	372.3167573618842	0	7	-140553.71697216138	281125.43394432275	281189.65255589056	7822678170574980	9270	9278	Event study	NA	NA	treat_b
0.06306141189224379	-0.14368148445732287	NA	51.15241665401114	4.4485192514971207e-100	NA	NA	NA	NA	2094226380016071.8	7600	9278	Event study with fixed effects	NA	NA	treat_b
0.31453912909921256	0.3140215211060836	1348434280.6681092	NA	NA	NA	-141957.62815454864	283931.2563090973	283988.3395193798	NA	NA	9278	Event study assets weighted	NA	NA	treat_b
0.7474355899314484	0.6917052589202694	903977451.4984376	NA	NA	NA	-134627.30224695985	272610.6044939197	284583.8078506727	NA	NA	9278	Event study assets weighted with fixed effects	0.039448466852299524	NA	treat_b
0.26860900871150967	0.2684558057388894	750300.460366089	1753.2884911935432	0	3	-214131.12207519045	428272.2441503809	428310.09330711677	8062581082983743	14322	14326	Linear model	NA	NA	treat_c
0.036980350231875785	-0.17606619632808007	NA	225.2184097824037	1.0474833667283205e-96	NA	NA	NA	NA	2263666628961574.5	11730	14326	Linear model with fixed effect	NA	NA	treat_c
0.4007202477920569	0.4005947178900442	1115721567.0313132	3192.2294319322805	0	3	-225928.40208136756	451866.8041627351	451904.653319471	17828521358018025e6	14322	14326	Linear model assets weighted	NA	NA	treat_c
0.771362433455008	0.7206862407677801	761625910.3374629	NA	NA	NA	-205240.3400643797	415680.6801287594	435362.2416314128	NA	NA	14326	Linear model assets weighted with fixed effect	0.029800345992897603	NA	treat_c
0.2723360891732984	0.2719803378549729	748490.8287725223	765.5237665879623	0	7	-214094.5269677996	428207.0539355992	428275.1824177238	8021495140192674	14318	14326	Event study	NA	NA	treat_c
0.060176887393144134	-0.14852124962405822	NA	75.05598282912945	6.887986084495861e-150	NA	NA	NA	NA	2209141025987797	11722	14326	Event study with fixed effects	NA	NA	treat_c
0.4109178322860456	0.4106298329024727	1106342560.1045537	NA	NA	NA	-216220.08822269083	432456.17644538166	432516.73509615904	NA	NA	14326	Event study assets weighted	NA	NA	treat_c
0.778411422675409	0.7292052234964369	749921295.8672568	NA	NA	NA	-205140.04247390217	415488.08494780434	435199.92577584647	NA	NA	14326	Event study assets weighted with fixed effects	0.05971199614767242	NA	treat_c
0.2965762682005563	0.29641519109229	588747.4984043487	1841.2068070530995	0	3	-192702.97798228258	385415.95596456516	385453.35971014394	4541116004710538	13101	13105	Linear model	NA	NA	cit_m22
0.02108345681376356	-0.4990910812098215	NA	92.14837628964312	2.5429639793794417e-40	NA	NA	NA	NA	1184596433530377.8	8557	13105	Linear model with fixed effect	NA	NA	cit_m22
0.4369709533636046	0.4368420252558335	921037975.7495967	3389.26058031818	0	3	-202104.42747098656	404218.8549419731	404256.2586875519	11113721792277957e6	13101	13105	Linear model assets weighted	NA	NA	cit_m22
0.8106100211102762	0.7098028199987207	661163715.9513603	NA	NA	NA	-183947.77345371613	377001.54690743226	411061.39763147617	NA	NA	13105	Linear model assets weighted with fixed effect	0.025597179603995435	NA	cit_m22
0.2988067248296915	0.2984319555751911	587903.0961941399	797.3085338283721	0	7	-192682.1679261972	385382.3358523944	385449.6625944362	4526716771590451	13097	13105	Event study	NA	NA	cit_m22
0.0385425791084718	-0.473732371430879	NA	34.270941347854	3.4105689738185076e-66	NA	NA	NA	NA	1163468979768639.3	8549	13105	Event study with fixed effects	NA	NA	cit_m22
